outlet_id,outlet_name,state,city_or_scope,website,website_active,sustained_journalism,immigrant_or_diaspora_serving,institutional_form,public_institutional_signals,eligibility_status,primary_evidence_url,verification_notes
CA001,El Tímpano,California,Oakland / Bay Area,https://www.eltimpano.org/,yes,yes,yes,community-centered immigrant newsroom,mission/story; immigrant-serving mission; community-centered reporting,verified_include,https://www.eltimpano.org/mission-story/,Strong fit. Explicitly serves Bay Area Latino and Mayan immigrants.
CA002,El Tecolote,California,San Francisco,https://eltecolote.org/,yes,yes,yes,bilingual community newspaper; nonprofit parent,about page; bilingual newsroom; nonprofit parent Acción Latina,verified_include,https://eltecolote.org/content/en/about/,Strong fit. Long-running bilingual Latino community newspaper.
CA003,India Currents,California,Bay Area,https://indiacurrents.com/,yes,yes,yes,501(c)(3) nonprofit digital newsroom,staff; leadership; funding; annual reports; INN membership,verified_include,https://indiacurrents.com/about-us/,Strong institutional visibility and explicit Indian-diaspora mission.
CA004,Nichi Bei News,California,San Francisco,https://www.nichibei.org/,yes,yes,yes,nonprofit ethnic/community newspaper,nonprofit foundation; staff; board; membership; community mission,verified_include,https://www.nichibei.org/about/,"Strong fit, especially for Japanese American community journalism and institutional variation."
CA005,Rafu Shimpo,California,Los Angeles,https://rafu.com/,yes,yes,yes,bilingual Japanese-English community newspaper,current publication; bilingual identity; advertising/sponsors visible,verified_include,https://rafu.com/about/,"Active current newsroom. About page is sparse, but site identifies publication clearly."
CA006,Nguoi Viet Daily News,California,Westminster / Garden Grove,https://www.nguoi-viet.com/,unclear_site_fetch,yes,yes,Vietnamese-language daily newspaper,current public listings; longstanding Vietnamese community publication,verified_include_with_site_limit,https://ocvote.gov/vi/community/election-official-partnership/community-contact-list,Official county list identifies current outlet; site blocks automated fetch.
CA007,Viet Bao Daily News,California,Westminster / Garden Grove,https://vietbao.com/,unclear_site_fetch,yes,yes,Vietnamese-language daily newspaper,current public listings; CEO/editor named,verified_include_with_site_limit,https://ocvote.gov/vi/community/election-official-partnership/community-contact-list,Official county list identifies outlet; site blocks automated fetch.
CA008,Asian Journal,California,Los Angeles / California,https://asianjournal.com/,yes,yes,yes,Filipino American newspaper/digital newsroom,current California coverage; editorial/newsroom structure visible,verified_include,https://asianjournal.com/,Explicit Filipino-American community newspaper with active California coverage.
CA009,The Korea Times Los Angeles,California,Los Angeles,https://www.koreatimes.com/,yes_via_epaper,yes,yes,Korean-language daily newspaper,active Los Angeles e-paper; local/state/news sections,verified_include,https://epaper.koreatimes.com/,Current LA edition verified through e-paper service.
CA010,Korea Daily / JoongAng Ilbo LA,California,Los Angeles,https://www.koreadaily.com/,yes,yes,yes,Korean American newspaper/media network,mission; LA headquarters; immigrant-service orientation; regional network,verified_include,https://en.koreadaily.com/about/,Excellent fit for institutional scale variation.
