outlet_id,outlet_name,state,city_or_scope,website,website_active,sustained_journalism,immigrant_or_diaspora_serving,institutional_form,public_institutional_signals,eligibility_status,primary_evidence_url,verification_notes
PA001,AL DÍA News,Pennsylvania,Philadelphia,https://aldianews.com/,yes,yes,yes,multiplatform bilingual/multicultural news organization,founded 1994; journalist-owned; English/Spanish; Philadelphia coverage; Latino experience mission,verified_include,https://www.aldianews.com/en/about-us,Strong active fit; useful commercial/multiplatform Latino case.
PA002,El Hispano,Pennsylvania,Philadelphia / SE Pennsylvania,http://el-hispano.com/,unclear_current_operation,historically_yes,yes,Spanish-language weekly/community newspaper,longstanding regional Latino newspaper identity; current site/activity not sufficiently verified in this pass,pending_verification,,Retain candidate until current 2026 operation is confirmed.
PA003,El Sol Latino Newspaper,Pennsylvania,Philadelphia,,unclear_current_operation,unclear,yes,Spanish-language community newspaper,directory-level evidence only in this pass,pending_verification,,"Need current website, cadence and ownership evidence."
PA004,Impacto Latin Newspaper Philadelphia,Pennsylvania,Philadelphia,,unresolved,unresolved,likely_yes,unresolved Spanish-language newspaper candidate,possible legacy/duplicate identity; current PA operation not established,hold_identity_resolution,,Do not include until distinct current outlet is identified.
PA005,Inti Media,Pennsylvania,Philadelphia,https://www.intimedia.org/,yes,yes,yes,independent nonprofit Latine-led newsroom and production hub,founded 2024; multilingual newsroom; staff; community-centered reporting; immigration/social-issues coverage,verified_include,https://www.intimedia.org/mission,Excellent core case; strong nonprofit/community-centered institutional model.
PA006,2Puntos Platform,Pennsylvania,Philadelphia,,unclear,likely_yes,yes,community-led Latine media platform,identified through community-media funding ecosystem; direct current institutional page not verified,pending_verification,,Retain candidate pending current direct evidence and clarification of newsroom function.
PA007,Motivos Magazine,Pennsylvania,Philadelphia,https://motivosmag.com/,yes,mixed_not_core_news,yes,bilingual Latino youth/community magazine,"English/Spanish print magazine; youth, college, career and culture orientation",comparison_or_exclude_core,https://www.motivosmag.com/,"Community-serving media, but not clearly sustained journalism/public-affairs enough for core frame."
PA008,Metro Chinese Weekly,Pennsylvania,Greater Philadelphia,https://newmainstreammedia.com/,yes_via_parent,yes,yes,Chinese-language weekly within New Mainstream Media,64-page weekly; publisher identified; Asian media coalition; parent-company structure,verified_include,https://www.inquirer.com/business/philadelphia-asian-media-coalition-david-oh-20240408.html,Strong language-community outlet; parent/host should be linked separately.
PA009,Metro Viet News,Pennsylvania,Greater Philadelphia,https://newmainstreammedia.com/,yes_via_parent,yes,yes,Vietnamese-language weekly within New Mainstream Media,32-page weekly; publisher identified; Asian media coalition; parent-company structure,verified_include,https://www.inquirer.com/business/philadelphia-asian-media-coalition-david-oh-20240408.html,Strong language-community outlet; parent/host should be linked separately.
PA010,Metro Korean News,Pennsylvania,Greater Philadelphia,https://newmainstreammedia.com/,likely_yes_via_parent,likely_yes,yes,Korean-language publication within New Mainstream Media,parent company publishes multilingual Asian community media; direct current publication evidence weaker than Chinese/Vietnamese titles,pending_deeper_verification,https://www.inquirer.com/business/philadelphia-asian-media-coalition-david-oh-20240408.html,Retain pending direct publication verification.
PA011,New Mainstream Media / New Mainstream Press,Pennsylvania,Bala Cynwyd / Philadelphia metro,https://newmainstreammedia.com/,yes,no_as_single_outlet,yes,multilingual Asian media parent/host organization,publishes Metro Chinese Weekly and Metro Viet News; operates WeChat channel and advertising network,classify_intermediary_host,https://www.inquirer.com/business/philadelphia-asian-media-coalition-david-oh-20240408.html,Do not count as one outlet; add to host/network table.
PA012,The Korea Times Philadelphia,Pennsylvania,Elkins Park / Philadelphia metro,https://koreatimesphila.com/,likely_yes,yes,yes,Korean-language community newspaper,current local Korean/Pennsylvania publication identity; direct institutional detail limited,verified_include_with_site_limit,https://koreatimesphila.com/,Eligible; deeper ownership/staff coding still needed.
PA013,Korean Phila Times,Pennsylvania,Philadelphia metro,,yes_as_org_identity,yes,yes,Korean community news organization,named newsroom leaders in 2024 Philadelphia Asian-media coalition,verified_include_with_secondary_evidence,https://www.inquirer.com/business/philadelphia-asian-media-coalition-david-oh-20240408.html,Likely distinct outlet; confirm direct site and relationship to Korea Times Philadelphia in next pass.
PA014,Philadelphia Asian News,Pennsylvania,Philadelphia,,yes_as_org_identity,yes,yes,Vietnamese community news organization,identified with named leader in Philadelphia Asian-media coalition,verified_include_with_secondary_evidence,https://www.inquirer.com/business/philadelphia-asian-media-coalition-david-oh-20240408.html,Strong candidate; direct site needed for institutional-depth coding.
PA015,Indonesian Lantern,Pennsylvania,Philadelphia metro,,yes_as_org_identity,likely_yes,yes,Indonesian community media outlet,identified with named leader in Philadelphia Asian-media coalition,verified_include_with_secondary_evidence,https://www.inquirer.com/business/philadelphia-asian-media-coalition-david-oh-20240408.html,Include provisionally; confirm cadence and journalism format.
PA016,PhilaNewsNow,Pennsylvania,Philadelphia,,yes_as_org_identity,likely_yes,yes,Asian/community news organization,identified with named leader in Philadelphia Asian-media coalition,pending_deeper_verification,https://www.inquirer.com/business/philadelphia-asian-media-coalition-david-oh-20240408.html,"Need language, audience and current publication details before core inclusion."
PA017,ChineseInUS.org,Pennsylvania,Philadelphia metro,https://chineseinus.org/,yes_as_org_identity,likely_yes,yes,Chinese community digital media outlet,named leader in Philadelphia Asian-media coalition; Chinese-community orientation,pending_deeper_verification,https://www.inquirer.com/business/philadelphia-asian-media-coalition-david-oh-20240408.html,Retain; verify sustained Philadelphia-focused journalism.
PA018,Philain Media,Pennsylvania,Philadelphia metro,,yes_as_org_identity,likely_yes,yes,Korean community media outlet,named leader in Philadelphia Asian-media coalition,pending_deeper_verification,https://www.inquirer.com/business/philadelphia-asian-media-coalition-david-oh-20240408.html,Retain pending current site and publication details.
PA019,PhillyTalks.com,Pennsylvania,Philadelphia metro,https://phillytalks.com/,yes_as_org_identity,likely_yes,yes,Korean/English community digital news outlet,named leader in Philadelphia Asian-media coalition; Korean/English orientation,pending_deeper_verification,https://www.inquirer.com/business/philadelphia-asian-media-coalition-david-oh-20240408.html,Retain; direct site/activity check still needed.
PA020,Pittsburgh Latino Magazine / PRESENTE Pittsburgh Media,Pennsylvania,Pittsburgh / Western Pennsylvania,https://pitlatinomag.com/,yes,yes,yes,bilingual Latino print/digital publication within Presente Pittsburgh Media LLC,founded 2020; founder identified; print/digital; local stories; Latino community mission,verified_include,https://pitlatinomag.com/about/,Strong Western Pennsylvania Latino media case.
PA021,La Mega Pittsburgh,Pennsylvania,Pittsburgh,https://lamega1.com/,likely_yes,mixed_news_entertainment,yes,Spanish-language radio service; Ohio-based parent network,Pittsburgh service identity; community/news role mixed with entertainment; parent outside Pennsylvania,multistate_market_case,https://lamega1.com/,Retain as Pittsburgh-market outlet but code host/state separately.
PA022,Radio Las Palmas,Pennsylvania,Pittsburgh,,unclear_current_operation,unclear,yes,Latino community radio operation,community-radio identity known; no strong 2026 direct evidence found in this pass,pending_verification,,Retain candidate pending current schedule and journalism/public-affairs evidence.
PA023,Hola Pittsburgh,Pennsylvania,Pittsburgh,https://holapittsburgh.com/,unclear,unclear,yes,Latino community information/media site,community information role evident; sustained journalism not verified,pending_verification,https://holapittsburgh.com/,Do not move into core frame until journalism criterion is met.
PA024,WFMZ Edición en Español,Pennsylvania,Lehigh Valley / Allentown,https://www.wfmz.com/,yes_brand_known,likely_yes,yes,Spanish-language local-news product within WFMZ,local Spanish-news product known; site access limited during verification,verified_include_with_site_limit,https://www.wfmz.com/,Include as network-affiliated local Spanish-news comparison; verify staffing later.
PA025,Telemundo 62 / WWSI,Pennsylvania,Philadelphia,https://www.telemundo62.com/,yes,yes,yes,Spanish-language local television newsroom; Telemundo/NBCUniversal,active 2026 local coverage; dedicated local newsroom; immigration/community reporting; news standards,verified_include,https://www.telemundo62.com/noticias/local/,Strong large-network comparison case.
PA026,Univision 65 / WUVP,Pennsylvania,Philadelphia,https://www.univision.com/local/philadelphia-wuvp,yes,yes,yes,Spanish-language local television newsroom; TelevisaUnivision,active 2026 local news; dedicated newsroom team; explicit Delaware Valley Hispanic-service mission,verified_include,https://www.univision.com/local/philadelphia-wuvp/quienes-somos,Strong network-affiliated local-news case.
PA027,Puerto Rican Panorama,Pennsylvania,Philadelphia,,unclear_current_operation,historically_yes,yes,Latino/Puerto Rican public-affairs television program,long-running community public-affairs identity; current 2026 production not firmly verified,pending_verification,,Retain candidate pending current schedule.
PA028,Barrio Latino WRCT,Pennsylvania,Pittsburgh,https://www.wrct.org/,yes,yes_mixed_format,yes,Spanish-language community radio program hosted by WRCT,2026 station page says program is entering 25th year; weekly Thursday 6 p.m. slot,verified_include_hosted_program,https://www.wrct.org/page/75/,Strong hosted-program case; code host station separately and assess journalism/public-affairs share in deeper pass.
PA029,La Mega Nota - Pittsburgh distribution,Pennsylvania,Pittsburgh / Western Pennsylvania,https://lamega1.com/,likely_yes,likely_yes,yes,Spanish-language print product within Ohio-based La Mega network,distributed in Pittsburgh market; parent organization based outside Pennsylvania,multistate_market_case,https://lamega1.com/,Retain as market-serving product; avoid double counting with parent/network.
PA030,Epoch Times Philadelphia edition/presence,Pennsylvania,Philadelphia,https://www.theepochtimes.com/,yes,yes,partly,national multilingual news organization with Chinese-diaspora roots,Philadelphia-area Asian media participation; no distinct local immigrant-serving Philadelphia newsroom established,boundary_or_exclude_core,https://www.inquirer.com/business/philadelphia-asian-media-coalition-david-oh-20240408.html,Do not count as core Pennsylvania immigrant outlet absent distinct local immigrant-serving operation.
