outlet_id,outlet_name,state,city_or_scope,website,discovery_source,screening_status,notes
PA001,AL DÍA News,Pennsylvania,Philadelphia,https://aldianews.com/,Philadelphia ethnic media / targeted search,candidate_verify,Bilingual Spanish-English Latino news outlet founded in Philadelphia.
PA002,El Hispano,Pennsylvania,Philadelphia / SE Pennsylvania,http://el-hispano.com/,Knight Philadelphia media scan / Latino media directories,candidate_verify,"Spanish-language weekly serving Philadelphia, Reading, Allentown and nearby markets."
PA003,El Sol Latino Newspaper,Pennsylvania,Philadelphia,,Knight Philadelphia media scan / Latino media directories,candidate_verify,Spanish-language community newspaper; verify current website and activity.
PA004,Impacto Latin Newspaper Philadelphia,Pennsylvania,Philadelphia,,Knight Philadelphia media scan / legacy Latino media lists,candidate_verify,Spanish-language community newspaper candidate; verify whether distinct current PA outlet.
PA005,Inti Media,Pennsylvania,Philadelphia,https://www.intimedia.org/,Outlet website,candidate_verify,Independent Latine-led multilingual newsroom and production hub.
PA006,2Puntos Platform,Pennsylvania,Philadelphia,,People's Media Fund / targeted discovery,candidate_verify,Community-led media platform centering Latine immigrants in Philadelphia.
PA007,Motivos Magazine,Pennsylvania,Philadelphia,https://motivosmag.com/,Latino community media directories,candidate_verify,Bilingual youth/community magazine; verify sustained journalism/public-affairs fit.
PA008,Metro Chinese Weekly,Pennsylvania,Philadelphia / Greater Philadelphia,https://newmainstreammedia.com/,Philadelphia Journalism Collaborative / Inquirer,candidate_verify,Chinese-language weekly published by New Mainstream Media.
PA009,Metro Viet News,Pennsylvania,Philadelphia / Greater Philadelphia,https://newmainstreammedia.com/,Philadelphia Journalism Collaborative / Inquirer,candidate_verify,Vietnamese-language weekly published by New Mainstream Media.
PA010,Metro Korean News,Pennsylvania,Philadelphia / Greater Philadelphia,https://newmainstreammedia.com/,Philadelphia Journalism Collaborative,candidate_verify,Korean-language publication within New Mainstream Media.
PA011,New Mainstream Media / New Mainstream Press,Pennsylvania,Bala Cynwyd / Philadelphia metro,https://newmainstreammedia.com/,Philadelphia Journalism Collaborative / LinkedIn,candidate_verify,"Parent/host organization for Metro Chinese, Metro Viet and Metro Korean; likely host rather than outlet."
PA012,The Korea Times Philadelphia,Pennsylvania,Elkins Park / Philadelphia metro,https://koreatimesphila.com/,Outlet website,candidate_verify,Active Korean-language local/community newspaper with current Pennsylvania coverage.
PA013,Korean Phila Times,Pennsylvania,Philadelphia metro,,Philadelphia Inquirer Asian media coalition report,candidate_verify,Korean community news organization; verify current site and whether distinct from Korea Times Philadelphia.
PA014,Philadelphia Asian News,Pennsylvania,Philadelphia,,Philadelphia Inquirer Asian media coalition report,candidate_verify,Vietnamese community news outlet; verify current website and activity.
PA015,Indonesian Lantern,Pennsylvania,Philadelphia metro,,Philadelphia Inquirer Asian media coalition report,candidate_verify,Indonesian community media outlet; verify current site and sustained journalism.
PA016,PhilaNewsNow,Pennsylvania,Philadelphia,,Philadelphia Inquirer Asian media coalition report,candidate_verify,"Asian/community news outlet candidate; verify language, ownership and current activity."
PA017,ChineseInUS.org,Pennsylvania,Philadelphia metro,https://chineseinus.org/,Philadelphia Inquirer Asian media coalition report,candidate_verify,Chinese community digital media outlet; verify local journalism focus.
PA018,Philain Media,Pennsylvania,Philadelphia metro,,Philadelphia Inquirer Asian media coalition report,candidate_verify,Korean community media outlet; verify current operation and website.
PA019,PhillyTalks.com,Pennsylvania,Philadelphia metro,https://phillytalks.com/,Philadelphia Inquirer Asian media coalition report,candidate_verify,Korean/English community digital news outlet.
PA020,Pittsburgh Latino Magazine / PRESENTE Pittsburgh Media,Pennsylvania,Pittsburgh / Western Pennsylvania,https://pitlatinomag.com/,Outlet website / Spotlight PA partner list,candidate_verify,Bilingual Latino news magazine and digital outlet serving Western Pennsylvania.
PA021,La Mega Pittsburgh,Pennsylvania,Pittsburgh,https://lamega1.com/,Pittsburgh Latino Magazine / targeted search,candidate_verify,Spanish-language radio service with news/community information; parent company based in Ohio.
PA022,Radio Las Palmas,Pennsylvania,Pittsburgh,,Pittsburgh Latino Magazine,candidate_verify,Latino community radio operation broadcasting from Las Palmas supermarket; verify current journalism/public-affairs share.
PA023,Hola Pittsburgh,Pennsylvania,Pittsburgh,https://holapittsburgh.com/,Targeted discovery,candidate_verify,Latino community information/media site; verify whether sustained journalism criterion is met.
PA024,WFMZ Edición en Español,Pennsylvania,Lehigh Valley / Allentown,https://www.wfmz.com/,Latino media directories / targeted search,candidate_verify,Spanish-language local-news product within WFMZ; network-affiliated comparison case.
PA025,Telemundo 62 / WWSI,Pennsylvania,Philadelphia,https://www.telemundo62.com/,Knight Philadelphia media scan,candidate_verify,Spanish-language local television newsroom; large network-affiliated comparison.
PA026,Univision 65 / WUVP,Pennsylvania,Philadelphia,https://www.univision.com/local/philadelphia-wuvp,Knight Philadelphia media scan,candidate_verify,Spanish-language local television station; large network-affiliated comparison.
PA027,Puerto Rican Panorama,Pennsylvania,Philadelphia,,Philadelphia Latino media directory,candidate_verify,Long-running Latino public-affairs TV program; verify current production status.
PA028,Barrio Latino WRCT,Pennsylvania,Pittsburgh,https://www.wrct.org/,Pittsburgh Latino media history,candidate_verify,Spanish-language community radio program at Carnegie Mellon; verify current schedule and journalism/public-affairs content.
PA029,La Mega Nota - Pittsburgh distribution,Pennsylvania,Pittsburgh / Western Pennsylvania,https://lamega1.com/,Pittsburgh Latino Magazine,candidate_verify,Spanish-language newspaper distributed in Pittsburgh but parent is Ohio-based; multistate/market case.
PA030,Epoch Times Philadelphia edition/presence,Pennsylvania,Philadelphia,https://www.theepochtimes.com/,Philadelphia Asian media coalition / ad-market lists,candidate_verify,Chinese-language/Chinese-diaspora news presence; verify distinct Philadelphia operation and fit under inclusion rule.
