review_id,outlet_id_a,outlet_id_b,decision,organization_id,relationship_value,newsroom_independence_value,resolution_status,evidence_url,review_note
RR001,AZ012,CA008,coincidental_similar_name,,unclear,,resolved_nonmatch,https://asianmedianetwork.com/about-us/,Asian Media Network is an Arizona multi-community Asian media company; Asian Journal is a distinct Filipino-American publication group based in California. Retain as separate organizations.
RR002,KS004,MO001,same_outlet_multiple_jurisdictions,ORG0001,same_outlet_multijurisdiction,independent_newsroom,resolved,https://dosmundos.com/,Dos Mundos is one Kansas City metropolitan newspaper operation appearing in both Kansas and Missouri mapping. Preserve both jurisdiction records but count one underlying organization.
RR003,NM006,PA002,no_merge_pending_more_evidence,,unclear,,pending,https://el-hispano.com/,Pennsylvania El Hispano is a distinct Philadelphia-area newspaper. No evidence currently links it to the New Mexico record; retain separately pending direct verification of NM006.
RR004,NM006,TX021,no_merge_pending_more_evidence,,unclear,,pending,,No shared website host and no verified organizational link. Retain separately pending direct verification.
RR005,PA002,TX021,no_merge_pending_more_evidence,,unclear,,pending,https://el-hispano.com/,Pennsylvania El Hispano has a documented Philadelphia-area identity. No evidence currently links it to the Texas El Hispano News record; retain separately pending direct verification of TX021.
RR006,KS005,MO002,same_outlet_multiple_jurisdictions,ORG0002,same_outlet_multijurisdiction,independent_newsroom,resolved,https://kchispanicnews.com/,KC Hispanic News is a single Kansas City metro weekly covering both sides of the Kansas-Missouri state line. Preserve both jurisdiction records but count one underlying organization.
RR007,NJ005,NY015,same_outlet_multiple_jurisdictions,ORG0003,same_outlet_multijurisdiction,independent_newsroom,resolved,https://newsindiatimes.com/,News India Times is one national weekly published by Parikh Worldwide Media; New York and New Jersey rows reflect market geography rather than separate newsrooms.
RR008,DC002,MD001,same_outlet_multiple_jurisdictions,ORG0004,same_outlet_multijurisdiction,independent_newsroom,resolved,https://www.washingtonhispanic.com/,Washington Hispanic explicitly serves Washington DC Maryland and Virginia as one newspaper operation. Preserve jurisdiction appearances but count one organization.
RR009,ME003,ME006,shared_parent_distinct_products,ORG0005,hosted,hosted_program_or_product,resolved,,Maine Public News Connect Somali and Spanish are distinct language products within the same host operation. Do not deduplicate the products.
RR010,ME004,ME006,shared_parent_distinct_products,ORG0005,hosted,hosted_program_or_product,resolved,,Maine Public News Connect French and Spanish are distinct language products within the same host operation. Do not deduplicate the products.
RR011,AZ014,NM005,same_outlet_multiple_jurisdictions,ORG0006,same_outlet_multijurisdiction,independent_newsroom,resolved,,El Semanario/The Weekly Issue Arizona and New Mexico records represent the same publication appearing in multiple markets. Preserve market records but count one underlying organization.
RR012,ME004,ME005,shared_parent_distinct_products,ORG0005,hosted,hosted_program_or_product,resolved,,Maine Public News Connect French and Portuguese are distinct hosted language products under one operation.
RR013,CT005,MD005,same_outlet_multiple_jurisdictions,ORG0007,same_outlet_multijurisdiction,independent_newsroom,resolved,https://www.braziliantimes.com/quem-somos,Brazilian Times II is one edition with circulation across New York New Jersey Pennsylvania Connecticut and later South Carolina Washington DC and Maryland. Connecticut and Maryland rows are market appearances of the same outlet.
RR014,MD004,VA004,same_outlet_multiple_jurisdictions,ORG0008,same_outlet_multijurisdiction,independent_newsroom,resolved,https://eltiempolatino.com/about-us/,El Tiempo Latino describes one newsroom serving Washington DC Maryland Virginia and additional US markets. Maryland and Virginia records are service-area appearances of the same outlet.
RR015,ME005,ME006,shared_parent_distinct_products,ORG0005,hosted,hosted_program_or_product,resolved,,Maine Public News Connect Portuguese and Spanish are distinct hosted language products under one operation.
RR016,ME004,ME003,shared_parent_distinct_products,ORG0005,hosted,hosted_program_or_product,resolved,,Maine Public News Connect French and Somali are distinct hosted language products under one operation.
