outlet_id,outlet_name,state_or_market,city_or_scope,website,website_active,sustained_journalism,immigrant_or_diaspora_serving,institutional_form,public_institutional_signals,eligibility_status,primary_evidence_url,verification_notes
SC001,El Informador,South Carolina,Charleston / Hilton Head / Lowcountry,https://www.elinformador.us/,yes,yes,yes,independent minority-owned Spanish-language newspaper,"founded 2008; biweekly 10,000-copy circulation; staff; local/state/national reporting; explicit Latino-community mission",verified_include,https://www.elinformador.us/advertise-with-us/about-us/,"Excellent core case; current 2026 publication, mission, circulation and newsroom structure are clearly documented."
SC002,Latino Newspaper / Latino SC,South Carolina,Greenville / statewide,https://latino4u.net/,current_listing,likely_yes,yes,Spanish-language statewide newspaper and online outlet,listed by South Carolina DPH as newspaper/online outlet serving Greenville and statewide,verified_include_with_directory_evidence,https://dph.sc.gov/professionals/public-health-data/data-care-dtc/data-care-dtc-latinx-resources,"Strong candidate; deeper pass should add current ownership, staff and publication cadence."
SC003,Nuestro Estado,South Carolina,Charleston / statewide,https://nuestroestado.com/,yes,yes,yes,Spanish-language digital newsroom,explicit community-centered journalism mission; undocumented people at core of audience; statewide Spanish-speaking focus,verified_include,https://nuestroestado.com/sobre-nosotros-3/,Very strong immigrant-serving fit.
SC004,La Isla Magazine,South Carolina,Hilton Head / Charleston / Lowcountry,https://www.laislamagazine.com/,current_listing,yes,yes,bilingual/Spanish magazine-newspaper and online outlet,listed by South Carolina DPH; Harvard Spanish-media study identifies monthly print and daily digital operation,verified_include_with_secondary_evidence,https://dph.sc.gov/professionals/public-health-data/data-care-dtc/data-care-dtc-latinx-resources,Eligible; direct institutional details should be added later.
SC005,La Nación Hispana,South Carolina,Greenville / Upstate,https://www.lanacionhispana.com/,historical_to_current_candidate,yes,yes,Spanish-language weekly newspaper/digital outlet,Harvard Spanish-media study identifies weekly print/digital operation in South Carolina,verified_include_with_secondary_evidence,https://cervantesobservatorio.fas.harvard.edu/sites/default/files/019_informes_periodismo_espanol_estados_unidos.pdf,Eligible provisionally; confirm 2026 cadence and ownership in deeper pass.
SC006,Pasa La Voz Noticias,South Carolina,South Carolina / Georgia,https://pasalavoznoticias.org/,yes,yes,yes,independent Spanish-language newsroom,current 2026 reporting; named team; explicit service-journalism mission for Latinx communities in SC and GA,verified_include,https://pasalavoznoticias.org/sobre-nosotros-2/,Excellent core immigrant-serving case.
SC007,LatinX Today News,South Carolina,Lowcountry / statewide,https://latinxtoday.com/,current_listing,likely_yes,yes,Latinx online news outlet,listed by South Carolina DPH as online media outlet serving Lowcountry/statewide,pending_deeper_verification,https://dph.sc.gov/professionals/public-health-data/data-care-dtc/data-care-dtc-latinx-resources,Retain; direct current newsroom/activity evidence still needed.
SC008,Universal Latin News Charleston,South Carolina,Charleston / Lowcountry,https://universallatinnews.com/,yes,yes,yes,Spanish-language online newspaper/digital platform,current 2026 local reporting; publisher identified; local media profile documents Spanish-language information-hub role,verified_include,https://universallatinnews.com/,Strong current Lowcountry case.
SC009,SC Live TV,South Carolina,Statewide,https://sclivetv.com/,current_listing,mixed_news_entertainment,yes,Latino online TV/media outlet,"South Carolina Commission for Minority Affairs describes entertainment, music, shows and breaking news; statewide Latino-media role",verified_include_mixed_format,https://www.scstatehouse.gov/reports/aar2024/L460.pdf,Eligible as mixed-format Latino media; code journalism share separately.
SC010,VaqueVA Revista,South Carolina,Beaufort / Hilton Head / Lowcountry,,current_public_listing,mixed_magazine_radio,yes,Spanish-language magazine and online radio,South Carolina DPH and state minority-affairs records identify magazine/online radio serving Hilton Head/Bluffton area,verified_include_mixed_format,https://dph.sc.gov/professionals/public-health-data/data-care-dtc/data-care-dtc-latinx-resources,Eligible as mixed-format immigrant-serving media; direct website/current staff not established.
