outlet_id,outlet_name,state_or_market,city_or_scope,website,website_active,sustained_journalism,immigrant_or_diaspora_serving,institutional_form,public_institutional_signals,eligibility_status,primary_evidence_url,verification_notes
NM001,Telemundo Nuevo México,New Mexico,Albuquerque / statewide,,yes_market_presence,yes,yes,Spanish-language local television newsroom,2025 statewide ecosystem study identifies Telemundo TV as one of only four outlets providing local news in Spanish,verified_include_with_ecosystem_evidence,https://iprsoftwaremedia.com/175/files/202511/NewsMapFullReport.pdf,Strong Spanish local-news case; add station call sign/ownership/direct site in deeper pass.
NM002,Univision Nuevo México,New Mexico,Albuquerque / statewide,,yes_market_presence,yes,yes,Spanish-language local television newsroom,2025 statewide ecosystem study identifies Univision TV among only four local Spanish-news outlets,verified_include_with_ecosystem_evidence,https://iprsoftwaremedia.com/175/files/202511/NewsMapFullReport.pdf,Strong local Spanish-news case; direct local station metadata should be added later.
NM003,KMVR-FM,New Mexico,Deming / Southwest New Mexico,,yes_station_presence,yes,yes,Spanish-language local radio news outlet,2025 ecosystem study identifies KMVR-FM as one of four outlets providing local news in Spanish,verified_include_with_ecosystem_evidence,https://iprsoftwaremedia.com/175/files/202511/NewsMapFullReport.pdf,Important non-metro Spanish-language radio case; deeper programming/ownership coding needed.
NM004,Camino Real,New Mexico,Santa Fe / New Mexico-El Paso market,,unclear_nm_base,yes_or_legal_notice,yes,Spanish-language print outlet/market publication,recognized in New Mexico statute as official Spanish newspaper; ecosystem report identifies Camino Real print in El Paso,multistate_or_location_resolution,https://law.justia.com/codes/new-mexico/chapter-14/article-11/section-14-11-13/,Do not count as New Mexico-based until office/publication base is resolved.
NM005,El Semanario / The Weekly Issue New Mexico market,Colorado / New Mexico market,Albuquerque / statewide,https://www.elsemanario.us/?lang=es,yes,yes,yes,Colorado-based bilingual weekly serving New Mexico market,publisher lists New Mexico among six markets; corporate office in Colorado,multistate_market_case,https://www.elsemanario.us/?lang=es,Market-serving but not New Mexico-based; avoid double counting.
NM006,El Hispano,New Mexico,Albuquerque,,unclear_current_operation,unclear,yes,Spanish-language newspaper,recognized by state statute as official Spanish-language newspaper but current journalism operation not established,pending_verification,https://law.justia.com/codes/new-mexico/chapter-14/article-11/section-14-11-13/,"Statutory recognition is useful discovery evidence, not sufficient alone for active-frame inclusion."
NM007,Más New Mexico,New Mexico,Santa Fe / Albuquerque,,unclear_current_operation,unclear,yes,Spanish-language newspaper,recognized by New Mexico statute as official Spanish-language newspaper; current activity not established,pending_verification,https://law.justia.com/codes/new-mexico/chapter-14/article-11/section-14-11-13/,Retain pending current newsroom verification.
NM008,Santa Fe New Mexican Spanish-language product,New Mexico,Santa Fe,https://www.santafenewmexican.com/,yes_parent,unclear_spanish_journalism,partly,mainstream local newsroom with statutory Spanish legal-notice role,"active 2026 newsroom; statute recognizes paper for Spanish legal notices, but sustained immigrant-serving Spanish journalism not demonstrated",comparison_or_exclude_core,https://law.justia.com/codes/new-mexico/chapter-14/article-11/section-14-11-13/,Do not count as immigrant-serving core on legal-notice status alone.
NM009,El Semanario de Nuevo Mexico,New Mexico,Albuquerque,,identity_unclear,unclear,yes,Spanish-language newspaper identity,state statute recognizes title; relationship to The Weekly Issue/El Semanario unresolved,hold_identity_resolution,https://law.justia.com/codes/new-mexico/chapter-14/article-11/section-14-11-13/,Resolve whether this is same as multistate El Semanario before counting.
NM010,Navajo-language local news outlets,New Mexico,Gallup / Farmington / Cibola County,,yes,yes,no_under_immigrant_definition,Indigenous-language local news outlets,2025 ecosystem study identifies three Navajo-language local outlets,exclude_core_indigenous_not_immigrant,https://iprsoftwaremedia.com/175/files/202511/NewsMapFullReport.pdf,Important for broader language-access context but outside immigrant-journalism core sample.
