outlet_id,outlet_name,state,city_or_scope,website,discovery_source,screening_status,notes
SC001,El Informador,South Carolina,Charleston / Hilton Head / Lowcountry,https://www.elinformador.us/,SC DPH Latinx media resources; outlet website,candidate_verify,Independent Spanish-language newspaper and online outlet serving the Lowcountry.
SC002,Latino Newspaper / Latino SC,South Carolina,Greenville / statewide,https://latino4u.net/,SC DPH Latinx media resources; media directory,candidate_verify,Long-running Spanish-language statewide weekly based in the Upstate.
SC003,Nuestro Estado,South Carolina,Charleston / statewide,https://nuestroestado.com/,SC DPH Latinx media resources,candidate_verify,Spanish-language online news outlet; verify current activity and institutional structure.
SC004,La Isla Magazine,South Carolina,Hilton Head / Charleston / Lowcountry,https://www.laislamagazine.com/,SC DPH Latinx media resources; state media guide,candidate_verify,Spanish-language newspaper/magazine and online outlet serving coastal communities.
SC005,La Nación Hispana,South Carolina,Greenville / Upstate,https://www.lanacionhispana.com/,SC Commission for Minority Affairs media guide,candidate_verify,Spanish-language newspaper/online outlet serving Upstate and statewide audiences.
SC006,Pasa La Voz Noticias,South Carolina,South Carolina / Georgia,https://pasalavoznoticias.org/,Outlet website / targeted discovery,candidate_verify,Independent Spanish-language newsroom explicitly serving Latinx communities in SC and GA.
SC007,LatinX Today News,South Carolina,Lowcountry / statewide,https://latinxtoday.com/,SC DPH Latinx media resources,candidate_verify,Spanish/Latinx online news outlet; verify current newsroom activity.
SC008,Universal Latin News Charleston,South Carolina,Charleston / Lowcountry,,2026 local news profile,candidate_verify,Spanish-language online newspaper and digital platform serving Lowcountry communities.
SC009,SC Live TV,South Carolina,Statewide,https://sclivetv.com/,SC DPH Latinx media resources,candidate_verify,Latino-focused online media/TV outlet; verify sustained journalism and ownership.
SC010,VaqueVA Revista,South Carolina,Beaufort / Hilton Head / Lowcountry,,SC DPH Latinx media resources,candidate_verify,Magazine and online radio serving Latino communities; verify journalism/public-affairs share.
SC011,La Raza Charleston,South Carolina,Charleston,https://laraza.com/,SC DPH Latinx media resources / Norsan Media,candidate_verify,Spanish-language radio service; verify local news/public-affairs component and parent network.
SC012,La Raza Columbia,South Carolina,Columbia,https://laraza.com/,SC DPH Latinx media resources / Norsan Media,candidate_verify,Spanish-language radio service for Columbia market; likely network-affiliated.
SC013,Activa 103.9 FM / 105.7 FM / 910 AM,South Carolina,Greenville / Spartanburg,https://activanetwork.com/greenville,SC DPH Latinx media resources,candidate_verify,Spanish-language commercial radio network; verify news/public-affairs programming.
SC014,La Jefa 94.9 / 1070 AM,South Carolina,Greenville / Spartanburg / Anderson,https://lajefa949.com/,SC DPH Latinx media resources,candidate_verify,Spanish-language radio station; likely mixed entertainment/community information.
SC015,La KeBuena 1430,South Carolina,Hilton Head / Bluffton / Beaufort,https://kebuena1430.com/,SC DPH Latinx media resources,candidate_verify,Spanish-language radio serving Lowcountry; verify journalism/public-affairs share.
SC016,El Patrón 93.5,South Carolina,Myrtle Beach,https://elpatron935.iheart.com/,SC DPH Latinx media resources,candidate_verify,Spanish-language commercial radio; likely comparison/mixed-format case.
SC017,Radio Revive,South Carolina,Statewide,https://radiorevive.com/,SC DPH Latinx media resources,candidate_verify,Online Spanish-language radio; verify sustained news/public-affairs role.
SC018,Telemundo South Carolina / GrayTV Telemundo,South Carolina,Greenville / statewide,https://www.telemundogreenvillesc.com/,Outlet website,candidate_verify,Spanish-language local TV news outlet with current South Carolina reporting.
SC019,Fortaleza Cristiana,South Carolina,Greenville,,2025 SC Commission for Minority Affairs annual report,candidate_verify,Christian Spanish-language newspaper; verify current publication and whether sustained journalism meets inclusion rule.
SC020,InSouth Magazine,South Carolina,Greenville / statewide,https://www.insouthmagazine.com/,SC Commission for Minority Affairs media guide,candidate_verify,Latino/community magazine; verify current journalism/public-affairs content.
SC021,La Noticia - Rock Hill/SC market,South Carolina,Rock Hill / Charlotte metro,https://lanoticia.com/,SC media guide / NC outlet,candidate_verify,North Carolina-based outlet serving Rock Hill; multistate market case rather than SC-based newsroom.
SC022,Norsan Media South Carolina,South Carolina,Charleston / Columbia,https://norsanmedia.com/,SC DPH Latinx media resources,candidate_verify,Parent/network for La Raza radio properties; likely host/intermediary rather than outlet.
SC023,Guía Latina Charleston / Universal Latin News resource,South Carolina,Charleston / Berkeley / Dorchester,,2026 WCSC profile,candidate_verify,"Spanish-language printed resource guide connected to Universal Latin News; information infrastructure, likely not standalone newsroom."
SC024,La Mega Nota SC market candidate,South Carolina,Upstate / regional,,Targeted Spanish media discovery,candidate_verify,Possible regional Spanish-language print/radio product; verify whether distinct SC operation exists.
