outlet_id,outlet_name,state,city_or_scope,website,website_active,sustained_journalism,immigrant_or_diaspora_serving,institutional_form,public_institutional_signals,eligibility_status,primary_evidence_url,verification_notes
OR001,The Asian Reporter,Oregon,Portland,https://www.asianreporter.com/,yes,yes,yes,independent Asian community newspaper,current 2026 issues; local/international Asian news; explicit immigrant-community support,verified_include,https://www.asianreporter.com/,Strong fit. Current publication explicitly says it supports immigrant and U.S.-born Asian communities.
OR002,Noticias Noroeste,Oregon,Portland / Oregon & SW Washington,https://noticiasnw.com/,yes,yes,yes,independent Spanish-language digital newsroom,mission; founder/editor; weekday newscast; immigration and local-news categories,verified_include,https://noticiasnw.com/sobre-nosotros/,Very strong fit. Created after Univision Portland closure to serve Spanish-speaking Latino communities.
OR003,Maidan Newspaper,Oregon,Portland / Oregon & SW Washington,https://thegreatmediagroup.com/,yes,yes,yes,Ukrainian-language newspaper within multicultural media group,host company; immigrant/refugee mission; language; regional scope,verified_include,https://thegreatmediagroup.com/,Strong immigrant/refugee fit; useful hosted/networked case.
OR004,Afisha Magazine,Oregon,Portland / Oregon & SW Washington,https://thegreatmediagroup.com/,yes,yes,yes,Russian/Ukrainian-language magazine within multicultural media group,host company; 30+ year publication history; news/cultural content; immigrant audience,verified_include,https://thegreatmediagroup.com/,"Eligible, though journalism/news share should be coded later because magazine also carries cultural/lifestyle content."
OR005,The Great Radio 1040 AM,Oregon,Portland,https://thegreatmediagroup.com/,yes,yes,yes,Slavic/Eastern European community radio within media group,community radio; host company; information/news orientation; immigrant audience,verified_include,https://thegreatmediagroup.com/,Eligible as a hosted radio case; deeper content coding can distinguish news/public affairs from general programming.
OR006,Oregon Hispano,Oregon,Statewide,https://www.oregonhispano.com/,yes,yes,yes,Spanish-language statewide digital news/community-information site,current 2026 news; statewide Latino/Hispanic mission; directory and service infrastructure,verified_include,https://www.oregonhispano.com/noticias/index.php,Eligible; institutional form appears commercial/digital and needs later ownership coding.
OR007,El Latino de Hoy,Oregon,Portland / statewide,https://www.ellatinodehoy.com/,yes,yes,yes,Spanish-language weekly/community newspaper,current 2026 news; founded 1991; Oregon Latino identity,verified_include,https://www.ellatinodehoy.com/,Strong current Latino community newspaper.
OR008,Tilde Noticias,Oregon,Portland,,unclear,likely_yes,likely_yes,Latino news outlet,current national community-media directory listing; direct site not verified in this pass,pending_verification,https://www.ncmalliance.com/associations,Retain as candidate. Need current website and institutional verification before inclusion.
OR009,Radio Movimiento,Oregon,Woodburn,https://pcun.org/,no_current_station,historically_yes,historically_yes,former Spanish-language farmworker community radio hosted by PCUN,PCUN history; community radio mission; station last aired 2019,exclude_inactive,https://pcun.org/es/historia-de-pcun/,Historically important but no longer active as KPCN-LP; retain in archival registry only.
OR010,Elemento Latino,Oregon,Hillsboro / Portland,https://icgmultimedia.com/,yes,yes,yes,Latino news/interview program within multimedia company,current site; CEO/host; reporting/interviews/news; sponsors and clients,verified_include,https://icgmultimedia.com/,Eligible; useful commercial/multimedia case.
OR011,Noticias Latinas! Latin News,Oregon,Portland / Oregon & SW Washington,https://www.latinmedianw.com/noticiaslatinas.html,yes,yes,yes,Spanish-language newspaper within Latin Media Northwest LLC,current site; print distribution; publisher/editor structure; Oregon/Washington reach,verified_include,https://www.latinmedianw.com/noticiaslatinas.html,Strong community-newspaper case; institutional structure is publicly visible.
OR012,pdxlatino.com,Oregon,Portland,https://pdxlatino.com/,pending_site_check,unclear,likely_yes,Latino community digital outlet,listed in Latino-media directories; direct current journalism output not verified,pending_verification,,Retain candidate pending current activity and journalism verification.
OR013,Azteca Oregon 37,Oregon,Portland / Salem,,unclear_current_brand,unclear,yes_spanish_audience,Spanish-language television affiliate/brand,broadcast listings indicate Spanish-language channel in market; local journalism structure unclear,pending_verification,,"Keep as comparison candidate; verify current station identity, ownership and locally produced news."
OR014,KUNP Univisión 16,Oregon,Portland / La Grande,https://kunptv.com/,yes_station,no_as_spanish_news_outlet,no_current_immigrant_orientation,independent English-language TV station since 2025,former Univision affiliation ended in 2024; current station is independent/Rip City TV,exclude_current_definition,https://www.opb.org/article/2026/01/21/noticias-noroeste-spanish-broadcast-portland/,Exclude from current immigrant-serving frame. Useful historical context because closure of Univision local news helped prompt Noticias Noroeste.
OR015,The Immigrant Story,Oregon,Portland,https://theimmigrantstory.org/,yes,yes,yes,volunteer-run nonprofit multimedia storytelling organization,nonprofit; founder; 60+ volunteers; immigrant/refugee reporting; podcasts and documentary storytelling,verified_include,https://theimmigrantstory.org/our-story/,Strong fit despite not being a conventional newsroom; explicitly reports and publishes immigrant/refugee stories.
