event_id,episode_id,compounds_with,outlet_id,outlet_name,organization_id,comparison_case,record_type,event_date_start,event_date_end,date_precision,event_state,event_city,event_scope,target_type,target_name,target_role,target_status,primary_domain,secondary_domain,mechanism,actor_class,actor_named,coercion_type,severity,reversibility,event_status,event_summary,outcome,chilling_reported,legal_case_number,pft_incident_url,external_dataset_id,verification_level,source_url_primary,source_url_secondary,source_type_primary,date_checked,coding_confidence,documented_consequence,financial_consequence_amount,organizational_response,notes
RISK0001,EP-RISK0001,,TN002,Nashville Noticias,,no,documented_event,2026-03-04,,day,Tennessee,Nashville,individual_journalist,individual,Estefany Rodriguez Florez,reporter,unknown,legal,,immigration_detention,federal,U.S. Immigration and Customs Enforcement,direct,3,partly_reversible,confirmed_publicly_documented,"Nashville Noticias reporter Estefany Rodriguez Florez was detained by ICE following a traffic stop. Her lawyers challenged the detention and alleged agents did not present an arrest warrant; ICE disputed the no-warrant characterization in a court filing.",Detention interrupted reporting and led to a legal challenge.,unknown,,, ,2,https://www.reuters.com/business/media-telecom/us-ice-arrested-journalist-nashville-without-arrest-warrant-her-lawyers-say-2026-03-06/,https://apnews.com/article/5b3869f74a84023fd430f09d5515fdc0,news_report,2026-09-23,high,detention;reporting_interruption,,Legal challenge filed; journalism and press-freedom organizations publicly raised concerns.,Migration from v1 preserves factual dispute and does not infer motive or immigration status.
RISK0002,EP-RISK0002,,AZ001,Conecta Arizona,,no,documented_event,2025-01-01,2026-06-17,approx,Arizona,,single_outlet,both,Conecta Arizona reporters,reporters,unknown,physical,informational,assault_by_state_actor,unknown,law-enforcement and crowd actors as described by outlet,direct,3,unknown,reported_by_outlet,"Founder Maritza Félix publicly described Conecta Arizona reporters experiencing violence while covering protests, including pepper spray, as well as racialized verbal harassment from counter-protesters.",The newsroom changed safety practices in response to documented exposure.,yes,,, ,1,https://indiegraf.com/blog/immigration-news-coverage-conecta-arizona,https://cpj.org/2026/06/news-leader-maritza-felix-on-covering-immigration-in-arizona/,self_report,2026-09-23,medium,security_changes,,Paired reporting; contingency planning; safety training for Conecta Arizona and other local reporters.,Broad episode range retained because exact incident dates are not consistently specified. Harassment component may later be split into a separate informational event.
RISK0003,EP-RISK0003,,CA001,El Tímpano,,no,anticipatory_response,2025-02-03,,day,California,,single_outlet,source_or_community,Undocumented immigrant sources,sources,unknown,political,legal,anticipatory_risk_mitigation,federal,immigration-enforcement environment,anticipatory,1,reversible,confirmed_publicly_documented,"El Tímpano publicly changed reporting practices to reduce risks to undocumented immigrant sources as immigration-enforcement concerns increased.",Reporting and source-protection practices were modified to reduce exposure.,yes,,, ,2,https://www.niemanlab.org/2025/02/how-el-timpano-is-changing-its-reporting-practices-to-protect-immigrant-sources/,,news_report,2026-09-23,high,security_changes,,Adjusted reporting and source-protection practices to reduce exposure of sensitive identifying information.,Coded as anticipatory response rather than an attack on the outlet.
RISK0004,EP-RISK0004,,,LA TACO,,yes,documented_event,2026-01-30,2026-01-31,day,California,,individual_journalist,individual,Lexis-Olivier Ray,reporter,unknown,physical,political,assault_by_state_actor,state_local,law enforcement officers,direct,3,unknown,reported_by_credible_secondary_source,"Investigative reporter Lexis-Olivier Ray was reported pepper-sprayed and shoved while covering an immigration-enforcement protest and reported being struck or threatened with additional projectiles or arrest during subsequent coverage.",Physical force and threat of arrest interrupted reporting.,yes,,, ,1,https://hiproject.org/incident/9759,,ngo_report,2026-09-23,medium,injury;reporting_interruption,,Publicly documented incident; organizational response not yet coded.,External comparison case unless later crosswalk review links LA TACO to the national frame.
RISK0005,EP-RISK0005,,,,,yes,structural_exposure,2024-01-01,2024-12-31,year,United States,,platform_wide,organisation,U.S. news publishers,publishers,not_applicable,economic,informational,structural_platform_or_market_shift,market_or_funder,Meta/Facebook and X,indirect,1,unknown,confirmed_publicly_documented,"Reuters Institute's 2024 Digital News Report summarized industry data showing sharp declines in publisher referrals from Facebook and X as platforms shifted toward keeping users within their services.",Sector-level referral exposure; outlet-level impact requires separate evidence.,unknown,,, ,1,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2024/dnr-executive-summary,,news_report,2026-09-23,high,traffic_loss,,Outlet-level impact must be assessed separately through platform-dependence evidence.,Structural exposure only; not evidence every mapped outlet experienced the same decline.
RISK0006,EP-RISK0006,,,,,yes,structural_exposure,2025-01-01,2025-12-31,year,United States,,sector_wide,organisation,Nonprofit news sector,news organizations,not_applicable,economic,,philanthropic_withdrawal,market_or_funder,philanthropic and funding environment,indirect,2,unknown,confirmed_publicly_documented,"The 2026 Institute for Nonprofit News Index reported that many nonprofit news organizations experienced reductions in charitable revenue attributed to the 2025 political climate, alongside broader funding rescissions and increased safety pressures.",Sector-level funding contraction; outlet-level effect requires separate evidence.,unknown,,, ,1,https://inn.org/news/nonprofit-news-outlets-faced-headwinds-in-2025-new-inn-index-data/,https://inn.org/our-work/index-about/inn-index-report/,ngo_report,2026-09-23,high,revenue_loss,,Outlet-level funding effects require separate evidence.,Structural exposure only.
RISK0007,EP-RISK0007,,,,,yes,structural_exposure,2025-01-01,2026-09-23,approx,United States,,platform_wide,organisation,U.S. news publishers,publishers,not_applicable,economic,informational,structural_platform_or_market_shift,market_or_funder,major social video and search platforms,indirect,1,unknown,confirmed_publicly_documented,"Reuters Institute's 2025 and 2026 Digital News Reports describe continued platform fragmentation, shifts in platform treatment of news, growth of video and creator ecosystems, and increased third-party intermediation.",Sector-level distribution and monetization exposure; outlet-level impact requires separate evidence.,unknown,,, ,1,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/dnr-executive-summary,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2025/dnr-executive-summary,news_report,2026-09-23,high,traffic_loss,,Use outlet-level platform and referral variables to assess exposure.,Structural exposure only.
RISK0008,EP-RISK0008,,,,Mario Guevara / MGNews,,yes,documented_event,2025-06-14,2025-10-03,day,Georgia,,individual_journalist,individual,Mario Guevara,reporter/publisher,unknown,legal,political,deportation_or_removal,federal,U.S. Immigration and Customs Enforcement,direct,4,irreversible,confirmed_publicly_documented,"Spanish-language journalist Mario Guevara was arrested while livestreaming a protest in Georgia, later held under an ICE detainer, and deported to El Salvador on October 3, 2025.",Detention and deportation interrupted his U.S.-based reporting.,yes,,https://pressfreedomtracker.us/all-incidents/spanish-language-reporter-arrested-at-atlanta-area-protest-faces-deportation/,,2,https://pressfreedomtracker.us/all-incidents/spanish-language-reporter-arrested-at-atlanta-area-protest-faces-deportation/,https://cpj.org/2025/07/timeline-reporter-mario-guevaras-arrest-and-ice-detention/,tracker,2026-09-23,high,detention;reporting_interruption,,Legal challenges and press-freedom advocacy followed the detention.,This broad v1 row combines arrest detention and deportation; future migration should split the sequence into separate linked episode rows.
RISK0009,EP-RISK0009,,,,Richard Noticias LA / Carlitos Ricardo Parias,,yes,documented_event,2025-10-01,2026-08-18,approx,California,,individual_journalist,individual,Carlitos Ricardo Parias,journalist/streamer,unknown,physical,legal,assault_by_state_actor,federal,federal immigration-enforcement agents,direct,4,partly_reversible,confirmed_publicly_documented,"Independent Mexican journalist and TikTok streamer Carlitos Ricardo Parias, who reports under Richard Noticias LA, was shot in the arm by federal agents during an immigration-related arrest in Los Angeles and remained in ICE detention into 2026 according to CPJ.",Physical injury and detention interrupted reporting.,yes,,, ,1,https://cpj.org/es/2026/08/periodista-mexicano-carlitos-ricardo-parias-herido-de-bala-por-autoridades-de-inmigracion-de-eeuu-sigue-sin-asistencia-medica-tras-300-dias-de-detencion/,,ngo_report,2026-09-23,high,injury;detention;reporting_interruption,,Public advocacy focused on medical care and detention conditions.,External comparison case; broad row should eventually be separated into assault and detention events if source chronology permits.
RISK0010,EP-RISK0010,,,,Univision national correspondent Romi De Frias,,yes,documented_event,2025-06-11,2026-06-17,approx,California,Los Angeles,individual_journalist,individual,Romi De Frias,reporter,unknown,physical,,assault_by_state_actor,state_local,Los Angeles Police Department,direct,2,reversible,confirmed_publicly_documented,"A mounted Los Angeles police officer used a horse to push Univision reporter Romi De Frias while she was covering an immigration protest. The Press Freedom Tracker later reported that the officer was exonerated after review.",Physical obstruction occurred during reporting; no injury is inferred.,unknown,,https://pressfreedomtracker.us/all-incidents/reporter-pushed-by-police-horse-while-covering-la-immigration-protest/,,2,https://pressfreedomtracker.us/all-incidents/reporter-pushed-by-police-horse-while-covering-la-immigration-protest/,,tracker,2026-09-23,high,reporting_interruption,,No outlet-level organizational response coded yet.,Consequence normalized from off-schema physical_contact; no injury coded because none is established here.
