outlet_id,outlet_name,jurisdiction,field,proposed_value,reason,source_value,institutional_form,eligibility_status,verification_notes
AL005,Alabama TV,Alabama,record_type,unclear,boundary/pending record requires manual record-type decision,pending_verification,Spanish-language television outlet listed in Latino-media map,pending_verification,"Do not place in active verified frame yet. Needs exact current station identity, ownership, and journalism/public-affairs verification."
AL005,Alabama TV,Alabama,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Spanish-language television outlet listed in Latino-media map,Spanish-language television outlet listed in Latino-media map,pending_verification,"Do not place in active verified frame yet. Needs exact current station identity, ownership, and journalism/public-affairs verification."
AL005,Alabama TV,Alabama,geographic_scope,unclear,service geography not explicit enough for deterministic coding,Alabama,Spanish-language television outlet listed in Latino-media map,pending_verification,"Do not place in active verified frame yet. Needs exact current station identity, ownership, and journalism/public-affairs verification."
AL005,Alabama TV,Alabama,institutional_relationship,unclear,relationship structure not explicit enough for deterministic coding,"Spanish-language television outlet listed in Latino-media map | pending_verification | Do not place in active verified frame yet. Needs exact current station identity, ownership, and journalism/public-affairs verification.",Spanish-language television outlet listed in Latino-media map,pending_verification,"Do not place in active verified frame yet. Needs exact current station identity, ownership, and journalism/public-affairs verification."
AL005,Alabama TV,Alabama,newsroom_independence_form,unclear,organizational separateness not explicit enough for deterministic coding,"Spanish-language television outlet listed in Latino-media map | Do not place in active verified frame yet. Needs exact current station identity, ownership, and journalism/public-affairs verification.",Spanish-language television outlet listed in Latino-media map,pending_verification,"Do not place in active verified frame yet. Needs exact current station identity, ownership, and journalism/public-affairs verification."
AL005,Alabama TV,Alabama,activity_status,unclear,source activity value is explicitly uncertain,unclear_current_operation,Spanish-language television outlet listed in Latino-media map,pending_verification,"Do not place in active verified frame yet. Needs exact current station identity, ownership, and journalism/public-affairs verification."
AL004,Hola Alabama Magazine,Alabama,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,bilingual Spanish-Portuguese monthly magazine within Hola Latino,bilingual Spanish-Portuguese monthly magazine within Hola Latino,verified_include_hosted_program,Eligible as a program/publication within Hola Latino rather than a fully separate organization. Use host-organization linkage in master database.
AL003,Hola Latino Radio,Alabama,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Spanish-language radio and digital media operation,Spanish-language radio and digital media operation,verified_include,"Eligible. News and public-information functions are explicit, though programming also includes music and promotional content."
AL006,Vida em Alabama,Alabama,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Portuguese-language Brazilian-immigrant initiative within Hola Latino,Portuguese-language Brazilian-immigrant initiative within Hola Latino,verified_include_hosted_program,"Eligible as a hosted immigrant-serving media program, not a separate parent organization. Link to Hola Latino as host."
AL006,Vida em Alabama,Alabama,media_format,unclear,no clear primary format found,Portuguese-language Brazilian-immigrant initiative within Hola Latino,Portuguese-language Brazilian-immigrant initiative within Hola Latino,verified_include_hosted_program,"Eligible as a hosted immigrant-serving media program, not a separate parent organization. Link to Hola Latino as host."
AK003,Alaska Korean Community News,Alaska,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Korean-language newspaper and digital outlet,Korean-language newspaper and digital outlet,verified_include_core_shared_operation,Retain distinct outlet identity while linking operational consolidation with AK002.
AK003,Alaska Korean Community News,Alaska,media_format,print,print plus companion digital presence; verify whether digital is co-primary,Korean-language newspaper and digital outlet,Korean-language newspaper and digital outlet,verified_include_core_shared_operation,Retain distinct outlet identity while linking operational consolidation with AK002.
AK002,Anchorage Korean News,Alaska,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,bilingual Korean-English newspaper and digital outlet,bilingual Korean-English newspaper and digital outlet,verified_include_core,Count as distinct editorial product but note shared operation.
AK002,Anchorage Korean News,Alaska,media_format,print,print plus companion digital presence; verify whether digital is co-primary,bilingual Korean-English newspaper and digital outlet,bilingual Korean-English newspaper and digital outlet,verified_include_core,Count as distinct editorial product but note shared operation.
AK001,Sol de Medianoche,Alaska,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,bilingual Latino newspaper and digital outlet,bilingual Latino newspaper and digital outlet,verified_include_core,Strong core inclusion.
