website_active,n
yes,323
unclear_current_operation,38
unresolved,33
likely_yes,24
yes_via_parent,10
historical_or_unclear,8
current_listing,7
yes_as_org_identity,7
yes_station,6
unclear,5
inactive_or_historical,3
not_identified,3
pending,3
yes_market_presence,3
yes_via_host,3
inactive_archive,2
inactive_print,2
unclear_site_fetch,2
yes_parent,2
yes_via_current_directory,2
announced_current,1
archive_only_or_unclear,1
current_network_listing,1
current_public_listing,1
historical_or_unclear_current,1
historical_to_current_candidate,1
historical_to_recent,1
identity_unclear,1
inactive_or_diminished,1
launching_2026,1
likely_yes_via_parent,1
no,1
no_current_network,1
no_current_operation,1
no_current_station,1
operationally_disrupted_2026,1
partly_current,1
pending_current_site_check,1
pending_site_check,1
site_active_but_recent_news_unclear,1
unclear_current_brand,1
unclear_nm_base,1
unclear_or_problematic,1
various,1
yes_2026_issues,1
yes_brand_known,1
yes_content,1
yes_current_streaming,1
yes_host,1
yes_host_station,1
yes_program,1
yes_project,1
yes_publication,1
yes_recently_indexed,1
yes_resource,1
yes_selected_2026_translation,1
yes_station_listing,1
yes_station_presence,1
yes_via_current_issue_archive,1
yes_via_current_media_appearance,1
yes_via_current_reporting,1
yes_via_epaper,1
yes_via_issue_archive,1
yes_via_shared_platform,1
yes_via_state_registry,1
