review_id,outlet_id,review_scope,previous_value,reviewed_value,resolution_status,evidence_url,review_note
CO001,GA001,explicit_refugee_signal,immigrant_general,mixed_orientation,resolved,https://285south.com/,285 South explicitly centers both immigrant and refugee communities; do not reduce the audience to refugee-only.
CO002,ID003,explicit_refugee_signal,refugee_general,refugee_general,resolved,https://www.idahorefugees.org/,The host organization's explicit institutional population is refugees; retain refugee_general while keeping the record contextual infrastructure rather than a newsroom.
CO003,ID002,explicit_refugee_signal,mixed_orientation,mixed_orientation,resolved,https://mosaics.castos.com/,Mosaics centers both refugee and immigrant lived experience; retain mixed_orientation.
CO004,IA003,explicit_refugee_signal,mixed_orientation,mixed_orientation,resolved,https://iowastartingline.com/news/common-thread-iowa-refugee-stories/,Common Thread Iowa is described as covering both refugee and immigrant communities; retain mixed_orientation.
CO005,KY005,explicit_refugee_signal,immigrant_general,mixed_orientation,resolved,https://louisvilleky.gov/government/office-immigrant-affairs/media,The contextual public-media record contains immigrant refugee and language-access reporting rather than a refugee-only institutional population; code mixed_orientation while retaining noncore status.
CO006,MA005,explicit_refugee_signal,diaspora_national_origin,diaspora_national_origin,resolved,https://khmerpostusa.com/lowell-has-the-second-largest-cambodian-community-in-the-united-states-and-almost-nobody-who-built-it-chose-lowell-on-purpose/,Khmer Post USA is institutionally organized around the Cambodian-American community. Refugee history is important context but the outlet's present community orientation is national-origin/diaspora.
CO007,NE008,explicit_refugee_signal,immigrant_general,mixed_orientation,resolved,https://nebraskapublicmedia.org/en/news/news-articles/lincoln-welcomes-new-americans-in-weeklong-celebration/,This is a mainstream public-media contextual record with immigrant and refugee coverage, not a refugee-serving newsroom; code mixed_orientation and retain noncore status.
CO008,OR003,explicit_refugee_signal,multicultural_multiethnic,diaspora_national_origin,resolved,https://thegreatmediagroup.com/,Maidan is a Ukrainian-language publication. The host has a broader immigrant/refugee mission, but the product itself is oriented to a specific Ukrainian national-origin/diaspora community.
CO009,OR015,explicit_refugee_signal,mixed_orientation,mixed_orientation,resolved,https://theimmigrantstory.org/our-story/,The Immigrant Story explicitly publishes immigrant and refugee stories; retain mixed_orientation.
CO010,SD004,explicit_refugee_signal,diaspora_national_origin,diaspora_national_origin,pending_operational_verification,,This remains an unresolved Somali/refugee media lead rather than a verified refugee-general outlet. Preserve the specific diaspora orientation pending verification.
CO011,UT008,explicit_refugee_signal,diaspora_national_origin,mixed_orientation,pending_operational_verification,,This is a discovery lead spanning multiple refugee and immigrant language communities rather than one national-origin group. Use mixed_orientation provisionally while retaining hold status.
CO012,VT001,explicit_refugee_signal,mixed_orientation,mixed_orientation,resolved,https://cvran.org/2026/06/29/tune-into-many-voices-one-vermont-sundays-at-1pm/,The program centers refugees asylum seekers and newcomers; mixed_orientation best preserves its explicitly plural audience.
CO013,WV004,explicit_refugee_signal,mixed_orientation,mixed_orientation,pending_operational_verification,,The unresolved lead explicitly spans immigrant refugee and diaspora communities; retain mixed_orientation while the media operation itself remains unverified.
CO014,WI013,explicit_refugee_signal,diaspora_national_origin,mixed_orientation,resolved,https://wisconsinmuslimjournal.org/about/,Wisconsin Muslim Journal serves a broad Muslim community that includes immigrant and refugee populations but is not a single national-origin diaspora outlet or refugee-only outlet. Mixed orientation is the least reductive existing category.
