outlet_id,outlet_name,state,city_or_scope,website,website_active,sustained_journalism,immigrant_or_diaspora_serving,institutional_form,public_institutional_signals,eligibility_status,primary_evidence_url,verification_notes,analysis_tier,core_inclusion,source_file,source_row_number
SC013,Activa Radio Greenville,,Greenville / Spartanburg,https://activanetwork.com/greenville,current_listing,mixed_news_entertainment,yes,Spanish-language commercial radio network,South Carolina DPH lists active Upstate service across multiple frequencies,verified_include_mixed_format,https://dph.sc.gov/professionals/public-health-data/data-care-dtc/data-care-dtc-latinx-resources,Eligible mixed-format case; direct news/public-affairs cadence should be coded later.,core_verified,yes,data/verification/south_carolina_verification_v1.csv,14
NY003,Africa in Harlem,,Harlem / NYC,https://africainharlem.nyc/,yes,yes,yes,multilingual African immigrant/diaspora community news site,founder; explicit African immigrant/African Diaspora mission; Harlem focus,verified_include,https://africainharlem.nyc/en/about-us/,Very strong core case.,core_verified,yes,data/verification/new_york_verification_v1.csv,4
AZ011,Asian Sun Magazine,,Statewide,https://azasianchamber.com/asiansun,yes,mixed_magazine_journalism,yes,quarterly AAHPI community magazine published by Arizona Asian Chamber,"current Summer 2026 edition; culture, business and current events; statewide community reach",verified_include_mixed_format,https://azasianchamber.com/asiansun,Eligible mixed-format community publication; not a hard-news newsroom.,core_verified,yes,data/verification/arizona_verification_v1.csv,12
AZ007,AZ Chinese News,,Phoenix,https://asianmedianetwork.com/,yes_via_parent,yes,yes,Chinese community news product under Asian Media Network,parent identifies AZ Chinese News among Chinese affiliate publications,verified_include_with_parent_evidence,https://asianmedianetwork.com/about-us/,Include provisionally; direct publication page and cadence should be verified later.,core_verified,yes,data/verification/arizona_verification_v1.csv,8
NY033,Caribbean Life,,Brooklyn / NYC,https://www.caribbeanlife.com/,yes,yes,yes,Caribbean community newspaper/digital outlet,current Caribbean/NY local coverage; diaspora audience; network ownership visible,verified_include,https://www.caribbeanlife.com/,Strong Caribbean diaspora community case.,core_verified,yes,data/verification/new_york_verification_v1.csv,34
NJ006,Central Desi,,Statewide,https://centraldesi.beehiiv.com/,yes,yes,yes,community-run South Asian news platform,launched in 2022 specifically to tell nuanced stories of New Jersey's South Asian communities,verified_include,https://centraldesi.beehiiv.com/about-us,Excellent community-focused South Asian journalism case.,core_verified,yes,data/verification/new_jersey_verification_v1.csv,7
IA003,Common Thread Iowa,,Statewide,,launching_2026,yes_social_first,yes,social-first immigrant/refugee reporting project within New Day Iowa,launched July 2026 to cover Iowa refugee and immigrant communities overlooked by mainstream coverage,verified_include_hosted_program,https://iowastartingline.com/news/common-thread-iowa-refugee-stories/,Important emerging immigrant-focused newsroom/program; verify direct site/social channels in deeper pass.,core_verified,yes,data/verification/iowa_verification_v1.csv,4
AZ001,Conecta Arizona,,Phoenix / Arizona-Sonora,https://conectaarizona.com/,yes,yes,yes,independent nonprofit bilingual/digital newsroom,current 2026 reporting; founder-led; explicit Hispanic-community and Arizona-Sonora mission; immigration coverage,verified_include,https://www.phoenixmag.com/2026/03/01/waiting-for-translation/,Excellent immigrant-serving nonprofit case.,core_verified,yes,data/verification/arizona_verification_v1.csv,2
CT004,ConnecticutLatino.com,,Statewide,https://www.connecticutlatino.com/,yes,mixed_news_directory,yes,Spanish-language statewide information/news portal,current site provides Connecticut news services events and directories for Latino/Hispanic communities,verified_include_mixed_format,https://www.connecticutlatino.com/,Hybrid portal; assess original reporting share in deeper pass.,core_verified,yes,data/verification/connecticut_verification_v1.csv,5
CT003,CT Mirror en Español,,Statewide,https://ctmirror.org/espanol/,yes,yes,yes_language_service,Spanish-language local-news product within nonprofit CT Mirror,current Spanish coverage created in partnership with Identidad Latina Multimedia,verified_include_hosted_language_product,https://ctmirror.org/espanol/,Important collaborative/hosted language-access model.,core_verified,yes,data/verification/connecticut_verification_v1.csv,4
