website_host,n_records,outlet_ids,outlet_names,jurisdictions,eligibility_statuses,institutional_forms,review_type,review_instruction
accionhispana.org,2,NC008 | NC003,Latino Communications / Qué Pasa Media Network | Qué Pasa / Acción Hispana,North Carolina,classify_host_or_duplicate | verified_include,Spanish-language weekly newspaper and digital platform run by Acción Hispana | corporate/organizational identity associated with Qué Pasa Media,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
asianmedianetwork.com,5,AZ012 | AZ007 | AZ008 | AZ009 | AZ010,Asian Media Network | AZ Chinese News | Filipino American Journal | Saigon Nho / Little Saigon Magazine Arizona | VAATV - Vietnamese American Arizona Television,Arizona,classify_intermediary_host | pending_deeper_verification | verified_include_mixed_format | verified_include_with_parent_evidence,Arizona-based Asian media parent/intermediary | Chinese community news product under Asian Media Network | Vietnamese-American television/community media product | Vietnamese-language weekly magazine/media product | biweekly Filipino-American publication under Asian Media Network,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
avanzautah.org,2,UT003 | UT004,Avanza 88.3 | Punto de Encuentro,Utah,verified_include_hosted_program | verified_include_mixed_format,Spanish-language hosted public-affairs program on Avanza | bilingual public-radio/community media service within University of Utah public media,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
braziliantimes.com,3,CT005 | MD005 | MA003,Brazilian Times II - Connecticut circulation | Brazilian Times II - Maryland circulation | Brazilian Times,Connecticut | Maryland | Massachusetts,multistate_market_case | verified_include,Brazilian Portuguese newspaper based in Massachusetts with Connecticut circulation | Brazilian Portuguese newspaper based in Massachusetts with Maryland circulation | Brazilian Portuguese print/digital/radio media organization,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
contact.mainepublic.org,4,ME004 | ME005 | ME003 | ME006,Maine Public News Connect - French | Maine Public News Connect - Portuguese | Maine Public News Connect - Somali | Maine Public News Connect - Spanish,Maine,verified_include_hosted_program,French-language product within Maine Public News Connect | Portuguese-language product within Maine Public News Connect | Somali-language product within Maine Public News Connect | Spanish-language product within Maine Public News Connect,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
crossingstv.com,2,CA030 | WA016,Crossings TV | Crossings TV Seattle service,California | Washington,verified_include,multilingual Asian television network | multilingual Asian television network serving Seattle market,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
desi.net,2,IN005 | NJ008,Desi.Net Indianapolis | Desi.Net Edison,Indiana | New Jersey,verified_include_network_local_vertical,local South Asian digital news vertical within Desi.Net network,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
dosmundos.com,3,KS004 | MO001 | MO007,Dos Mundos | Dos Mundos | Reyes Media Group,Kansas | Missouri,classify_intermediary_host | multistate_market_case | verified_include,"Spanish-language media parent/host organization | bilingual weekly newspaper based in Kansas City, Missouri | bilingual weekly newspaper within Reyes Media Group",shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
elsemanario.us,2,AZ014 | NM005,El Semanario / The Weekly Issue Arizona market | El Semanario / The Weekly Issue New Mexico market,Arizona | New Mexico,multistate_market_case,Colorado-based bilingual weekly serving Arizona | Colorado-based bilingual weekly serving New Mexico market,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
elsolmedia.com,2,SD001 | SD002,El Sol Media Group / El Sol Newspaper | El Sol Television,South Dakota,verified_include | verified_include_hosted_program,Spanish-language newspaper within local media group | Spanish-language television program within El Sol Media Group,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
eltiempohispano.com,2,DE002 | DE005,El Tiempo Hispano | Hola Delaware LLC,Delaware,classify_intermediary_host | verified_include,bilingual print/digital newspaper published by Hola Delaware LLC | parent/host organization for El Tiempo Hispano,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
eltiempolatino.com,3,DC001 | MD004 | VA004,El Tiempo Latino | El Tiempo Latino - Maryland service | El Tiempo Latino - Virginia service,District of Columbia | Maryland | Virginia,active 2026 local coverage and daily newsletter explicitly serving DC | multistate_market_case | verified_include,Latino-owned Spanish-language print and digital newsroom | Spanish-language regional newsroom based in Washington | Spanish-language regional newsroom based in Washington DC,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
floodcomm.com,2,NE005 | NE004,Radio Lobo | Telemundo Nebraska,Nebraska,pending_deeper_verification | verified_include,Spanish-language local television newsroom within Flood Communications | Spanish-language radio service within Flood Communications,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
gasiantimes.com,4,GA007 | GA002 | GA006 | GA008,Atlanta Burmese Voice | Georgia Asian Times | Georgia Korean Podcast | Usapang Pinoy,Georgia,verified_include | verified_include_hosted_program,Asian-Pacific digital news/community media outlet | Burmese diaspora podcast hosted by Georgia Asian Times | Filipino diaspora podcast hosted by Georgia Asian Times | Korean diaspora podcast hosted by Georgia Asian Times,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
haitiantimes.com,2,FL009 | NY002,The Haitian Times - Florida service | The Haitian Times,Florida | New York,multistate_market_case | verified_include,Haitian diaspora newsroom | Haitian-American national/diaspora newsroom based outside Florida,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
holaamericanews.com,2,IA004 | IA002,Hola America / Quad Cities Iowa market | Hola Iowa,Iowa,multistate_market_case | verified_include,bilingual Latino digital/news brand within Hola America Media Group | bilingual Latino newspaper/media group based in Quad Cities,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
holalatino.com,3,AL004 | AL003 | AL006,Hola Alabama Magazine | Hola Latino Radio | Vida em Alabama,Alabama,verified_include | verified_include_hosted_program,Portuguese-language Brazilian-immigrant initiative within Hola Latino | Spanish-language radio and digital media operation | bilingual Spanish-Portuguese monthly magazine within Hola Latino,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
identidadlatina.com,2,CT002 | CT006,Identidad Latina Multimedia | Identidad Latina Radio,Connecticut,verified_include_hosted_program | verified_include_mixed_format,Latino multimedia organization with print web social and radio | radio product within Identidad Latina Multimedia,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
