outlet_id,outlet_name,state_or_market,city_or_scope,website,website_active,sustained_journalism,immigrant_or_diaspora_serving,institutional_form,public_institutional_signals,eligibility_status,primary_evidence_url,verification_notes
NY001,Documented,New York,New York City,https://documentedny.com/,yes,yes,yes,independent nonprofit immigrant newsroom,nonprofit; team; board; supporters; ethics/editorial policies; multilingual reporting,verified_include,https://documentedny.com/about-us/,Excellent core case: explicitly reports with and for immigrant communities in NYC.
NY002,The Haitian Times,New York,Brooklyn / NYC,https://haitiantimes.com/,yes,yes,yes,Haitian diaspora newsroom,current reporting; donation-supported journalism; newsroom by/for Haitians; diaspora coverage,verified_include,https://haitiantimes.com/donate/,Strong core diaspora case; current site blocked on some pages but active publication is clear.
NY003,Africa in Harlem,New York,Harlem / NYC,https://africainharlem.nyc/,yes,yes,yes,multilingual African immigrant/diaspora community news site,founder; explicit African immigrant/African Diaspora mission; Harlem focus,verified_include,https://africainharlem.nyc/en/about-us/,Very strong core case.
NY004,Feet in 2 Worlds,New York,New York City,https://fi2w.org/,yes,yes,yes,independent nonprofit immigrant-journalist news/training organization,mission; INN/LION membership; podcasts/digital stories; donor disclosure; editorial independence,verified_include,https://www.fi2w.org/about-us/,Strong hybrid newsroom/training case centered on immigrant journalists and stories.
NY005,El Diario / La Prensa,New York,New York City,https://eldiariony.com/,yes,yes,yes,large commercial Spanish-language multimedia newsroom; ImpreMedia,editorial guidelines; newsroom; NY office; local/immigration mission; network affiliation,verified_include,https://eldiariony.com/about-us/,Strong networked commercial comparison; local and immigration information explicitly core.
NY006,Impacto Latino,New York,New York City,https://impactolatino.com/,yes,yes,yes,Spanish-language Latino community newspaper/digital outlet,active 2026 news; founded 1967; explicit immigrant/Hispanic service mission,verified_include,https://impactolatino.com/,Strong longstanding immigrant-serving case.
NY007,La Tribuna Hispana USA,New York,NYC / Long Island / Westchester,https://latribunahispana.com/,likely_yes,likely_yes,yes,Spanish-language community newspaper,current brand/site discoverable; metro Latino-community orientation,pending_deeper_verification,https://latribunahispana.com/,"Retain as strong candidate; ownership, cadence and current institutional structure need direct verification."
NY008,El Correo NY,New York,Queens / NYC,http://www.noticiali.com,unclear,unclear,yes,Spanish-language local outlet,candidate appears conflated with Noticia Long Island in discovery,hold_identity_resolution,,Resolve whether this is a distinct outlet or duplicate/legacy name before inclusion.
NY009,New York Latino,New York,New York City,https://newyorklatino.com/,yes,yes,yes,Spanish-language digital Latino news outlet,current 2026 local news; explicit mission to inform NY Latino community,verified_include,https://newyorklatino.com/,Current active local Latino outlet.
NY010,Akhon Samoy,New York,Queens / NYC,,likely_yes,yes,yes,Bangladeshi/Bengali community weekly,widely listed as New York Bangla community newspaper; direct institutional page not verified,pending_deeper_verification,,"Retain; verify active site, ownership and cadence."
NY011,Bangla Patrika,New York,Queens / NYC,,likely_yes,yes,yes,Bangladeshi community newspaper,Bangla diaspora publication identity clear; direct current institutional evidence incomplete,pending_deeper_verification,,Retain candidate pending direct 2026 verification.
NY012,Bangladesh Pratidin USA,New York,Queens / NYC,,likely_yes,yes,yes,Bengali-language diaspora edition,U.S./New York Bangla edition identity; current institutional structure not fully verified,pending_deeper_verification,,Retain candidate; verify local edition and staff.
NY013,Weekly Thikana,New York,Queens / NYC,https://thikana.us/,yes,yes,yes,Bangladeshi diaspora multi-platform media group,founded in NY; newspaper/IPTV/digital; diaspora mission; government/community campaigns,verified_include,https://thikanagroup.com/,Very strong Bangladeshi diaspora institutional case.
