outlet_id,outlet_name,state,city_or_scope,website,website_active,sustained_journalism,immigrant_or_diaspora_serving,institutional_form,public_institutional_signals,eligibility_status,primary_evidence_url,verification_notes
WA001,International Examiner,Washington,Seattle,https://iexaminer.org/,yes,yes,yes,501(c)(3) nonprofit pan-Asian community newsroom,board; staff; 990; distribution; current publishing schedule,verified_include,https://iexaminer.org/about/,Very strong institutional case; explicit nonprofit governance and current staff structure.
WA002,Northwest Asian Weekly,Washington,Seattle,https://nwasianweekly.com/,yes,yes,yes,Asian American digital community newspaper,active digital publication; new ownership since 2024; community mission,verified_include,https://nwasianweekly.com/about/,Strong fit. Print ended in 2023 but online publication remains active.
WA003,Seattle Chinese Post,Washington,Seattle,https://seattlechinesepost.com/,yes,yes,yes,Chinese-language digital community publication hosted by nonprofit,current 2026 posts; revived under Asia Pacific Cultural Center after 2023 transfer,verified_include,https://seattlechinesepost.com/,Strong hosted-media case; institutional change should be coded at host-organization level.
WA004,Seattle Chinese Times,Washington,Seattle,https://seattlechinesetimes.com/,yes,yes,yes,Chinese-language/bilingual community news outlet,current 2026 local/community/election coverage,verified_include,https://seattlechinesetimes.com/,Strong current community-news case.
WA005,Northwest Vietnamese News,Washington,Seattle / Newcastle,https://nvnorthwest.com/,yes,yes,yes,Vietnamese community newspaper; independent branch of Nguoi Viet Daily,CEO; editor; assistant editor; family management; TV reporting; community history,verified_include,https://nvnorthwest.com/about/,Excellent fit and strong institutional-detail case.
WA006,Seattle Viet Times,Washington,Mill Creek / Greater Seattle,,likely_yes,yes,yes,Vietnamese weekly community newspaper,listed in current community-media directories; contact and journalism category visible,verified_include_with_directory_evidence,https://echox.org/directory/seattle-viet-times/,Current outlet identity supported by community-media directory; direct website not identified in this pass.
WA007,Runta News,Washington,Seattle / Northwest,https://runtanews.com/,yes,yes,yes,Somali/African/Muslim multimedia community outlet,publisher/chief editor; managing editor; current local/community coverage; multimedia operation,verified_include,https://runtanews.com/about-us/,Very strong immigrant-serving fit.
WA008,The North American Post,Washington,Seattle,https://napost.com/,yes,yes,yes,Japanese-English community newspaper; minority-owned publisher,corporate overview; bilingual mission; circulation; publishing schedule; nonprofit archival arm,verified_include,https://napost.com/about/,Strong institutional-variation case; serves Japanese Americans and newly arriving Japanese natives.
WA009,Korea Daily Seattle,Washington,Seattle,,likely_yes,yes,yes,Korean-language community news outlet,listed by Seattle civic-engagement media partners; Seattle market presence,verified_include_with_directory_evidence,https://www.cityofseattle.org/immigrant-and-refugee/issues-and-policies/voting-data,"Eligible, but direct current local-site and ownership verification should be added in a later institutional-depth pass."
WA010,Korea Times Seattle,Washington,Seattle,,likely_yes,yes,yes,Korean-language community newspaper,listed in current Seattle newspaper directories; Seattle edition identity,verified_include_with_directory_evidence,https://www.w3newspapers.com/usa/washington/seattle/,Eligible; direct local institutional page still needs deeper verification.
WA011,Filipino American Herald,Washington,Seattle / Pacific Northwest,,unclear_current_operation,unclear,yes,Filipino community newspaper,Washington public directories identify outlet and Pacific Northwest range; historical publication well documented,pending_verification,https://capaa.wa.gov/sites/default/files/2024-01/CAPAA-Report-Whitman-County.pdf,Keep candidate. Need stronger current publication evidence before final active-frame inclusion.
WA012,One Philippines,Washington,Seattle / statewide,,unclear_current_operation,unclear,yes,Filipino community newspaper,"Washington public directory lists outlet, address, statewide range",pending_verification,https://capaa.wa.gov/sites/default/files/2024-01/CAPAA-Report-Whitman-County.pdf,Retain candidate; current website/activity not independently confirmed.
WA013,La Raza del Noroeste,Washington,Seattle / Puget Sound,https://www.larazanw.com/,yes,yes,yes,Spanish-language commercial community publication; Black Press/Sound Publishing network,publisher; advertising structure; local coverage; Spanish-language mission; corporate affiliation,verified_include,https://www.larazanw.com/advertising/,Strong network-affiliated comparison case.
