outlet_id,outlet_name,state,city,website,discovery_source,screening_status
MN001,Sahan Journal,Minnesota,St. Paul,https://sahanjournal.com/,Minneapolis multicultural media directory + outlet website,seed_verified_candidate
MN002,Somali Media of Minnesota,Minnesota,Minneapolis,https://www.somalmedia.com/,Outlet website,seed_verified_candidate
MN003,Hmong Times,Minnesota,St. Paul,https://hmongtimes.com/,Minneapolis multicultural media directory + outlet website,seed_verified_candidate
MN004,Korean Quarterly,Minnesota,St. Paul,https://www.koreanquarterly.org/,Minneapolis multicultural media directory + outlet website,seed_verified_candidate
MN005,La Prensa de Minnesota,Minnesota,Minneapolis,https://laprensademn.com/,Minneapolis multicultural media directory + outlet website,seed_verified_candidate
MN006,KALY Somali American Radio,Minnesota,Minneapolis,https://kalyradio.org/,Minneapolis multicultural media directory + outlet website,seed_verified_candidate
MN007,The AfricaPaper,Minnesota,,https://theafricapaper.com/,Outlet website,candidate_verify
WI001,La Comunidad News Online,Wisconsin,Madison,https://wisconsinlcnews.com/,Outlet website / prior discovery pass,candidate_verify
WI002,Suab Hmong News,Wisconsin,Milwaukee,https://suabhmongnews.com/,CUNY immigrant media profile / prior discovery pass,candidate_verify
WI003,El Conquistador Latino Newspaper,Wisconsin,Milwaukee,https://www.mkenews.com/,Outlet website / prior discovery pass,candidate_verify
WI004,Wisconsin Latino News,Wisconsin,,https://wilatinonews.com/,Outlet website / Latino News Network,candidate_verify
IL001,Borderless Magazine,Illinois,Chicago,https://borderlessmag.org/,Outlet website / Chicago immigration-news ecosystem,seed_verified_candidate
IL002,Cicero Independiente,Illinois,Cicero,https://www.ciceroindependiente.com/,Chicago immigration-news ecosystem,candidate_verify
IL003,La Raza,Illinois,Chicago,https://laraza.com/,Chicago immigration-news ecosystem,candidate_verify
IL004,La Voz Chicago,Illinois,Chicago,https://lavozchicago.com/,Chicago immigration-news ecosystem,candidate_verify
IL005,Chinatown Spotlight,Illinois,Chicago,,Chicago immigration-news ecosystem,candidate_verify
WA001,International Examiner,Washington,Seattle,https://iexaminer.org/,Seattle Office of Immigrant and Refugee Affairs directory,seed_verified_candidate
WA002,Northwest Asian Weekly,Washington,Seattle,https://nwasianweekly.com/,Seattle ethnic media directory / outlet website,seed_verified_candidate
WA003,Seattle Chinese Post,Washington,Seattle,https://seattlechinesepost.com/,Seattle ethnic media directory / outlet website,candidate_verify
WA004,Runta News,Washington,Seattle,https://runtanews.com/,Seattle ethnic media directory / outlet website,candidate_verify
WA005,The North American Post,Washington,Seattle,https://napost.com/,Seattle ethnic media directory / outlet website,candidate_verify
WA006,Northwest Vietnamese News,Washington,Seattle,https://nvnorthwest.com/,Seattle ethnic media directory / outlet website,candidate_verify
NC001,Enlace Latino NC,North Carolina,Raleigh,https://enlacelatinonc.org/,Outlet website / American Journalism Project,seed_verified_candidate
NC002,La Noticia,North Carolina,Charlotte,https://lanoticia.com/,Outlet website,seed_verified_candidate
NC003,Qué Pasa / Acción Hispana,North Carolina,,https://accionhispana.org/,Outlet website,candidate_verify
NC004,Hola Carolina,North Carolina,Asheville,https://holacarolina.org/,Outlet website,candidate_verify
