outlet_id,organization_id,outlet_name,jurisdiction,state_or_market,city_or_scope,website,record_type,ownership_or_governance_form_phase1a,media_format,language_model,community_orientation,geographic_scope,founding_year,founding_status,founder_or_origin_note,parent_or_host_name,parent_resource_relationship,legal_organizational_form,ownership_structure,governing_board_public,board_or_governance_url,public_staff_count,staff_size_band,staff_count_basis,editorial_leadership_public,public_editorial_roles,employment_model_public,revenue_model,revenue_sources_public,annual_revenue_amount,annual_revenue_year,revenue_band,funders_publicly_named,named_funders,funding_source_url,network_memberships,network_membership_status,collaborative_partnerships_public,partnership_note,legal_support_status,legal_support_scope,legal_support_provider,legal_support_source_url,legal_support_disclosure_status,safety_support_status,safety_support_types,safety_policy_public,safety_source_url,editorial_policy_public,corrections_policy_public,ethics_policy_public,privacy_or_source_policy_public,publishing_cadence,platform_presence,platform_dependence_public_signal,platform_monetization_status,monetized_platforms,platform_monetization_model,platform_revenue_dependency,platform_revenue_share_or_amount,platform_revenue_evidence_url,referral_dependency_status,major_referral_sources,owned_audience_channels,owned_audience_strength_public_signal,platform_policy_financial_exposure,documented_demonetization_or_restriction_event,platform_risk_source_url,revenue_concentration_public_signal,grant_dependency_public_signal,government_advertising_dependency_public_signal,major_funding_loss_event_public,financial_security_note,public_contact_available,public_contact_type,editor_or_leader_name_public,editor_or_leader_role_public,recruitment_source_url,primary_enrichment_source_url,secondary_enrichment_source_url,source_type,evidence_date,date_checked,enrichment_confidence,enrichment_notes,enrichment_version
AL004,,Hola Alabama Magazine,Alabama,Alabama,Birmingham / statewide,https://holalatino.com/,hosted_program,unclear,print,bilingual,unclear,statewide,,not_searched,,,not_searched,not_searched,not_searched,not_searched,,,not_searched,not_searched,not_searched,,not_searched,not_searched,,,,not_searched,not_searched,,,,not_searched,not_searched,,not_searched,,,,not_searched,not_searched,,not_searched,,not_searched,not_searched,not_searched,not_searched,not_searched,,not_searched,not_searched,,,not_searched,,,not_searched,,,not_searched,,not_searched,,not_searched,not_searched,not_searched,not_searched,,not_searched,,,,,https://holalatino.com/sales-package/,,,,,not_searched,,phase1b-v1.0
AL003,,Hola Latino Radio,Alabama,Alabama,Birmingham / statewide,https://holalatino.com/,standalone_outlet,unclear,mixed_platform,single_non_english,immigrant_general,statewide,,not_searched,,,not_searched,not_searched,not_searched,not_searched,,,not_searched,not_searched,not_searched,,not_searched,not_searched,,,,not_searched,not_searched,,,,not_searched,not_searched,,not_searched,,,,not_searched,not_searched,,not_searched,,not_searched,not_searched,not_searched,not_searched,not_searched,,not_searched,not_searched,,,not_searched,,,not_searched,,,not_searched,,not_searched,,not_searched,not_searched,not_searched,not_searched,,not_searched,,,,,https://holalatino.com/,,,,,not_searched,,phase1b-v1.0
AL001,,Latino News,Alabama,Alabama,Birmingham / statewide,https://latino-news.com/,standalone_outlet,for_profit_private,print,single_non_english,ethnic_or_racial_community,statewide,,not_searched,,,not_searched,not_searched,not_searched,not_searched,,,not_searched,not_searched,not_searched,,not_searched,not_searched,,,,not_searched,not_searched,,,,not_searched,not_searched,,not_searched,,,,not_searched,not_searched,,not_searched,,not_searched,not_searched,not_searched,not_searched,not_searched,,not_searched,not_searched,,,not_searched,,,not_searched,,,not_searched,,not_searched,,not_searched,not_searched,not_searched,not_searched,,not_searched,,,,,https://latino-news.com/,,,,,not_searched,,phase1b-v1.0
AL002,,LIDER News,Alabama,Alabama,Birmingham / statewide,https://www.lider.fm/,standalone_outlet,for_profit_private,mixed_platform,single_non_english,language_community,statewide,,not_searched,,,not_searched,not_searched,not_searched,not_searched,,,not_searched,not_searched,not_searched,,not_searched,not_searched,,,,not_searched,not_searched,,,,not_searched,not_searched,,not_searched,,,,not_searched,not_searched,,not_searched,,not_searched,not_searched,not_searched,not_searched,not_searched,,not_searched,not_searched,,,not_searched,,,not_searched,,,not_searched,,not_searched,,not_searched,not_searched,not_searched,not_searched,,not_searched,,,,,https://www.lider.fm/,,,,,not_searched,,phase1b-v1.0
AL006,,Vida em Alabama,Alabama,Alabama,Birmingham / statewide,https://holalatino.com/,hosted_program,unclear,unclear,single_non_english,diaspora_national_origin,statewide,,not_searched,,,not_searched,not_searched,not_searched,not_searched,,,not_searched,not_searched,not_searched,,not_searched,not_searched,,,,not_searched,not_searched,,,,not_searched,not_searched,,not_searched,,,,not_searched,not_searched,,not_searched,,not_searched,not_searched,not_searched,not_searched,not_searched,,not_searched,not_searched,,,not_searched,,,not_searched,,,not_searched,,not_searched,,not_searched,not_searched,not_searched,not_searched,,not_searched,,,,,https://holalatino.com/,,,,,not_searched,,phase1b-v1.0
AK003,,Alaska Korean Community News,Alaska,Alaska,Anchorage / statewide,https://knewsak907.com/,shared_operation_distinct_product,unclear,print,single_non_english,diaspora_national_origin,statewide,,not_searched,,,not_searched,not_searched,not_searched,not_searched,,,not_searched,not_searched,not_searched,,not_searched,not_searched,,,,not_searched,not_searched,,,,not_searched,not_searched,,not_searched,,,,not_searched,not_searched,,not_searched,,not_searched,not_searched,not_searched,not_searched,not_searched,,not_searched,not_searched,,,not_searched,,,not_searched,,,not_searched,,not_searched,,not_searched,not_searched,not_searched,not_searched,,not_searched,,,,,https://knewsak907.com/,,,,,not_searched,,phase1b-v1.0
AK002,,Anchorage Korean News,Alaska,Alaska,Anchorage / statewide,https://akn907.com/,shared_operation_distinct_product,unclear,print,bilingual,diaspora_national_origin,statewide,,not_searched,,,not_searched,not_searched,not_searched,not_searched,,,not_searched,not_searched,not_searched,,not_searched,not_searched,,,,not_searched,not_searched,,,,not_searched,not_searched,,not_searched,,,,not_searched,not_searched,,not_searched,,not_searched,not_searched,not_searched,not_searched,not_searched,,not_searched,not_searched,,,not_searched,,,not_searched,,,not_searched,,not_searched,,not_searched,not_searched,not_searched,not_searched,,not_searched,,,,,https://akn907.com/,,,,,not_searched,,phase1b-v1.0
AK001,,Sol de Medianoche,Alaska,Alaska,Anchorage / statewide,https://www.soldemedianochenews.org/,standalone_outlet,unclear,print,bilingual,unclear,statewide,,not_searched,,,not_searched,not_searched,not_searched,not_searched,,,not_searched,not_searched,not_searched,,not_searched,not_searched,,,,not_searched,not_searched,,,,not_searched,not_searched,,not_searched,,,,not_searched,not_searched,,not_searched,,not_searched,not_searched,not_searched,not_searched,not_searched,,not_searched,not_searched,,,not_searched,,,not_searched,,,not_searched,,not_searched,,not_searched,not_searched,not_searched,not_searched,,not_searched,,,,,https://soldemedianochenews.org/en/about-us/,,,,,not_searched,,phase1b-v1.0
AZ011,,Asian Sun Magazine,Arizona,Arizona,Statewide,https://azasianchamber.com/asiansun,standalone_outlet,unclear,print,unclear,unclear,statewide,,not_searched,,,not_searched,not_searched,not_searched,not_searched,,,not_searched,not_searched,not_searched,,not_searched,not_searched,,,,not_searched,not_searched,,,,not_searched,not_searched,,not_searched,,,,not_searched,not_searched,,not_searched,,not_searched,not_searched,not_searched,not_searched,not_searched,,not_searched,not_searched,,,not_searched,,,not_searched,,,not_searched,,not_searched,,not_searched,not_searched,not_searched,not_searched,,not_searched,,,,,https://azasianchamber.com/asiansun,,,,,not_searched,,phase1b-v1.0
AZ007,,AZ Chinese News,Arizona,Arizona,Phoenix,https://asianmedianetwork.com/,standalone_outlet,unclear,unclear,unclear,unclear,neighborhood_or_city,,not_searched,,,not_searched,not_searched,not_searched,not_searched,,,not_searched,not_searched,not_searched,,not_searched,not_searched,,,,not_searched,not_searched,,,,not_searched,not_searched,,not_searched,,,,not_searched,not_searched,,not_searched,,not_searched,not_searched,not_searched,not_searched,not_searched,,not_searched,not_searched,,,not_searched,,,not_searched,,,not_searched,,not_searched,,not_searched,not_searched,not_searched,not_searched,,not_searched,,,,,https://asianmedianetwork.com/about-us/,,,,,not_searched,,phase1b-v1.0
