outlet_id,outlet_name,jurisdiction,field,proposed_value,reason,source_value,institutional_form,eligibility_status,verification_notes
AL005,Alabama TV,Alabama,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes_latino_listing | Spanish-language television outlet listed in Latino-media map | CUNY Latino Media Map lists Alabama TV; no sufficiently specific current outlet identity or institutional site confirmed,Spanish-language television outlet listed in Latino-media map,pending_verification,"Do not place in active verified frame yet. Needs exact current station identity, ownership, and journalism/public-affairs verification."
AL004,Hola Alabama Magazine,Alabama,community_orientation,unclear,community orientation not explicit enough for deterministic coding,"yes | bilingual Spanish-Portuguese monthly magazine within Hola Latino | monthly publication; local news; legal, health, business and family information; statewide Latino/New American audience",bilingual Spanish-Portuguese monthly magazine within Hola Latino,verified_include_hosted_program,Eligible as a program/publication within Hola Latino rather than a fully separate organization. Use host-organization linkage in master database.
AL002,LIDER News,Alabama,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language newspaper/radio/TV network; Horizon Entertainment Inc. d/b/a Lider News | current 2026 Alabama and migration coverage; Alabama Press Association listing; weekly print distribution; advertising-funded; radio/TV presence,Spanish-language newspaper/radio/TV network; Horizon Entertainment Inc. d/b/a Lider News,verified_include,Strong active fit. Institutional evidence supports a multi-platform Spanish-language community news operation.
AL002,LIDER News,Alabama,journalism_intensity,journalism_substantial_mixed_content,sustained journalism coexists with substantial non-journalism content,yes | Spanish-language newspaper/radio/TV network; Horizon Entertainment Inc. d/b/a Lider News | current 2026 Alabama and migration coverage; Alabama Press Association listing; weekly print distribution; advertising-funded; radio/TV presence,Spanish-language newspaper/radio/TV network; Horizon Entertainment Inc. d/b/a Lider News,verified_include,Strong active fit. Institutional evidence supports a multi-platform Spanish-language community news operation.
AL006,Vida em Alabama,Alabama,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Portuguese-language Brazilian-immigrant initiative within Hola Latino | explicitly created for new Brazilian immigrants; Portuguese-language information/news; print/digital content; advertising structure,Portuguese-language Brazilian-immigrant initiative within Hola Latino,verified_include_hosted_program,"Eligible as a hosted immigrant-serving media program, not a separate parent organization. Link to Hola Latino as host."
AK003,Alaska Korean Community News,Alaska,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Korean-language newspaper and digital outlet | Current September 2026 publication; 2026 merger retained distinct publication identities with alternating print schedule,Korean-language newspaper and digital outlet,verified_include_core_shared_operation,Retain distinct outlet identity while linking operational consolidation with AK002.
AK002,Anchorage Korean News,Alaska,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | bilingual Korean-English newspaper and digital outlet | Current September 2026 Alaska and Korean-community reporting; 2026 merger reporting says it now operates jointly with Alaska Korean Community News,bilingual Korean-English newspaper and digital outlet,verified_include_core,Count as distinct editorial product but note shared operation.
AK001,Sol de Medianoche,Alaska,community_orientation,unclear,community orientation not explicit enough for deterministic coding,yes | bilingual Latino newspaper and digital outlet | Official site identifies itself as Alaska's first bilingual newspaper and says it serves Latino information needs; current September 2026 reporting and print edition visible,bilingual Latino newspaper and digital outlet,verified_include_core,Strong core inclusion.
AZ012,Asian Media Network,Arizona,community_orientation,unclear,community orientation not explicit enough for deterministic coding,"yes | Arizona-based Asian media parent/intermediary | operates Chinese, Filipino and Vietnamese print/radio/TV affiliates",Arizona-based Asian media parent/intermediary,classify_intermediary_host,Do not count as one outlet; link subsidiary products to host.
AZ011,Asian Sun Magazine,Arizona,community_orientation,unclear,community orientation not explicit enough for deterministic coding,"yes | quarterly AAHPI community magazine published by Arizona Asian Chamber | current Summer 2026 edition; culture, business and current events; statewide community reach",quarterly AAHPI community magazine published by Arizona Asian Chamber,verified_include_mixed_format,Eligible mixed-format community publication; not a hard-news newsroom.
AZ007,AZ Chinese News,Arizona,community_orientation,unclear,community orientation not explicit enough for deterministic coding,yes | Chinese community news product under Asian Media Network | parent identifies AZ Chinese News among Chinese affiliate publications,Chinese community news product under Asian Media Network,verified_include_with_parent_evidence,Include provisionally; direct publication page and cadence should be verified later.
AZ014,El Semanario / The Weekly Issue Arizona market,Arizona,community_orientation,unclear,community orientation not explicit enough for deterministic coding,yes | Colorado-based bilingual weekly serving Arizona | publisher states Arizona is one of six national markets,Colorado-based bilingual weekly serving Arizona,multistate_market_case,Do not count as Arizona-based newsroom; retain as Arizona-serving market case.
