outlet_id,outlet_name,state,city_or_scope,website,website_active,sustained_journalism,immigrant_or_diaspora_serving,institutional_form,public_institutional_signals,eligibility_status,primary_evidence_url,verification_notes,analysis_tier,core_inclusion,source_file,source_row_number
SC013,Activa Radio Greenville,,Greenville / Spartanburg,https://activanetwork.com/greenville,current_listing,mixed_news_entertainment,yes,Spanish-language commercial radio network,South Carolina DPH lists active Upstate service across multiple frequencies,verified_include_mixed_format,https://dph.sc.gov/professionals/public-health-data/data-care-dtc/data-care-dtc-latinx-resources,Eligible mixed-format case; direct news/public-affairs cadence should be coded later.,core_verified,yes,data/verification/south_carolina_verification_v1.csv,14
NY003,Africa in Harlem,,Harlem / NYC,https://africainharlem.nyc/,yes,yes,yes,multilingual African immigrant/diaspora community news site,founder; explicit African immigrant/African Diaspora mission; Harlem focus,verified_include,https://africainharlem.nyc/en/about-us/,Very strong core case.,core_verified,yes,data/verification/new_york_verification_v1.csv,4
NY010,Akhon Samoy,,Queens / NYC,,likely_yes,yes,yes,Bangladeshi/Bengali community weekly,widely listed as New York Bangla community newspaper; direct institutional page not verified,pending_deeper_verification,,"Retain; verify active site, ownership and cadence.",pending_verification,no,data/verification/new_york_verification_v1.csv,11
NY031,AKTINA FM / AKTINA TV,,New York City,https://www.aktina.org/,likely_yes,yes_mixed_format,yes,Greek/Cypriot nonprofit broadcast programming,Greek/Cypriot community mission; radio/TV programming,pending_deeper_verification,https://www.aktina.org/,Retain; verify current 2026 schedule and journalism/public-affairs share.,pending_verification,no,data/verification/new_york_verification_v1.csv,32
NY025,Alhawadeth for Arab Americans,,Brooklyn / NYC,http://alhawadeth.net,unclear_current_operation,historically_yes,yes,Arabic-English Arab-American newspaper/site,Arab-American community-media identity; current publication cadence not firmly verified,pending_verification,,Keep candidate; obtain current 2026 activity before inclusion.,pending_verification,no,data/verification/new_york_verification_v1.csv,26
AZ012,Asian Media Network,,Phoenix / statewide,https://asianmedianetwork.com/,yes,no_as_single_outlet,yes,Arizona-based Asian media parent/intermediary,"operates Chinese, Filipino and Vietnamese print/radio/TV affiliates",classify_intermediary_host,https://asianmedianetwork.com/about-us/,Do not count as one outlet; link subsidiary products to host.,other_review_status,no,data/verification/arizona_verification_v1.csv,13
AZ011,Asian Sun Magazine,,Statewide,https://azasianchamber.com/asiansun,yes,mixed_magazine_journalism,yes,quarterly AAHPI community magazine published by Arizona Asian Chamber,"current Summer 2026 edition; culture, business and current events; statewide community reach",verified_include_mixed_format,https://azasianchamber.com/asiansun,Eligible mixed-format community publication; not a hard-news newsroom.,core_verified,yes,data/verification/arizona_verification_v1.csv,12
AZ007,AZ Chinese News,,Phoenix,https://asianmedianetwork.com/,yes_via_parent,yes,yes,Chinese community news product under Asian Media Network,parent identifies AZ Chinese News among Chinese affiliate publications,verified_include_with_parent_evidence,https://asianmedianetwork.com/about-us/,Include provisionally; direct publication page and cadence should be verified later.,core_verified,yes,data/verification/arizona_verification_v1.csv,8
NY011,Bangla Patrika,,Queens / NYC,,likely_yes,yes,yes,Bangladeshi community newspaper,Bangla diaspora publication identity clear; direct current institutional evidence incomplete,pending_deeper_verification,,Retain candidate pending direct 2026 verification.,pending_verification,no,data/verification/new_york_verification_v1.csv,12
NY012,Bangladesh Pratidin USA,,Queens / NYC,,likely_yes,yes,yes,Bengali-language diaspora edition,U.S./New York Bangla edition identity; current institutional structure not fully verified,pending_deeper_verification,,Retain candidate; verify local edition and staff.,pending_verification,no,data/verification/new_york_verification_v1.csv,13
