evidence_id,outlet_id,organization_id,field_name,coded_value,evidence_text,source_url,source_type,evidence_date,date_checked,coding_confidence,notes,source_batch,source_row
EVID000001,AZ001,,legal_organizational_form,fiscally_sponsored_project,Conecta Arizona states it is fiscally sponsored by Alternative Newsweekly Foundation.,https://conectaarizona.com/donor-policy/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,2
EVID000002,AZ001,,revenue_model,philanthropy_or_grants_primary,"Donor policy identifies donations and grants and publicly lists major contributors over $5,000.",https://conectaarizona.com/donor-policy/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,3
EVID000003,AZ001,,revenue_sources_public,individual_donations;foundation_grants,Public donor policy documents donations and grants.,https://conectaarizona.com/donor-policy/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,4
EVID000004,AZ001,,funders_publicly_named,yes,"Major funders over $5,000 are publicly disclosed.",https://conectaarizona.com/donor-policy/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,5
EVID000005,AZ001,,named_funders,JSK Community Impact Fellowship at Stanford;The Listening Post Collective;NAHJ;American Press Institute;Solutions Journalism Network;Election SOS;Feet in 2 Worlds;Google News Initiative,Names reproduced from outlet donor disclosure.,https://conectaarizona.com/donor-policy/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,6
EVID000006,AZ001,,financial_security_note,Public donor policy shows reliance on multiple journalism and philanthropic funders rather than one disclosed funder.,Do not infer total grant dependence without budget data.,https://conectaarizona.com/donor-policy/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,7
EVID000007,CA001,,legal_organizational_form,fiscally_sponsored_project,El Tímpano states it is a nonprofit organization fiscally sponsored by Mission Edge San Diego.,https://www.eltimpano.org/mission-story/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,8
EVID000008,CA001,,parent_or_host_name,Mission Edge San Diego,Fiscal sponsor disclosed by outlet.,https://www.eltimpano.org/mission-story/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,9
EVID000009,CA001,,revenue_sources_public,individual_donations;foundation_grants;sponsorships,Mission page states gifts grants and sponsorships are accepted.,https://www.eltimpano.org/mission-story/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,10
EVID000010,CA001,,funders_publicly_named,yes,"Outlet states it publicly discloses donors of $5,000 or more annually.",https://www.eltimpano.org/mission-story/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,11
EVID000011,CA001,,corrections_policy_public,yes,Mission page contains an explicit corrections commitment.,https://www.eltimpano.org/mission-story/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,12
EVID000012,CA001,,governing_board_public,yes,Outlet links to fiscal sponsor governing board and its own leadership/staff/advisory council.,https://www.eltimpano.org/mission-story/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,13
EVID000013,CA002,,parent_or_host_name,Acción Latina,Acción Latina identifies El Tecolote as its flagship community media program.,https://accionlatina.org/en/history/,official_parent_or_host_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,14
EVID000014,CA002,,legal_organizational_form,community_or_civic_host,El Tecolote is published as a program of nonprofit Acción Latina.,https://accionlatina.org/en/history/,official_parent_or_host_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,15
EVID000015,CA002,,ownership_structure,parent_organization_owned,Acción Latina is the nonprofit publisher/host.,https://accionlatina.org/en/history/,official_parent_or_host_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,16
EVID000016,CA002,,public_staff_count,4,Current public team page lists four named El Tecolote-specific staff roles: editor-in-chief business manager Spanish copy editor and distribution manager.,https://accionlatina.org/en/our-team/,official_parent_or_host_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,17
EVID000017,CA002,,staff_size_band,2_5,Band based on four currently named El Tecolote-specific staff on host team page; volunteers/contributors are additional.,https://accionlatina.org/en/our-team/,official_parent_or_host_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,18
EVID000018,CA002,,public_editorial_roles,editor_in_chief;business_manager;spanish_copy_editor;distribution_manager,Roles explicitly listed by host organization.,https://accionlatina.org/en/our-team/,official_parent_or_host_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,19
EVID000019,CA002,,employment_model_public,volunteer_heavy,Acción Latina states approximately 90 percent of El Tecolote staff are dedicated volunteers.,https://accionlatina.org/en/el-tecolote-history/,official_parent_or_host_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,20
EVID000020,CA002,,revenue_sources_public,foundation_grants;advertising;parent_or_host_support,"Acción Latina reported over $1 million in national grants; current El Tecolote advertising materials document advertising sales.",https://eltecolote.org/content/en/accion-latina-executive-director-fatima-ramirez/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,21
EVID000021,CA002,,funders_publicly_named,yes,Mellon and MacArthur Foundations are named among more than a dozen funders.,https://eltecolote.org/content/en/accion-latina-executive-director-fatima-ramirez/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,22
EVID000022,CA002,,financial_security_note,In September 2026 Mission Local reported staff departures and stalled contracts despite budgeted positions; keep this as an event in the risk table rather than treating it as a static organizational trait.,Current staffing instability publicly documented.,https://missionlocal.org/2026/09/el-tecolote-longtime-mission-paper-loses-top-editor-as-staffers-exit/,credible_secondary_reporting,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,23
EVID000023,CA003,,legal_organizational_form,nonprofit_501c3,India Currents states it is a 501(c)(3) nonprofit and nonpartisan news organization.,https://indiacurrents.com/how-were-funded/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,24
EVID000024,CA003,,revenue_model,mixed_revenue,Outlet states it is funded through foundations sponsors and donors.,https://indiacurrents.com/how-were-funded/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,25
EVID000025,CA003,,revenue_sources_public,foundation_grants;sponsorships;individual_donations,Funding mix explicitly disclosed.,https://indiacurrents.com/how-were-funded/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,26
EVID000026,CA003,,network_memberships,Institute for Nonprofit News;URL Media;LION Publishers,INN membership explicitly stated; 2026 impact report documents support/collaboration from URL Media and LION Publishers.,https://indiacurrents.com/how-were-funded/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,27
EVID000027,CA003,,network_membership_status,verified_member,INN membership explicitly verified.,https://indiacurrents.com/how-were-funded/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,28
EVID000028,CA003,,funders_publicly_named,yes,2026 impact report names institutional supporters.,https://indiacurrents.com/india-currents-impact-report-2026/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,29
EVID000029,CA003,,named_funders,Silicon Valley Community Foundation;URL Media;Press Forward;LION Publishers;UC Berkeley Local News Fellowship,Named supporters and investments in current impact report.,https://indiacurrents.com/india-currents-impact-report-2026/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,30
EVID000030,CA003,,owned_audience_channels,whatsapp;direct_web;social_media,Impact report documents website traffic WhatsApp community and social platforms.,https://indiacurrents.com/india-currents-impact-report-2026/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,31
EVID000031,CA003,,platform_dependence_public_signal,platform_substantial,Impact report documents substantial audience reach and engagement through Instagram TikTok and WhatsApp while also reporting direct website traffic.,https://indiacurrents.com/india-currents-impact-report-2026/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,32
EVID000032,MN002,,founding_year,2023,About page states founded in February 2023.,https://www.somalmedia.com/about-us/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,33
EVID000033,MN002,,legal_organizational_form,nonprofit_501c3,Outlet describes itself as a nonprofit digital newsroom; exact IRS classification should be separately verified before tax-specific use.,https://www.somalmedia.com/about-us/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,34
EVID000034,MN002,,public_staff_count,4,Public team page lists four named newsroom team members.,https://www.somalmedia.com/our-team/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,35
EVID000035,MN002,,staff_size_band,2_5,Band based on four named team members.,https://www.somalmedia.com/our-team/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,36
EVID000036,MN002,,editorial_leadership_public,yes,Founder/director roles are publicly listed.,https://www.somalmedia.com/our-team/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,37
EVID000037,MN002,,governing_board_public,yes,Five board members are publicly listed.,https://www.somalmedia.com/our-team/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,38
EVID000038,MN002,,platform_presence,website;social_media;community_events,Outlet states stories reach audiences via website social media TV and community event coverage.,https://www.somalmedia.com/about-us/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,39
EVID000039,MN002,,public_contact_available,multiple_contact_routes,Public email phone address and contact form are available.,https://www.somalmedia.com/contact-us/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,40
EVID000040,MN004,,legal_organizational_form,nonprofit_501c3,Korean Quarterly states it is a 501(c)(3) nonprofit; ProPublica independently lists tax exemption.,https://www.koreanquarterly.org/staff/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,41
EVID000041,MN004,,public_staff_count,9,Nine unique named publisher/editor/writer/design-production contributors are publicly listed; this may not equal FTE employment.,https://www.koreanquarterly.org/staff/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,42
EVID000042,MN004,,staff_size_band,6_10,Band based on nine unique named contributors.,https://www.koreanquarterly.org/staff/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,43
EVID000043,MN004,,revenue_model,donations_primary,2025 Form 990-EZ data show contributions were 74.8% of reported revenue.,https://projects.propublica.org/nonprofits/organizations/411876410,government_or_tax_record,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,44
EVID000044,MN004,,revenue_sources_public,individual_donations;advertising;subscriptions,Outlet states it is supported by donations advertisers and subscribers.,https://www.koreanquarterly.org/staff/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,45
EVID000045,MN004,,annual_revenue_amount,20016,"ProPublica Nonprofit Explorer reports 2025 revenue of $20,016 from IRS filing data.",https://projects.propublica.org/nonprofits/organizations/411876410,government_or_tax_record,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,46
EVID000046,MN004,,annual_revenue_year,2025,IRS fiscal year ending December 2025.,https://projects.propublica.org/nonprofits/organizations/411876410,government_or_tax_record,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,47
EVID000047,MN004,,revenue_band,under_100k,"Band derived from documented $20,016 revenue.",https://projects.propublica.org/nonprofits/organizations/411876410,government_or_tax_record,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,48
EVID000048,MN004,,financial_security_note,Very small publicly reported annual revenue and heavy contribution dependence suggest limited financial scale; this is descriptive capacity evidence not a risk score.,Do not infer insolvency or instability from size alone.,https://projects.propublica.org/nonprofits/organizations/411876410,government_or_tax_record,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch01.csv,49
EVID000049,MN001,,legal_organizational_form,nonprofit_501c3,Sahan Journal identifies itself as a nonprofit newsroom and publishes a tax identification number and tax/financial documents.,https://sahanjournal.com/about-sahan-journal/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch02.csv,2
EVID000050,MN001,,governing_board_public,yes,Current board members are publicly listed.,https://sahanjournal.com/about-sahan-journal/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch02.csv,3
EVID000051,MN001,,revenue_model,mixed_revenue,Funding section identifies funders advertising and donors.,https://sahanjournal.com/about-sahan-journal/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch02.csv,4
EVID000052,MN001,,revenue_sources_public,foundation_grants;advertising;individual_donations;memberships;sponsorships,Public funding materials and impact reports describe grants advertising sponsorships memberships and individual support.,https://sahanjournal.com/about-sahan-journal/,official_outlet_site,,,requires_manual_review,Migrated from legacy enrichment batch without inventing missing evidence-date/check-date metadata; review before canonical analytical merge.,priority_batch02.csv,5
