outlet_id,outlet_name,state_or_market,city_or_scope,website,website_active,sustained_journalism,immigrant_or_diaspora_serving,institutional_form,public_institutional_signals,eligibility_status,primary_evidence_url,verification_notes
NJ001,Radio Jornalera NJ,New Jersey,Newark / statewide,,yes_via_current_reporting,yes,yes,grassroots immigrant-worker radio/digital outlet launched by Resistencia en Acción,active 2026 on-the-ground reporting; eight shows; Spanish-speaking immigrant-worker audience; volunteer/community journalism model,verified_include_with_secondary_evidence,https://www.theguardian.com/us-news/2026/jun/13/radio-jornalera-new-jersey-immigration-detention-center,Excellent immigrant-led grassroots media case; direct website/social metadata should be added later.
NJ002,Reporte Hispano,New Jersey,Statewide,https://reportehispano.com/,yes,yes,yes,Spanish-language print/digital news outlet,active Sept. 2026 local New Jersey immigration health economy and community reporting,verified_include,https://reportehispano.com/,Strong current statewide Latino newsroom.
NJ003,Korean Bergen News,New Jersey,Bergen County,https://kbergennews.com/,yes,yes,yes,local Korean-language print/digital newspaper,publisher states weekly publication since 1996 and exclusive Bergen County Korean-community focus,verified_include,https://kbergennews.com/posts/why-korean-bergen-news-en,Excellent local Korean diaspora newsroom.
NJ004,NJ Information Magazine,New Jersey,Fort Lee / Palisades Park,https://www.njjungbo.com/,yes,mixed_articles_information,yes,Korean-American monthly magazine/community-media product,current Sept. 2026 issue; Fort Lee and Palisades Park offices; Korean-American community focus,verified_include_mixed_format,https://www.njjungbo.com/,Eligible mixed-format Korean community publication.
NJ005,News India Times,New Jersey,Edison / national,https://newsindiatimes.com/,yes,yes,yes,Indian-American newspaper within Parikh Worldwide Media,publisher headquartered in Edison; active Sept. 2026 New Jersey community coverage alongside national diaspora reporting,verified_include_multiscale,https://newsindiatimes.com/,Strong South Asian diaspora newsroom; national scale should be coded separately.
NJ006,Central Desi,New Jersey,Statewide,https://centraldesi.beehiiv.com/,yes,yes,yes,community-run South Asian news platform,launched in 2022 specifically to tell nuanced stories of New Jersey's South Asian communities,verified_include,https://centraldesi.beehiiv.com/about-us,Excellent community-focused South Asian journalism case.
NJ007,Panjab Express,New Jersey,Avenel / statewide & diaspora,https://www.panjabexpress.com/,yes,yes,yes,Punjabi-English digital newspaper published by BKS TIMES LLC,publisher based in Avenel; covers New Jersey U.S. Punjab and diaspora affairs; editorial and corrections policies public,verified_include,https://www.panjabexpress.com/about,Strong Punjabi diaspora case with visible editorial infrastructure.
NJ008,Desi.Net Edison,New Jersey,Edison,https://desi.net/edison/,yes,yes_digital_summary,yes,local South Asian digital news vertical within Desi.Net network,active 2026 original local summaries focused on Edison South Asian community,verified_include_network_local_vertical,https://desi.net/edison/news/edison-edison-nj-roundup-drowning-tragedy-india-day-parade-and-desi-dining-guide-2026-08-24,Useful social/digital network-local model.
NJ009,NJ Spotlight News en Español,New Jersey,Statewide,https://www.njspotlightnews.org/,yes_parent,yes_translated_local_news,yes_language_service,Spanish-language vertical within general nonprofit/state public-media newsroom,NJ PBS documents recurring Spanish translations and distribution partnerships including Reporte Hispano,verified_include_hosted_language_product,https://www.nj.gov/treasury/njpba/assets/files/pdf/2025/CPB_LocalContentReport2024.pdf,Hosted language-access product rather than immigrant-specific parent newsroom.
NJ010,Korea Daily / Korea Times NJ market,NY/NJ market,Bergen / North Jersey,,yes_market_presence,yes,yes,regional Korean-language dailies serving New Jersey,strong New Jersey audience/coverage but newsroom-base identity unresolved in this pass,multistate_market_case,https://kaanj.org/,Retain for location-resolution; avoid double-counting regional NY/NJ editions.
