outlet_id,outlet_name,state_or_market,city_or_scope,website,website_active,sustained_journalism,immigrant_or_diaspora_serving,institutional_form,public_institutional_signals,eligibility_status,primary_evidence_url,verification_notes
AZ001,Conecta Arizona,Arizona,Phoenix / Arizona-Sonora,https://conectaarizona.com/,yes,yes,yes,independent nonprofit bilingual/digital newsroom,current 2026 reporting; founder-led; explicit Hispanic-community and Arizona-Sonora mission; immigration coverage,verified_include,https://www.phoenixmag.com/2026/03/01/waiting-for-translation/,Excellent immigrant-serving nonprofit case.
AZ002,Prensa Arizona,Arizona,Phoenix / statewide,https://prensaarizona.com/,yes,yes,yes,Spanish-language print/digital community outlet,identified as one of Arizona's surviving Spanish-language print publications; active current site,verified_include_with_secondary_evidence,https://www.phoenixmag.com/2026/03/01/waiting-for-translation/,Strong Spanish-language community news case; deeper institutional coding needed.
AZ003,La Voz Arizona,Arizona,Phoenix / statewide,https://www.azcentral.com/la-voz/,yes,yes,yes,Spanish-language digital product within The Arizona Republic/Gannett,active Arizona Spanish-language news product serving Hispanic audiences,verified_include_hosted_language_product,https://www.phoenixmag.com/2026/03/01/waiting-for-translation/,Hosted/network-affiliated comparison case.
AZ004,Telemundo Arizona,Arizona,Phoenix / Tucson / statewide,https://www.telemundoarizona.com/,yes,yes,yes,Spanish-language local television newsroom,Phoenix Magazine documents established local Spanish-language newsroom and community-centered newsgathering,verified_include,https://www.phoenixmag.com/2026/03/01/waiting-for-translation/,Strong network-affiliated Spanish-language case.
AZ005,Univision Arizona,Arizona,Phoenix / Tucson,https://www.univision.com/local/arizona-ktvw,yes,yes,yes,Spanish-language local television newsroom/network affiliate,current local Arizona Spanish-language news presence,verified_include,https://www.univision.com/local/arizona-ktvw,Strong network-affiliated case.
AZ006,Next Weekly,Arizona,Phoenix / statewide,https://www.nextweeklyaz.com/,yes,yes,yes,Chinese-language weekly newspaper,founded 2002; statewide east/west distribution; editorials plus local/Hong Kong/Taiwan news,verified_include,https://www.nextweeklyaz.com/about,Excellent Chinese diaspora/community outlet.
AZ007,AZ Chinese News,Arizona,Phoenix,https://asianmedianetwork.com/,yes_via_parent,yes,yes,Chinese community news product under Asian Media Network,parent identifies AZ Chinese News among Chinese affiliate publications,verified_include_with_parent_evidence,https://asianmedianetwork.com/about-us/,Include provisionally; direct publication page and cadence should be verified later.
AZ008,Filipino American Journal,Arizona,Phoenix / statewide,https://asianmedianetwork.com/,yes_via_parent,yes,yes,biweekly Filipino-American publication under Asian Media Network,parent explicitly lists Filipino American Journal as biweekly affiliate,verified_include_with_parent_evidence,https://asianmedianetwork.com/about-us/,Strong Filipino diaspora candidate; deeper direct-site coding needed.
AZ009,Saigon Nho / Little Saigon Magazine Arizona,Arizona,Phoenix,https://asianmedianetwork.com/,yes_via_parent,yes_mixed_magazine,yes,Vietnamese-language weekly magazine/media product,parent explicitly lists Saigon Nho Magazine as weekly Vietnamese affiliate,verified_include_mixed_format,https://asianmedianetwork.com/about-us/,Useful Vietnamese community-media case.
AZ010,VAATV - Vietnamese American Arizona Television,Arizona,Phoenix,https://asianmedianetwork.com/,yes_via_parent,unclear_news_share,yes,Vietnamese-American television/community media product,parent lists VAATV as Vietnamese affiliate platform,pending_deeper_verification,https://asianmedianetwork.com/about-us/,Retain; verify current schedule and sustained journalism/public-affairs share.
AZ011,Asian Sun Magazine,Arizona,Statewide,https://azasianchamber.com/asiansun,yes,mixed_magazine_journalism,yes,quarterly AAHPI community magazine published by Arizona Asian Chamber,"current Summer 2026 edition; culture, business and current events; statewide community reach",verified_include_mixed_format,https://azasianchamber.com/asiansun,Eligible mixed-format community publication; not a hard-news newsroom.
AZ012,Asian Media Network,Arizona,Phoenix / statewide,https://asianmedianetwork.com/,yes,no_as_single_outlet,yes,Arizona-based Asian media parent/intermediary,"operates Chinese, Filipino and Vietnamese print/radio/TV affiliates",classify_intermediary_host,https://asianmedianetwork.com/about-us/,Do not count as one outlet; link subsidiary products to host.
AZ013,La Estrella de Tucsón,Arizona,Tucson,,inactive_or_diminished,historically_yes,yes,historic Spanish-language newsroom,Tucson Spotlight documents rise and decline of immigrant-led original Spanish journalism,exclude_inactive_archive,https://www.tucsonspotlight.org/inside-la-estrella-de-tucsons-early-years/,"Preserve as historical ecosystem case, not active core unless current operation is independently established."
AZ014,El Semanario / The Weekly Issue Arizona market,Colorado / Arizona market,Statewide,https://www.elsemanario.us/?lang=es,yes,yes,yes,Colorado-based bilingual weekly serving Arizona,publisher states Arizona is one of six national markets,multistate_market_case,https://www.elsemanario.us/?lang=es,Do not count as Arizona-based newsroom; retain as Arizona-serving market case.
