outlet_id,outlet_name,state,city_or_scope,website,website_active,sustained_journalism,immigrant_or_diaspora_serving,institutional_form,public_institutional_signals,eligibility_status,primary_evidence_url,verification_notes
NV001,Philippine Times of Southern Nevada,Nevada,Las Vegas / Southern Nevada,https://ptsnv.com/,yes,yes,yes,bilingual English-Tagalog Filipino-American newspaper/digital outlet,current Sept. 2026 issues; biweekly publication; local team; Filipino-American audience; print/digital subscriptions,verified_include,https://ptsnv.com/subscribe/,Excellent Filipino diaspora/community-news case.
NV002,El Nuevo Mundo,Nevada,Las Vegas / Southern Nevada,https://elnuevomundo.lv/,yes,yes,yes,Spanish-language newspaper/digital outlet,active Sept. 2026 print/digital issues; local reporting; explicit tagline serving Hispanics in Southern Nevada,verified_include,https://elnuevomundo.lv/,Strong current Spanish-language community newsroom.
NV003,Entérate Vegas,Nevada,Las Vegas,https://enteratevegas.com/,yes,yes,yes,Spanish-language digital local-news outlet,current local Spanish reporting; explicitly positions itself as filling Las Vegas Spanish-news gap after El Tiempo and El Mundo print closures,verified_include,https://enteratevegas.com/advertise/,Strong emerging digital Spanish-language case.
NV004,Noticiero Móvil,Nevada,Reno / Northern Nevada,https://noticieromovil.com/,yes,yes,yes,bilingual Spanish-English multimedia newsroom,current Sept. 2026 reporting; explicit mission to provide accessible relevant coverage with Northern Nevada Latino community,verified_include,https://noticieromovil.com/,Excellent Northern Nevada Latino newsroom.
NV005,Las Vegas Chinese Daily News,Nevada,Las Vegas / Southern Nevada,https://lasvegaschinesedailynews.com/en/,yes,yes,yes,Chinese community newspaper/digital outlet,current Sept. 2026 site; describes itself as leading Chinese community newspaper in Las Vegas; dedicated reporters and local distribution,verified_include,https://lasvegaschinesedailynews.com/en/,Strong Chinese diaspora/local-news case.
NV006,Las Vegas Korean News,Nevada,Las Vegas,,yes_via_current_issue_archive,yes,yes,Korean-language community newspaper,"issue 1569 dated Sept. 14-27, 2026; extensive current print/digital publication",verified_include_with_secondary_evidence,https://fliphtml5.com/cztqq/1569-BcKB/9/,Strong current Korean-community newspaper; direct primary website/ownership should be added later.
NV007,The Las Vegas Times / Korean Las Vegas Times,Nevada,Las Vegas,https://www.koreanlasvegastimes.com/,yes_via_issue_archive,yes,yes,Korean-language biweekly newspaper,"current 2026 issues identify Las Vegas office/contact, publisher and biweekly publication schedule",verified_include_with_secondary_evidence,https://anyflip.com/njqei/sfai/basic/,Strong Korean diaspora case; direct website may need technical verification.
NV008,K-LasVegas / Las Vegas Korean Magazine,Nevada,Las Vegas,https://www.k-lasvegas.org/,yes,mixed_magazine_journalism,yes,Korean-American monthly magazine run by nonprofit media foundation,"current Sept. 2026 issue; nonprofit Korean media foundation; community profiles, columns and local information",verified_include_mixed_format,https://www.k-lasvegas.org/,Useful institutional contrast with Korean newspapers; code journalism share separately.
NV009,VietLasVegas.com,Nevada,Las Vegas,https://vietlasvegas.com/,yes,mixed_news_information,yes,Vietnamese-language community information/news site,active 2026 archive and Vietnamese Las Vegas news/events/announcements,verified_include_mixed_format,https://vietlasvegas.com/archive/,Eligible as community information/news platform; deeper pass should assess original reporting share.
NV010,El Mundo Las Vegas,Nevada,Las Vegas,,inactive_print,historically_yes,yes,historic Spanish-language weekly,Nevada Independent reported print ceased in 2025 after 45 years,exclude_inactive_archive,https://thenevadaindependent.com/article/spanish-language-newspaper-ceases-printing-after-45-years-leaving-void-in-las-vegas,"Keep as historical ecosystem case, not active-frame outlet."
NV011,PHLV Radio,Nevada,Las Vegas,https://phlvradio.com/,likely_yes,mixed_news_entertainment,yes,Filipino-American radio/digital media outlet,recognized as trusted voice for Las Vegas Filipino community; current brand/activity referenced by Philippine Times,verified_include_mixed_format,https://ptsnv.com/category/top-stories/,Retain as mixed-format Filipino community media; deeper pass should code news/public-affairs share.
NV012,Nevada Immigrant Coalition News,Nevada,Statewide,https://nvimmigrantcoalition.org/news/,yes,no_independent_journalism,yes,immigrant advocacy coalition information channel,active 2026 news/press releases and immigrant information; organizational advocacy rather than newsroom,classify_information_infrastructure_not_outlet,https://nvimmigrantcoalition.org/news/,Do not count in core outlet frame; useful intermediary/information infrastructure later.
