outlet_id,outlet_name,state,city_or_scope,website,website_active,sustained_journalism,immigrant_or_diaspora_serving,institutional_form,public_institutional_signals,eligibility_status,primary_evidence_url,verification_notes
MI001,The Arab American News,Michigan,Dearborn / Metro Detroit,https://arabamericannews.com/,yes,yes,yes,bilingual Arabic-English weekly newspaper,founded 1984; weekly; Dearborn headquarters; English/Arabic; current 2026 reporting; explicit Arab American audience,verified_include,https://arabamericannews.com/,Strong core diaspora/immigrant-serving outlet and one of Michigan's major ethnic news institutions.
MI002,The Yemeni American,Michigan,Dearborn / Metro Detroit,https://yemeniamerican.com/en/,yes,yes,yes,Yemeni American bilingual newspaper/digital outlet,current 2026 local/community reporting; Dearborn/Hamtramck coverage; Yemeni American focus; English/Arabic publication history,verified_include,https://yemeniamerican.com/en/,Excellent core case with highly specific immigrant/diaspora public.
MI003,EL CENTRAL Hispanic News,Michigan,Detroit / Southeast Michigan,https://elcentralmedia.com/,yes,yes,yes,bilingual English-Spanish weekly/digital newsroom,current 2026 local reporting; newsroom team; stated mission to inform Metro Detroit Hispanic/Latino communities; weekly audio briefing,verified_include,https://elcentralmedia.com/about/,Strong core Latino community newsroom with substantial institutional transparency.
MI004,Latino Press / Latino Detroit,Michigan,Detroit / Southeast Michigan,https://latinodetroit.com/,yes,yes,yes,Spanish-language weekly newspaper/digital publisher,30 years of operation; weekly newspaper/news bulletin; Detroit base; explicit Hispanic-community information mission,verified_include,https://latinodetroit.com/about-latino-detroit/,Strong commercial/community Latino media case.
MI005,Michigan Korean Weekly,Michigan,Troy / Metro Detroit,https://michigankoreans.com/,yes,yes,yes,Korean-language weekly/digital newsroom,current Sept. 2026 Michigan, immigration and U.S. reporting; publisher/editor named; local address and contact; Korean-community mission,verified_include,https://michigankoreans.com/about,Very strong Korean immigrant/diaspora case.
MI006,Bangla Shangbad,Michigan,Metro Detroit,,current_network_listing,yes,yes,Bangladeshi community newspaper,"New Michigan Media identifies publisher Iqbal Hussein, circulation 7,000 and readership over 20,000; listed as current 2026 partner",verified_include_with_directory_evidence,https://newmichiganmedia.com/about/,Include provisionally; locate direct current site and staff/contact details in deeper pass.
MI007,Chaldean News,Michigan,Metro Detroit,https://www.chaldeannews.com/,yes,yes,yes,English-language monthly/digital Chaldean community news publication owned by Chaldean Community Foundation,current Sept. 2026 issue; publication of record since 2004; community foundation ownership; staff reporting; Michigan/Iraq diaspora coverage,verified_include,https://www.chaldeannews.com/support,Excellent Iraqi-Chaldean diaspora case; host organization is publicly visible.
MI008,The Polish Weekly / Tygodnik Polski,Michigan,Orchard Lake / Metro Detroit,https://polishweekly.com/,yes,yes,yes,bilingual Polish-English digital publication within Polish Media Center,current 2026 publication; continuous tradition from Detroit Polish press; editor/staff identified; Polish Institute host,verified_include_hosted_program,https://polishweekly.com/about-us/,Strong Polish diaspora case; code Polish Media Center/Polish Institute as host infrastructure.
MI009,MI Asian,Michigan,Metro Detroit,https://michigankoreans.com/,yes_via_shared_platform,unclear_distinct_newsroom,yes,Asian/Korean publication associated with Michigan Korean Weekly,New Michigan Media names same publisher for Michigan Korean Weekly and MI Asian; distinct editorial structure not established,classify_related_product_pending,https://newmichiganmedia.com/michigan-korean-weekly/,Do not double-count until a distinct sustained publication/newsroom is confirmed.
MI010,New Michigan Media,Michigan,Detroit / statewide,https://newmichiganmedia.com/,yes,no_as_single_outlet,yes,nonprofit ethnic/minority media network and intermediary,current 2026 network; 140+ ethnic/minority media connections; board of major publishers; journalism initiatives, grants, training and outreach,classify_intermediary_host,https://newmichiganmedia.com/about/,Do not count as one newsroom. Highly important infrastructure/intermediary for the later risk-ecology analysis.
MI011,The Detroit Jewish News,Michigan,Metro Detroit,https://thejewishnews.com/,yes,yes,partly,Jewish community newspaper/digital outlet,current community journalism and New Michigan Media membership,boundary_comparison,https://newmichiganmedia.com/about/,Diaspora/community comparison case, but not clearly immigrant-serving as a primary contemporary mission.
MI012,Michigan Chronicle,Michigan,Detroit,https://michiganchronicle.com/,yes,yes,unclear_as_immigrant_serving,historic Black community newspaper,active 2026 Detroit journalism; New Michigan Media partner,comparison_or_exclude_core,https://newmichiganmedia.com/,Keep outside core immigrant frame unless sustained immigrant/diaspora service is demonstrated.
MI013,Sada Al-Watan,Michigan,Dearborn / Metro Detroit,https://sadaalwatan.com/,yes,yes,yes,Arabic-language edition/brand of The Arab American News,"same Dearborn address, contact and weekly distribution structure as The Arab American News",classify_duplicate_language_edition,https://sadaalwatan.com/التوزيع/,Do not count separately from MI001; preserve as Arabic-language product/edition.
MI014,Polish Media Center,Michigan,Orchard Lake / Metro Detroit,https://polishweekly.com/,yes,no_as_separate_outlet,yes,host portal within Polish Institute of Culture & Research,The Polish Weekly is described as central pillar of the Polish Media Center; shared editorial infrastructure,classify_intermediary_host,https://polishweekly.com/about-us/,Do not double-count separately from The Polish Weekly; use as host organization/infrastructure.
