event_id,outlet_id,outlet_name,organization_id,comparison_case,event_date_start,event_date_end,jurisdiction,event_scope,risk_domain,risk_subtype,event_status,event_summary,actor_or_source_of_risk,source_url_primary,source_url_secondary,source_type_primary,date_checked,coding_confidence,documented_consequence,financial_consequence_amount,organizational_response
RISK0001,TN002,Nashville Noticias,,no,2026-03-04,,Tennessee,individual_journalist,immigration_or_border_enforcement,arrest_or_detention,confirmed_publicly_documented,"Nashville Noticias reporter Estefany Rodriguez Florez was arrested by ICE during a traffic stop. Her lawyers challenged the detention and alleged agents did not present an arrest warrant; ICE disputed the no-warrant characterization in a court filing. The event is coded as a documented detention without inferring motive.",U.S. Immigration and Customs Enforcement,https://www.reuters.com/business/media-telecom/us-ice-arrested-journalist-nashville-without-arrest-warrant-her-lawyers-say-2026-03-06/,https://apnews.com/article/5b3869f74a84023fd430f09d5515fdc0,credible_news_report,2026-09-23,high,detention;reporting_interruption,,Legal challenge filed; journalism and press-freedom organizations publicly raised concerns.
RISK0002,AZ001,Conecta Arizona,,no,2025-01-01,2026-06-17,Arizona,single_outlet,physical_safety,physical_assault;harassment,reported_by_outlet,"Founder Maritza Felix publicly described Conecta Arizona reporters experiencing violence while covering protests, including pepper spray, as well as racialized verbal harassment from counter-protesters. The newsroom reported adopting paired reporting, contingency planning, and safety training. Exact incident dates are not consistently specified in the public accounts, so the row represents a documented episode range rather than a single dated incident.",law-enforcement/crowd actors as described by outlet,https://indiegraf.com/blog/immigration-news-coverage-conecta-arizona,https://cpj.org/2026/06/news-leader-maritza-felix-on-covering-immigration-in-arizona/,outlet_self_report,2026-09-23,medium,security_changes,,Paired reporting; contingency planning; safety training for Conecta Arizona and other local reporters.
RISK0003,CA001,El Tímpano,,no,2025-02-03,,California,single_outlet,source_or_audience_safety,other,confirmed_publicly_documented,"El Tímpano publicly changed reporting practices to reduce risks to undocumented immigrant sources as immigration enforcement concerns increased. This is coded as a source/audience-safety exposure and newsroom adaptation, not as an attack on the outlet.",immigration-enforcement environment,https://www.niemanlab.org/2025/02/how-el-timpano-is-changing-its-reporting-practices-to-protect-immigrant-sources/,,credible_news_report,2026-09-23,high,security_changes,,Adjusted reporting and source-protection practices to reduce exposure of sensitive identifying information.
RISK0004,,LA TACO,,yes,2026-01-30,2026-01-31,California,individual_journalist,physical_safety,physical_assault;access_restriction,reported_by_credible_secondary_source,"Investigative reporter Lexis-Olivier Ray was reported pepper-sprayed and shoved while covering an immigration-enforcement protest and reported being struck or threatened with additional projectiles/arrest during subsequent coverage. LA TACO is retained here as an external comparison case unless/until crosswalk review links it to the Phase 1A frame.",law enforcement officers,https://hiproject.org/incident/9759,,credible_news_report,2026-09-23,medium,reporting_interruption;injury,,Publicly documented incident; organizational response not yet coded.
RISK0005,,, ,yes,2024-01-01,2024-12-31,United States,platform_wide,platform_governance,referral_traffic_loss,confirmed_publicly_documented,"Reuters Institute's 2024 Digital News Report summarized industry data showing sharp declines in publisher referrals from Facebook and X as the platforms shifted toward keeping users within their services. This is a sector/platform structural exposure, not evidence that every mapped outlet experienced the same decline.",Meta/Facebook and X platform strategy changes,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2024/dnr-executive-summary,,credible_news_report,2026-09-23,high,traffic_loss,,Outlet-level impact must be assessed separately through Phase 1B platform-dependence evidence.
RISK0006,,, ,yes,2025-01-01,2025-12-31,United States,sector_wide,financial_security,funding_cut_or_grant_loss,confirmed_publicly_documented,"The 2026 Institute for Nonprofit News Index reported that many nonprofit news organizations experienced reductions in charitable revenue attributed to the 2025 political climate, alongside broader funding rescissions and increased safety pressures. This is a sector-level exposure and should not be assigned to an individual mapped outlet without outlet-specific evidence.",philanthropic/funding environment,https://inn.org/news/nonprofit-news-outlets-faced-headwinds-in-2025-new-inn-index-data/,https://inn.org/our-work/index-about/inn-index-report/,journalism_association,2026-09-23,high,revenue_loss,,Outlet-level funding effects require separate evidence.
RISK0007,,, ,yes,2025-01-01,2026-09-23,United States,platform_wide,platform_governance,algorithmic_visibility_loss;referral_traffic_loss,confirmed_publicly_documented,"Reuters Institute's 2025 and 2026 Digital News Reports describe continued platform fragmentation, shifts by Meta and other platforms away from or back toward news, growth of video/creator ecosystems, and increased third-party intermediation. These conditions affect publishers' reach and monetization potential but should be linked to individual outlets only when dependence is documented.",major social/video/search platforms,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/dnr-executive-summary,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2025/dnr-executive-summary,credible_news_report,2026-09-23,high,traffic_loss,,Use Phase 1B platform/referral dependence variables to estimate which mapped outlets are exposed.
RISK0008,,Mario Guevara / MGNews,,yes,2025-06-14,2025-10-03,Georgia,individual_journalist,immigration_or_border_enforcement,arrest_or_detention;deportation,confirmed_publicly_documented,"Spanish-language journalist Mario Guevara was arrested while livestreaming a protest in Georgia, later held under an ICE detainer, and deported to El Salvador on October 3, 2025. The row is retained as a comparison case because no Phase 1A outlet_id has yet been crosswalked to his operation.",local law enforcement and U.S. Immigration and Customs Enforcement,https://pressfreedomtracker.us/all-incidents/spanish-language-reporter-arrested-at-atlanta-area-protest-faces-deportation/,https://cpj.org/2025/07/timeline-reporter-mario-guevaras-arrest-and-ice-detention/,press_freedom_tracker,2026-09-23,high,detention;deportation;reporting_interruption,,Legal challenges and press-freedom advocacy followed the detention.
RISK0009,,Richard Noticias LA / Carlitos Ricardo Parias,,yes,2025-10-01,2026-08-18,California,individual_journalist,immigration_or_border_enforcement,physical_assault;arrest_or_detention,confirmed_publicly_documented,"Independent Mexican journalist and TikTok streamer Carlitos Ricardo Parias, who reports under Richard Noticias LA, was shot in the arm by federal agents during an immigration-related arrest in Los Angeles in October 2025 and remained in ICE detention into 2026, according to CPJ. This is an external comparison case unless later crosswalk review links the operation to the Phase 1A frame.",federal immigration enforcement agents,https://cpj.org/es/2026/08/periodista-mexicano-carlitos-ricardo-parias-herido-de-bala-por-autoridades-de-inmigracion-de-eeuu-sigue-sin-asistencia-medica-tras-300-dias-de-detencion/,,press_freedom_organization,2026-09-23,high,injury;detention;reporting_interruption,,Public advocacy focused on medical care and detention conditions.
RISK0010,,Univision national correspondent Romi De Frias,,yes,2025-06-11,2026-06-17,California,individual_journalist,physical_safety,physical_assault,confirmed_publicly_documented,"A mounted Los Angeles police officer used a horse to push Univision reporter Romi De Frias while she was covering an immigration protest in Los Angeles on June 11, 2025. The Press Freedom Tracker later reported that the officer was exonerated after review. This is coded as a comparison incident and does not imply the reporter was intentionally targeted.",Los Angeles Police Department,https://pressfreedomtracker.us/all-incidents/reporter-pushed-by-police-horse-while-covering-la-immigration-protest/,,press_freedom_tracker,2026-09-23,high,physical_contact;reporting_interruption,,No outlet-level organizational response coded yet.
