outlet_id,outlet_name,state,city_or_scope,website,website_active,sustained_journalism,immigrant_or_diaspora_serving,institutional_form,public_institutional_signals,eligibility_status,primary_evidence_url,verification_notes
CO001,La Voz Colorado,Colorado,Denver / statewide,https://lavozcolorado.com/,yes,yes,yes,bilingual Latino newspaper/digital newsroom,founded 1974; continuous publication; Colorado Latino community focus; current 2026 content and local contact,verified_include,https://lavozcolorado.com/2024/01/17/lavozcolorado-has-a-permanent-home-at-the-denver-public-library/,Strong long-running Latino community newsroom.
CO002,La Prensa de Colorado,Colorado,Denver metro / Northern Colorado / Colorado Springs,https://laprensadecolorado.com/,yes,yes,yes,Spanish-language weekly newspaper/digital outlet,founded 2010; weekly free paper; explicit Hispanic-community mission; current 2026 local and immigration coverage,verified_include,https://laprensadecolorado.com/quienes-somos-who-are-we/,Strong immigrant-serving Spanish-language case.
CO003,El Comercio de Colorado,Colorado,Denver / Aurora / statewide,https://elcomerciodecolorado.com/,yes,yes,yes,Spanish-English newspaper/digital newsroom,"active Sept. 2026; edition 450 in 2026; local reporting, immigration desk, bilingual content and community mission",verified_include,https://elcomerciodecolorado.com/renovacion-y-compromiso/,Excellent current Latino/immigrant-serving outlet.
CO004,El Semanario / The Weekly Issue,Colorado,Denver / statewide,https://www.elsemanarioonline.com/,yes,yes,yes,Latino-focused weekly/digital publication,active Sept. 2026 Colorado reporting and long-running bilingual/Latino public-affairs role,verified_include,https://www.elsemanarioonline.com/,Strong Latino community/public-affairs case.
CO005,Colorado Chinese News,Colorado,Denver,https://kzhb.us/,yes,yes,yes,Chinese-language newspaper/digital outlet,Denver Public Library lists it as Colorado Chinese News; current June 2026 issues documented,verified_include_with_secondary_evidence,https://www.denverlibrary.org/colorado-newspaper-resources,Strong Chinese-language diaspora case; deeper pass should add ownership/staff.
CO006,Asian Avenue Magazine,Colorado,Denver / statewide,https://www.asianavemag.com/,yes,yes_mixed_magazine,yes,English-language AAPI monthly print/digital magazine,"founded 2006; 240,000 annual readership; statewide distribution; current 2026 issues; immigration/identity/community reporting",verified_include_mixed_format,https://www.asianavemag.com/about,Strong AAPI community-media case; magazine format includes journalism plus cultural/community features.
CO007,Telemundo Colorado / KDEN,Colorado,Denver metro / statewide,https://www.telemundodenver.com/,yes,yes,yes,Spanish-language local television newsroom owned by NBCUniversal,dedicated local newsroom; multiple daily newscasts; statewide Spanish-speaking audience; current 2026 staffing and mission documented,verified_include,https://www.telemundodenver.com/noticias/local/quienes-somos-conoce-a-telemundo-colorado-sobre-nosotros/2430933/,Strong large-network comparison case.
CO008,Univision Colorado / Denver coverage,Colorado,Denver / statewide,https://www.univision.com/temas/denver-colorado,yes_content,yes_at_network_level,yes,Spanish-language network/local-market news presence,"current Denver/Colorado reporting exists, but a distinct current Colorado newsroom/market page is less clearly documented in this pass",pending_deeper_verification,https://www.univision.com/temas/denver-colorado,"Retain; verify local station ownership, staffing and newsroom structure before counting as distinct core outlet."
CO009,ColoradoLatino.com,Colorado,Statewide,https://www.coloradolatino.com/,yes,mixed_information_portal,yes,Latino community information/news portal,"statewide Latino directory, events and news sections; original-reporting structure not clearly established",comparison_or_information_platform,https://www.coloradolatino.com/,"Useful community-information infrastructure, but not yet a clearly verified newsroom."
CO010,Denver Urban Spectrum,Colorado,Denver,https://denverurbanspectrum.com/,yes,yes,partly,Black/community-of-color publication,active Denver community journalism; not primarily immigrant-serving under current core definition,boundary_comparison,https://www.denverlibrary.org/colorado-newspaper-resources,Retain as comparison rather than core immigrant outlet.
