outlet_id,outlet_name,state,city_or_scope,website,website_active,sustained_journalism,immigrant_or_diaspora_serving,institutional_form,public_institutional_signals,eligibility_status,primary_evidence_url,verification_notes
WI001,La Comunidad News Online,Wisconsin,Madison,https://wisconsinlcnews.com/,yes,yes,yes,Spanish-language digital/community newspaper,active Sept. 2026 local reporting; interviews and community news; Madison focus,verified_include,https://wisconsinlcnews.com/,Strong current Latino-community news case.
WI002,Suab Hmong News,Wisconsin,Milwaukee,https://suabhmongnews.com/,likely_yes,yes,yes,Hmong community TV/news operation,CUNY profile documents original reporting for Hmong immigrants and community storytelling,verified_include_with_secondary_evidence,https://immigrantmediareport.journalism.cuny.edu/suab-hmong-news/,Strong Hmong immigrant-media case; direct 2026 site/institutional details need deeper coding.
WI003,El Conquistador Latino Newspaper,Wisconsin,Milwaukee,https://www.mkenews.com/,yes,yes,yes,Spanish-language Latino newspaper/digital outlet,active 2026 news and events; Milwaukee focus,verified_include,https://www.mkenews.com/,Strong current Latino community outlet.
WI004,Wisconsin Latino News,Wisconsin,Statewide,https://wilatinonews.com/,unclear_current_operation,unclear,yes,Latino-focused statewide digital outlet,candidate identity known but strong current 2026 activity not established in this pass,pending_verification,https://wilatinonews.com/,Retain candidate; verify current publication cadence and ownership.
WI005,Spanish Journal Network,Wisconsin,Milwaukee,https://www.spanishjournal.com/,yes,yes,yes,bilingual/Spanish community newspaper and digital outlet,active Sept. 2026 Wisconsin and Milwaukee news; immigration and Latino-community coverage,verified_include,https://www.spanishjournal.com/,Strong current immigrant-serving/Latino-community case.
WI006,La Movida Radio,Wisconsin,Madison,https://www.lamovidaradio.com/,yes,mixed_news_entertainment,yes,Spanish-language commercial/community radio,24/7 Spanish service; explicitly aims to entertain and inform; close ties to Madison Latino organizations,verified_include_mixed_format,https://www.lamovidaradio.com/quienes-somos/,Eligible mixed-format case; code journalism/public-affairs share separately.
WI007,Hmong Community Journal,Wisconsin,,,unresolved,unresolved,likely_yes,unresolved Hmong publication candidate,no distinct current outlet identity established in this pass,hold_unresolved,,Retain candidate only until exact organization/site/current activity are verified.
WI008,Hmong Times Wisconsin,Wisconsin,,,unresolved,unresolved,likely_yes,possible Hmong publication/edition,no clear distinct Wisconsin operation identified,hold_identity_resolution,,Avoid conflating with Minnesota-based Hmong Times without direct evidence of Wisconsin edition.
WI009,Nyob Zoo Milwaukee TV,Wisconsin,Milwaukee,,historical_to_recent,yes,yes,Hmong-language TV news/community program,documented as Wisconsin's Hmong TV news program; later health/community collaborations continue beyond launch,verified_include_with_secondary_evidence,https://milwaukeenns.org/2017/10/23/hmong-community-members-praise-tv-show-highlighting-invisible-community/,Important Hmong program-level case; direct 2026 schedule/current ownership should be checked in deeper pass.
WI010,WNRB-LP Hmong Radio,Wisconsin,Wausau,,yes_station_listing,unclear_news_share,yes,community radio licensed to Wausau Area Hmong Mutual Association,current station listing confirms community-radio operation and Hmong organizational ownership,pending_deeper_verification,https://en.wikipedia.org/wiki/List_of_radio_stations_in_Wisconsin,Retain; verify current programming schedule and journalism/public-affairs content.
WI011,WORT Hmong Radio,Wisconsin,Madison,https://www.wortfm.org/,yes_host_station,unclear_program_current,yes_at_program_level,community-radio host with Hmong programming candidate,WORT remains active community radio with news/public-affairs infrastructure; exact current Hmong program needs verification,pending_deeper_verification,https://wortcast01.wortfm.org/,Do not count a Hmong program until its current identity/schedule are confirmed.
WI012,WJYI Hmong Radio,Wisconsin,Milwaukee,,unresolved,unresolved,likely_yes,unresolved Hmong radio candidate,no reliable current 2026 station/program identity established,hold_unresolved,,Retain candidate pending exact call sign/ownership/program verification.
WI013,Wisconsin Muslim Journal,Wisconsin,Milwaukee,https://wisconsinmuslimjournal.org/,yes,yes,yes,independent online Muslim community newspaper published by Milwaukee Muslim Women's Coalition,launched 2018; current Sept. 2026 semiweekly reporting; explicit Wisconsin Muslim-community news mission,verified_include,https://wisconsinmuslimjournal.org/about/,Strong community/diaspora-relevant case; broader Muslim community focus includes immigrant/refugee populations.
WI014,El Hispano Wisconsin,Wisconsin,,,unresolved,unresolved,likely_yes,unresolved Spanish-language outlet candidate,exact Wisconsin operation not identified in this pass,hold_unresolved,,Retain candidate until a distinct current outlet is established.
