outlet_id,outlet_name,state,city_or_scope,website,website_active,sustained_journalism,immigrant_or_diaspora_serving,institutional_form,public_institutional_signals,eligibility_status,primary_evidence_url,verification_notes
IL001,Borderless Magazine,Illinois,Chicago,https://borderlessmag.org/,yes,yes,yes,independent nonprofit immigration newsroom,501(c)(3); English/Spanish; immigrant-centered mission; staff/programs/funding visible,verified_include,https://borderlessmag.org/about/,Excellent core immigrant-journalism case.
IL002,Cicero Independiente,Illinois,Cicero / Berwyn,https://www.ciceroindependiente.com/,yes,yes,yes,independent nonprofit bilingual newsroom,founded 2019; bilingual print/digital; immigrant-heavy communities; board/funding/editorial policies visible,verified_include,https://www.ciceroindependiente.com/about-us-sobre-nosotres,Excellent local immigrant-serving newsroom.
IL003,La Raza,Illinois,Chicago,https://laraza.com/,yes,yes,yes,Spanish-language commercial news publication,founded 1970; Chicago Latino mission; current ownership and affiliations disclosed,verified_include,https://laraza.com/about-us/,Strong long-running Latino community newsroom.
IL004,La Voz Chicago,Illinois,Chicago,https://lavozchicago.com/,unclear_current_operation,unclear,yes,Spanish-language local/community outlet,candidate identity clear but current 2026 newsroom activity not firmly established,pending_verification,https://lavozchicago.com/,Retain pending current cadence and ownership verification.
IL005,Chinatown Spotlight,Illinois,Chicago,,unresolved,unresolved,yes,Chinese community outlet candidate,no sufficiently specific current outlet identity confirmed,hold_unresolved,,Retain candidate only.
IL006,El Día Newspaper,Illinois,Chicago area,https://www.eldianews.net/,unclear_current_operation,unclear,yes,Spanish-language publication,site identity exists but current Chicago operation not sufficiently verified,pending_verification,https://www.eldianews.net/,Retain pending direct evidence.
IL007,Lawndale News,Illinois,Chicago,,unclear_current_operation,unclear,yes,Latino/community newspaper candidate,known Chicago community title; no strong current institutional evidence in this pass,pending_verification,,Retain candidate.
IL008,Chicago Chinese News / Chicago Chinese Times,Illinois,Chicago / Naperville,https://chicagochinesetimes.com/,yes,yes,yes,Chinese-language weekly/digital newspaper,current 2026 publication; Chinese community reporting; app/digital editions; Chicago-area operation,verified_include,https://chicagochinesetimes.com/,Strong Chinese-language diaspora case.
IL009,Dziennik Związkowy,Illinois,Chicago,https://www.dziennikzwiazkowy.com/,yes,yes,yes,Polish-language newspaper/digital outlet,continuous publication since 1908; current 2026 Chicago/Illinois coverage; editorial contact and print/digital presence,verified_include,https://www.dziennikzwiazkowy.com/,Strong Polish diaspora newsroom.
IL010,India Bulletin,Illinois,Chicago,,unclear_current_operation,historically_yes,yes,Indian-American community publication,publication identity known but current 2026 activity not confirmed,pending_verification,,Retain candidate.
IL011,India Tribune,Illinois,Chicago,https://www.indiatribune.com/,yes,yes,yes,Indian-American biweekly newspaper/digital outlet,founded 1977 in Chicago; current 2026 publication; publisher/team/contact disclosed; national Indian-American readership,verified_include,https://www.indiatribune.com/about-us,Strong Indian diaspora news case.
IL012,Sanghamam,Illinois,Chicago,,unresolved,unresolved,likely_yes,South Asian community media candidate,exact current outlet identity/site not established,hold_unresolved,,Retain candidate only.
IL013,Korea Times Chicago,Illinois,Wheeling / Chicago metro,https://chicagokoreatimes.com/,yes,yes,yes,Korean-American print and digital newsroom,operating since 1971; current Chicago office; print/e-paper; Korean-American community mission,verified_include,https://chicagokoreatimes.com/contact/,Strong Korean diaspora case.
IL014,Draugas,Illinois,Chicago,https://www.draugas.org/,yes,yes,yes,Lithuanian-language newspaper with English-language sister publication,continuous Lithuanian publication since 1909; current Chicago editorial office; active 2026 institutional support,verified_include,https://www.draugas.org/,Strong diaspora newspaper case.
IL015,Chicago Shimpo,Illinois,Chicago,https://www.chicagoshimpo.com/,yes,yes,yes,nonprofit Japanese-English digital newspaper,founded 1945; transitioned online 2022; 501(c)(3); explicit Nikkei/U.S.-Japan community mission,verified_include,https://www.chicagoshimpo.com/about,Strong Japanese diaspora/community case.
IL016,Polish News,Illinois,Chicago,,unresolved,unresolved,likely_yes,Polish-language outlet candidate,could overlap with other Polish publications; distinct current operation not established,hold_identity_resolution,,Do not double-count without distinct evidence.
IL017,Romanian Tribune,Illinois,Chicago,https://www.archive.romaniantribune.com/,archive_only_or_unclear,historically_yes,yes,Romanian-language community newspaper,archive confirms independent Chicago Romanian publication; current publication status unclear,pending_verification,https://www.archive.romaniantribune.com/,Retain historical/current-unclear candidate.
IL018,LATINEXT,Illinois,Chicago metro,https://latinext.media/en/,yes,yes,yes,bilingual news collaborative of The Chicago Reporter and Univision Chicago,active site; public-service journalism for Chicagoland Latinx communities; English/Spanish original reporting,verified_include_hosted_collaboration,https://latinext.media/en/,Include as hosted collaborative; code parent organizations separately.
IL019,Nuevo Siglo,Illinois,Chicago,,unclear_current_operation,unclear,yes,Spanish-language community newspaper candidate,candidate appears in Chicago ethnic-media directories; current operation not verified,pending_verification,,Retain candidate.
IL020,Arab American News Chicago-area candidate,Illinois,Chicago area,,unresolved,unresolved,yes,Arab-American media candidate,no distinct current Illinois newsroom established; avoid conflating with Michigan-based Arab American News,hold_unresolved,,Retain only as unresolved discovery lead.
