outlet_id,outlet_name,jurisdiction,eligibility_status,analysis_tier,core_inclusion,website_active,institutional_form,flag_reasons,source_file,source_row_number
IL018,LATINEXT,Illinois,verified_include_hosted_collaboration,core_verified,yes,yes,bilingual news collaborative of The Chicago Reporter and Univision Chicago,hosted_status_form_mismatch,data/verification/illinois_verification_v1.csv,19
MA004,Sampan,Massachusetts,verified_include_hosted_program,core_verified,yes,yes,nonprofit bilingual Chinese-English biweekly newspaper published by Asian American Civic Association,hosted_status_form_mismatch,data/verification/massachusetts_verification_v1.csv,5
MN021,3HMONGTV / Hmong Broadcasting Company,Minnesota Verification Batch1,verified_include,core_verified,yes,yes,community television/digital media network,core_missing_primary_evidence_url,data/verification/minnesota_verification_batch1.csv,10
MN019,Hmong Radio Broadcast,Minnesota Verification Batch1,verified_include,core_verified,yes,yes,commercial radio station,core_missing_primary_evidence_url,data/verification/minnesota_verification_batch1.csv,9
MN003,Hmong Times,Minnesota Verification Batch1,verified_include,core_verified,yes,yes,community newspaper,core_missing_primary_evidence_url,data/verification/minnesota_verification_batch1.csv,4
MN006,KALY Somali American Radio,Minnesota Verification Batch1,verified_include,core_verified,yes,yes,community radio program hosted by Somali American Community,core_missing_primary_evidence_url,data/verification/minnesota_verification_batch1.csv,6
MN004,Korean Quarterly,Minnesota Verification Batch1,verified_include,core_verified,yes,yes,501(c)(3) nonprofit publication,core_missing_primary_evidence_url,data/verification/minnesota_verification_batch1.csv,5
MN008,Mshale,Minnesota Verification Batch1,verified_include,core_verified,yes,yes,independent/community newspaper,core_missing_primary_evidence_url,data/verification/minnesota_verification_batch1.csv,7
MN001,Sahan Journal,Minnesota Verification Batch1,verified_include,core_verified,yes,yes,nonprofit newsroom,core_missing_primary_evidence_url,data/verification/minnesota_verification_batch1.csv,2
MN002,Somali Media of Minnesota,Minnesota Verification Batch1,verified_include,core_verified,yes,yes,nonprofit digital newsroom,core_missing_primary_evidence_url,data/verification/minnesota_verification_batch1.csv,3
MN009,The Somali American,Minnesota Verification Batch1,verified_include,core_verified,yes,yes,print/digital community publication,core_missing_primary_evidence_url,data/verification/minnesota_verification_batch1.csv,8
NY019,Korea Times New York,New York,verified_include_with_secondary_evidence,core_verified,yes,likely_yes,Korean-language metropolitan daily/edition,core_missing_primary_evidence_url,data/verification/new_york_verification_v1.csv,20
NC010,Proyecto Mariposa,North Carolina,classify_hosted_information_project,other_review_status,no,yes,Spanish-language community information hub created by Acción Hispana/Qué Pasa,hosted_status_form_mismatch,data/verification/north_carolina_verification_v1.csv,11
SC023,Guía Latina Charleston,South Carolina,classify_hosted_information_project,other_review_status,no,yes_resource,Spanish-language community resource guide tied to Universal Latin News,hosted_status_form_mismatch,data/verification/south_carolina_verification_v1.csv,24
SC011,La Raza Charleston,South Carolina,verified_include_market_case,core_verified,yes,yes_station,Spanish-language commercial radio station within Norsan Media,multistate_context_but_core,data/verification/south_carolina_verification_v1.csv,12
SC012,La Raza Columbia,South Carolina,verified_include_market_case,core_verified,yes,yes_station,Spanish-language commercial radio station within Norsan Media,multistate_context_but_core,data/verification/south_carolina_verification_v1.csv,13
VT003,Seven Days Spanish-translated immigration reporting,Vermont,comparison_or_hosted_language_practice,contextual_noncore,no,yes,general independent local newsroom with translated immigration stories,hosted_status_form_mismatch,data/verification/vermont_verification_v1.csv,4
