review_id,outlet_id,review_scope,previous_value,reviewed_value,resolution_status,evidence_url,review_note
CO015,AL005,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,https://thelatinomediareport.journalism.cuny.edu/toggle-states/,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO016,AZ003,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,https://www.phoenixmag.com/2026/03/01/waiting-for-translation/,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO017,CA025,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,https://www.elinformadordelvalle.com/,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO018,CT003,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,https://ctmirror.org/espanol/,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO019,CT004,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,https://www.connecticutlatino.com/,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO020,CT001,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,https://lavozhispanact.com/,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO021,DE001,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,https://hoyendelaware.com/acerca-de-nosotros/,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO022,DC001,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,https://tiempocompany.com/el-tiempo-latino/,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO023,DC005,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,https://tiempocompany.com/about/,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO024,ID001,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,https://www.idaholatino.com/noticias/index.php,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO025,IA001,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,https://www.laprensaiowa.com/about-us/,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO026,LA008,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,https://www.nba.com/pelicans/news/new-orleans-pelicans-spanish-radio-partnership-crocodile-broadcasting-corporation-tropical-1057,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO027,LA003,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,https://tropical1057.us/,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO028,MD002,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,verified_include_mixed_format,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO029,MD001,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,https://asequent.com/app/admin/assets/img/184301A_EPM_100_PROOF_R1.pdf,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO030,MA002,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,https://elmundoboston.com/digital-edition/,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO031,MA001,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,https://elplaneta.com/about-us-en/,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO032,NE006,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,https://kzum.org/news/,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO033,NE007,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,https://kzum.org/news/,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO034,NV002,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,https://elnuevomundo.lv/,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO035,NH005,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO036,NJ002,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,https://reportehispano.com/,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO037,NY045,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO038,NY044,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,https://noticiali.com/,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO039,OK005,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO040,OR002,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,https://noticiasnw.com/sobre-nosotros/,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO041,OR006,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,https://www.oregonhispano.com/noticias/index.php,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO042,PA002,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO043,PA026,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,https://www.univision.com/local/philadelphia-wuvp/quienes-somos,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO044,RI001,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,https://acontecerlatino.com/,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO045,RI006,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,https://rilatinohistorycollections.omeka.net/items/show/319,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
CO046,TX021,language_vs_explicit_ethnic_signal,language_community,ethnic_or_racial_community,resolved,,"Phase 1A bounded review: the verification evidence explicitly identifies an ethnic/racial audience (for example Latino, Hispanic, AAHPI, or another named ethnic/racial community). Language remains captured separately in language_model, so community_orientation is coded ethnic_or_racial_community."
