outlet_id,outlet_name,state,city_or_scope,website,website_active,sustained_journalism,immigrant_or_diaspora_serving,institutional_form,public_institutional_signals,eligibility_status,primary_evidence_url,verification_notes
NC001,Enlace Latino NC,North Carolina,Statewide / Raleigh,https://enlacelatinonc.org/,yes,yes,yes,independent nonprofit Spanish-language digital newsroom,founded 2018; immigrant-journalist leadership; statewide public-service reporting; staff/policies/donor structure visible,verified_include,https://enlacelatinonc.org/about-us/,Excellent core case; explicit mission to serve North Carolina's Latino immigrant community.
NC002,La Noticia,North Carolina,Charlotte / statewide,https://lanoticia.com/,yes,yes,yes,Spanish-language newspaper and digital newsroom,"28-year publication history; Charlotte/Raleigh/Asheville editions; immigration, government and community reporting; immigrant readership",verified_include,https://www.reportforamerica.org/newsrooms/la-noticia/,Strong statewide immigrant-serving newsroom.
NC003,Qué Pasa / Acción Hispana,North Carolina,Statewide,https://accionhispana.org/,yes,yes,yes,Spanish-language weekly newspaper and digital platform run by Acción Hispana,founded 1994; three weekly print editions; first-generation immigrant staff; daily digital content; grants/partnerships visible,verified_include,https://accionhispana.org/about-us/,Very strong core case; institutional infrastructure is unusually well documented.
NC004,Hola Carolina,North Carolina,Asheville / Western North Carolina,https://holacarolina.org/,yes,yes,yes,impact-driven nonprofit Latino/community media organization,current news site; immigrant-community mission; Spanish-language radio partnership; nonprofit identity,verified_include,https://holacarolina.org/,Strong Western North Carolina immigrant-serving case.
NC005,Alianza NC,North Carolina,Chapel Hill,https://www.alianzanc.com/,yes,yes,yes,student-led bilingual newspaper,founded 2025; monthly academic-year issues; editors listed; explicit migrant Latiné mission,verified_include,https://www.alianzanc.com/about/acercade,Eligible despite small/student-led structure; analytically valuable emerging-newsroom case.
NC006,El Faro (Beacon Media NC),North Carolina,Statewide,https://www.beaconmedianc.org/el-faro/,yes,yes,yes,Spanish-language hosted public-affairs/news program within Beacon Media,named hosts/producers; immigration and state-politics episodes; partnerships with journalists/community organizations,verified_include_hosted_program,https://www.beaconmedianc.org/el-faro/,Include as a hosted program and link to Beacon Media as parent/intermediary.
NC007,Asian Herald,North Carolina,Charlotte,,historical_or_unclear_current,historically_yes,yes,multilingual Asian community newspaper,City of Charlotte documents Korean/Vietnamese/Chinese/English publication history and large regional reach,pending_verification,https://www.charlottenc.gov/City-News/The-Influential-People-Behind-Charlotte%E2%80%99s-Asian-Herald-Library,Historically important; current publication activity was not firmly established in this pass.
NC008,Latino Communications / Qué Pasa Media Network,North Carolina,Raleigh / statewide,https://accionhispana.org/,yes,no_as_separate_outlet,yes,corporate/organizational identity associated with Qué Pasa Media,BBB identifies Latino Communications LLC as alternate name for Qué Pasa Media Network,classify_host_or_duplicate,https://www.bbb.org/us/nc/raleigh/profile/newspaper-advertising/que-pasa-media-0593-90068722,Do not double-count as a separate outlet from Qué Pasa/Acción Hispana without evidence of a distinct newsroom.
NC009,Mi Gente Newspaper,North Carolina,,,unresolved,unresolved,likely_yes,unresolved Latino community newspaper candidate,no sufficiently specific current 2026 evidence identified,hold_unresolved,,Retain in candidate registry only until current identity/site/activity are established.
NC010,Proyecto Mariposa,North Carolina,Winston-Salem / Charlotte,https://proyectomariposa.us/,yes,information_hub_not_newsroom,yes,Spanish-language community information hub created by Acción Hispana/Qué Pasa,"resources, alerts, news links, courses and multimedia; launched as outreach/information project",classify_hosted_information_project,https://accionhispana.org/our-work/,Do not count as an independent outlet; preserve as hosted information infrastructure under Acción Hispana.
NC011,La Conexión USA,North Carolina,Raleigh / statewide,https://laconexionusa.com/,yes,yes,yes,Spanish-language digital/community news outlet,"active 2026 local North Carolina news; immigration, politics, education and community sections",verified_include,https://laconexionusa.com/,Strong current Spanish-language local-news candidate; ownership/staff need deeper coding.
NC012,Hola News,North Carolina,Charlotte / Carolinas,https://holanews.com/,yes,yes,yes,Spanish-language digital news outlet,active 2026 Charlotte/Carolinas coverage; immigration and local community reporting,verified_include,https://holanews.com/,"Strong current outlet; verify ownership and relationship, if any, to other regional Spanish-media groups in deeper pass."
