outlet_id,outlet_name,state,city_or_scope,website,website_active,sustained_journalism,immigrant_or_diaspora_serving,institutional_form,public_institutional_signals,eligibility_status,primary_evidence_url,verification_notes
OH001,Somali Link Newspaper,Ohio,Columbus,https://www.somalicommunitylink.com/,yes_via_host,yes,yes,Somali community newspaper hosted by Somali Community Link,current host site explicitly names Somali Link Newspaper, shared CEO/contact/address, and community service organization,verified_include_hosted_program,https://www.somalicommunitylink.com/contact/,Strong Somali immigrant-media case; code Somali Community Link as host organization.
OH002,Danjir News / Radio,Ohio,Columbus,,unresolved,unresolved,yes,Somali news/radio candidate,no sufficiently specific current 2026 evidence identified in this pass,hold_unresolved,,Retain candidate only.
OH003,DZM News,Ohio,Columbus,,unresolved,unresolved,yes,Somali/East African media candidate,exact current outlet identity and active newsroom not established,hold_unresolved,,Retain candidate only.
OH004,Ohio in Arabic,Ohio,Statewide / Columbus,https://ohioinarabic.com/,yes,yes,yes,nonprofit Arabic-language media and service organization,founded as independent Arabic newspaper in 2019; nonprofit foundation since 2022; immigrant family founders; explicit newcomer information mission,verified_include,https://ohioinarabic.com/about-us,Excellent Arabic immigrant-serving media case.
OH005,La Prensa Newspaper,Ohio,Toledo / NW Ohio,https://laprensanewspaper.com/,yes,yes,yes,bilingual Latino newspaper/digital outlet,current 2026 publication; Toledo office; Ohio/Michigan coverage; Latino community focus,verified_include,https://laprensanewspaper.com/,Strong regional Latino newsroom.
OH006,El Sol de Ohio,Ohio,Columbus,https://www.elsoldeohio.com/,yes,yes,yes,Spanish-language community newspaper/digital outlet,established 2010; active 2026 Columbus and Latino-community reporting,verified_include,https://www.elsoldeohio.com/,Strong current Columbus Latino outlet.
OH007,Vocero Latino,Ohio,Cleveland,https://vocerolatino.com/,yes,yes,yes,Spanish-language newspaper/digital outlet,serving Cleveland Hispanic community since 1998; current 2026 posts; community-news mission,verified_include,https://vocerolatino.com/,Strong current Cleveland Latino outlet.
OH008,La Villa Cleveland,Ohio,Cleveland,https://www.lavillacle.org/,yes,community_storytelling_not_full_newsroom,yes,neighborhood storytelling/community platform,current Clark-Fulton community stories and user/community submissions; journalism structure not clearly established,comparison_or_information_platform,https://www.lavillacle.org/,Keep as community storytelling infrastructure, not core newsroom unless stronger reporting evidence appears.
OH009,Onumba / Fawol Africa Media,Ohio,Columbus,https://onumba.com/,yes,yes,yes,Nigerian/African diaspora online news and commentary outlet,founded 2003; Columbus address; Nigerian immigrant editor; current 2026 reporting/commentary; explicit African diaspora mission,verified_include,https://onumba.com/about-onumba/,Strong African diaspora case with clear local Ohio base and transnational scope.
OH010,OCA AsiaTown Voice / IMAGE TV Ohio,Ohio,Cleveland,,unclear_current_operation,unclear,yes,Asian community media candidate,candidate identity known but direct current newsroom/program evidence not established,pending_verification,,Retain candidate pending direct evidence.
OH011,Lazo Cultural,Ohio,Cincinnati / statewide,,unclear_current_operation,mixed_or_unclear,yes,Latino cultural/community publication candidate,current journalism role and institutional operation not established,pending_verification,,Retain candidate.
OH012,ApnaOhio,Ohio,Statewide,,unresolved,unresolved,yes,South Asian community media candidate,exact current site/outlet identity not established,hold_unresolved,,Retain candidate only.
OH013,Al-Sahafa,Ohio,Columbus,,historical_or_unclear,historically_yes,yes,Arabic community newspaper candidate,known as Arabic community media lead; no strong current 2026 publication evidence,pending_verification,,Retain candidate as historical/current-unclear.
OH014,Connecting Cleveland,Ohio,Cleveland,,historical_or_unclear,historically_yes,yes,immigrant/community media project candidate,current operation not established,exclude_or_archive_pending,,Archive unless current sustained journalism can be demonstrated.
