eligibility_status,n
verified_include,185
pending_verification,58
hold_unresolved,33
verified_include_hosted_program,27
pending_deeper_verification,25
verified_include_mixed_format,21
verified_include_with_secondary_evidence,18
multistate_market_case,14
verified_include_core,14
classify_intermediary_host,8
exclude_inactive_archive,8
verified_include_hosted_language_product,8
verified_include_with_directory_evidence,8
classify_information_infrastructure_not_outlet,7
boundary_comparison,6
comparison_or_exclude_core,6
exclude_current_definition,6
hold_identity_resolution,5
verified_include_with_site_limit,4
comparison_or_information_platform,3
exclude_inactive,3
move_to_new_jersey_or_multistate,3
verified_include_with_ecosystem_evidence,3
classify_hosted_information_project,2
comparison_or_media_infrastructure,2
verified_include_market_case,2
verified_include_multiscale,2
verified_include_network_local_vertical,2
verified_include_with_parent_evidence,2
Fort Lauderdale and Palm Beach,1
U.S.,1
active 2026 local coverage and daily newsletter explicitly serving DC,1
borderline_retain_not_core,1
boundary_or_exclude_core,1
but newsroom cadence/website not established,1
but strong current 2026 publication evidence not established,1
classify_discovery_cluster_not_single_outlet,1
classify_duplicate_language_edition,1
classify_host_infrastructure_not_outlet,1
classify_host_or_comparison,1
classify_host_or_duplicate,1
classify_host_program_level,1
classify_hosted_product_or_duplicate,1
classify_hosted_program_or_duplicate,1
classify_intermediary_not_outlet,1
classify_related_product_pending,1
community news and political/economic coverage; Falls Church studio listed,1
comparison_or_hosted_language_practice,1
comparison_or_mixed_format,1
economic empowerment,1
events,1
events and promotional/community stories,1
events and service information for Hispanic/Latino community,1
exclude_core_indigenous_not_immigrant,1
exclude_from_new_york,1
exclude_inactive_archival,1
exclude_non_us_based,1
exclude_or_archive_pending,1
exclude_unverified_authenticity,1
grants,1
health,1
history,1
hold_borderline_information_portal,1
immigration and U.S. reporting; publisher/editor named; local address and contact; Korean-community mission,1
local South Florida community reporting and Haiti-focused political/current-affairs programming,1
local newsroom staff and Annandale base serving Korean-American diaspora,1
multistate_or_location_resolution,1
pending_operational_verification,1
services and events,1
shared CEO/contact/address,1
verified_include_comparison,1
verified_include_core_shared_operation,1
verified_include_hosted_collaboration,1
verified_include_national_scope,1
verified_include_with_media_kit_evidence,1
