outlet_id,outlet_name,state,city_or_scope,website,website_active,sustained_journalism,immigrant_or_diaspora_serving,institutional_form,public_institutional_signals,eligibility_status,primary_evidence_url,verification_notes
TX001,La Voz de Denver Harbor,Texas,Houston,https://lavozdedenverharbor.com/,yes,yes,yes,free neighborhood/community newspaper,current 2026 digital issues; named editor/writers; community mission,verified_include,https://lavozdedenverharbor.com/,Strong current local-community case; immigrant-serving intensity should be coded alongside broader Latino neighborhood focus.
TX002,Que Onda Magazine,Texas,Houston,https://queondamagazine.com/,yes,yes,yes,family-owned bilingual Hispanic magazine/news network,current 2026 editions; immigrant-founded; print/digital; advertising and newsroom activity,verified_include,https://queondamagazine.com/blog/,Strong immigrant-founded Latino media case.
TX003,The Chinese Times,Texas,Houston,https://chinesetimes.info/,likely_yes,likely_yes,yes,Chinese-language community newspaper,identified by Houston ethnic-media reporting; current direct site verification incomplete,pending_deeper_verification,https://www.houstonchronicle.com/news/houston-texas/article/houston-ethnic-media-outlets-19746037.php,Retain as strong candidate; confirm current ownership/staff in institutional-depth pass.
TX004,U.S. Chinese Channel AM1050,Texas,Houston,,yes,yes,yes,Chinese-language radio/news service,Houston Chronicle documents Chinese-language local/global news and emergency information,verified_include_with_secondary_evidence,https://www.houstonchronicle.com/news/houston-texas/article/houston-ethnic-media-outlets-19746037.php,Strong fit; direct institutional website still needed.
TX005,Southern Chinese Daily News,Texas,Houston,https://www.scdaily.com/,yes,yes,yes,Chinese-language daily newspaper within Southern News Group,daily editions; Houston headquarters; multimedia group structure,verified_include,https://www.houcyp.com/,Strong commercial/networked Chinese-language case.
TX006,Arab Voices,Texas,Houston,https://www.arabvoices.net/,yes,yes,yes,independent syndicated Arab-American radio talk show,weekly production since 2002; immigration/civil-rights/news agenda; Houston KPFT carriage,verified_include,https://www.arabvoices.net/about.htm,Very strong immigrant/diaspora public-affairs case.
TX007,Indo American News,Texas,Houston,https://indoamerican-news.com/,yes,yes,yes,South Asian weekly newspaper and radio operation,2026 weekly editions; 45-year publication history; Texas readership; local/global South Asian news,verified_include,https://indoamerican-news.com/about-ian/,"Excellent institutional case with print, web and radio."
TX008,HUM FM 103.5,Texas,Houston,,yes,yes_mixed_with_entertainment,yes,South Asian multilingual commercial radio station,24/7 English/Urdu/Hindi service; locally owned; community information and media enterprise,verified_include,https://www.houstonchronicle.com/news/houston-texas/article/houston-ethnic-media-outlets-19746037.php,"Eligible, but code journalism/public-affairs share separately from entertainment programming."
TX009,Masala Radio 98.7 FM,Texas,Sugar Land / Houston,https://masalaradio.com/,yes,yes_mixed_with_entertainment,yes,Indian/South Asian commercial radio station,active 98.7 service; Indian community orientation; news/current-affairs among entertainment programming,verified_include,https://masalaradio.com/,Eligible mixed-format outlet; deeper coding should distinguish news/public-affairs share.
TX010,Voice of Asia,Texas,Houston,https://voiceofasia.news/,likely_yes,yes,yes,South Asian/Asian community newspaper/digital outlet,longstanding Houston Asian-community news identity; direct current site available,verified_include,https://voiceofasia.news/,Strong community-media candidate; institutional details need deeper pass.
TX011,Houston Community Media,Texas,Houston,https://houstoncommunitymedia.org/,yes,no_as_single_outlet,yes,multilingual ethnic-media network/intermediary,"launched 2022; network of multilingual/multiracial outlets; training, advocacy and collaborative editorial role",classify_intermediary_not_outlet,https://houstoncommunitymedia.org/our-mission/,Do not count as one newsroom outlet. Retain in host/intermediary table because it is analytically important infrastructure.
TX012,Semana News,Texas,Houston,https://semananews.com/,likely_yes,likely_yes,yes,Spanish-language local/community news outlet,current outlet identity and Houston Latino focus; institutional details need deeper verification,pending_deeper_verification,https://semananews.com/,"Retain; confirm cadence, ownership and active newsroom structure."
TX013,La Voz de Houston,Texas,Houston,https://www.houstonchronicle.com/la-voz/,yes,yes,yes,Spanish-language Houston Chronicle publication,current Spanish local/news product; Hearst/Houston Chronicle institutional support,verified_include,https://www.houstonchronicle.com/la-voz/,Strong network-affiliated comparison case rather than independent immigrant newsroom.
TX014,El Mundo Newspaper,Texas,Austin / Central Texas,https://elmundonewspaper.com/,likely_yes,yes,yes,Spanish-language community newspaper,longstanding Austin/San Antonio distribution; Latino readership,verified_include_with_secondary_evidence,https://en.wikipedia.org/wiki/El_Mundo_(Texas),"Eligible, but replace secondary evidence with current outlet institutional page in next pass."
TX015,La Prensa Texas,Texas,San Antonio,https://www.laprensatexas.com/,yes,yes,yes,Latina-owned bilingual community newspaper,current 2026 weekly editions; ownership; bilingual mission; print/digital distribution,verified_include,https://www.laprensatexas.com/about,Very strong institutional case; current owner and community mission publicly documented.
TX016,San Antonio Hispano News candidate,Texas,San Antonio,,unresolved,unresolved,likely_yes,unresolved Spanish-language media candidate,exact current outlet identity not established,hold_unresolved,,Do not move into active frame until a distinct outlet and current operation are identified.
TX017,El Editor,Texas,Lubbock / West Texas,https://eleditor.com/,unclear_current_operation,historically_yes,yes,bilingual Hispanic community newspaper,longstanding West Texas Latino newspaper identity; current publication evidence insufficient in this pass,pending_verification,,Retain candidate; verify 2026 activity before inclusion.
TX018,El Mañana de Nuevo Laredo / border audience candidate,Texas,Laredo / border,,yes_publication,yes,yes_border_audience,Mexico-based cross-border Spanish-language newspaper,serves border region but institutional base is outside United States,exclude_non_us_based,,Exclude from U.S.-based sampling frame unless later protocol explicitly permits foreign-based outlets substantially serving U.S. audiences.
TX019,Dallas Chinese News Network,Texas,Dallas-Fort Worth,https://dcnn.info/,yes,yes,yes,Chinese-language digital/video community news outlet,current 2026 North Texas news; Chinese-language mission; local reporting/video,verified_include,https://dcnn.info/,Strong current Chinese-language digital-media case.
TX020,Korea Times Texas,Texas,Dallas-Fort Worth,,likely_yes,yes,yes,Korean-language community newspaper,Texas/Korean community publication identity; current local institutional page not verified,pending_deeper_verification,,Retain as strong candidate pending direct 2026 local evidence.
TX021,El Hispano News,Texas,Dallas-Fort Worth,,unclear_current_operation,unclear,yes,Spanish-language community publication,"candidate identity supported by Latino-media discovery, but current operation not verified",pending_verification,,Retain candidate pending current website and publication evidence.
TX022,Al Día Dallas,Texas,Dallas-Fort Worth,https://www.dallasnews.com/espanol/al-dia/,yes,yes,yes,Spanish-language newsroom/product within Dallas Morning News,current Spanish-language general and local news; institutional parent visible,verified_include,https://www.dallasnews.com/espanol/al-dia/,Strong network-affiliated comparison case.
TX023,Texas Latino News,Texas,Statewide,,unresolved,unresolved,likely_yes,unresolved Latino digital-news candidate,exact current outlet identity not reliably established,hold_unresolved,,"Do not include until identity, site and sustained journalism are verified."
TX024,India Herald,Texas,Houston / Sugar Land,https://india-herald.com/,yes,yes,yes,South Asian weekly community newspaper,current 2026 issues; publisher/editor identified; established 1995; weekly publishing,verified_include,https://india-herald.com/,Strong independent South Asian community-paper case.
TX025,Pakistan Chronicle,Texas,Houston,,unclear_current_operation,historically_yes,yes,Pakistani community newspaper,City of Houston historical media-publication listing; no strong 2026 publication evidence found,pending_verification,https://311.houstontx.gov/obo/docsandforms/Media_Publication_List.pdf,Keep in candidate registry but do not place in active frame yet.
TX026,VIETV Network,Texas,Houston,https://vietv.com/,yes,yes,yes,Vietnamese-language television/radio/media network,Houston headquarters; daily news broadcasts; local/national affiliates; Vietnamese audience,verified_include,https://vietv.com/,Very strong networked diaspora-media case.
TX027,Houston Vietnamese News candidate,Texas,Houston,,unresolved,unresolved,yes,unresolved Vietnamese print/digital candidate,no distinct outlet established beyond VIETV and known Vietnamese ecosystem,hold_unresolved,,Do not include until a unique current outlet is identified.
TX028,Dallas Weekly,Texas,Dallas-Fort Worth,https://dallasweekly.com/,yes,yes,partly,Black/African-diaspora community newsroom,current 2026 newsroom; explicitly identifies African diaspora and growing Black immigrant readership,verified_include_comparison,https://dallasweekly.com/about/,Include as a comparison/boundary case rather than core immigrant outlet; diaspora framing is explicit but mission is broader Black community journalism.
TX029,Houston Forward Times,Texas,Houston,https://forwardtimes.com/,yes,yes,unclear_as_immigrant_serving,Black community newspaper,active historic Black press outlet; no clear sustained immigrant-serving mission identified,comparison_or_exclude_core,https://forwardtimes.com/,Keep outside core immigrant sampling frame unless later evidence shows sustained immigrant/diaspora service.
TX030,African community media Houston candidate,Texas,Houston,,unresolved,unresolved,yes,unresolved African-diaspora media candidate,"Houston ethnic-media ecosystem includes West African outlets, but this placeholder does not identify one distinct organization",hold_unresolved,https://www.houstonchronicle.com/news/houston-texas/article/houston-ethnic-media-outlets-19746037.php,Replace placeholder with named outlet(s) in a dedicated African-diaspora discovery pass.
