outlet_id,outlet_name,jurisdiction,current_orientation,suggested_review_value,evidence_excerpt,institutional_form,eligibility_status,primary_evidence_url
GA001,285 South,Georgia,immigrant_general,mixed_orientation,yes | independent English-language immigrant/refugee news publication | active Sept. 2026; explicitly identifies itself as metro Atlanta publication centering immigrant and refugee communities | Excellent immigrant-serving English-language newsroom.,independent English-language immigrant/refugee news publication,verified_include,https://285south.com/
ID003,Idaho Office for Refugees newsletters and media,Idaho,refugee_general,refugee_general,yes | refugee resettlement organization and media host | Official site publishes newsletters blog resources and hosts Mosaics but organizational mission is resettlement and community support | Link as host organization to ID002; avoid double counting.,refugee resettlement organization and media host,classify_information_infrastructure_not_outlet,https://www.idahorefugees.org/
ID002,Mosaics,Idaho,mixed_orientation,refugee_general,yes | hosted refugee/immigrant public-affairs podcast | Active through July 2026 with recurring episodes centered on refugee and immigrant lived experience; presented by Idaho Office for Refugees and produced with SB Studios | Strong hosted media product but parent is a service organization rather than newsroom.,hosted refugee/immigrant public-affairs podcast,verified_include_hosted_program,https://mosaics.castos.com/
IA003,Common Thread Iowa,Iowa,mixed_orientation,refugee_general,yes | social-first immigrant/refugee reporting project within New Day Iowa | launched July 2026 to cover Iowa refugee and immigrant communities overlooked by mainstream coverage | Important emerging immigrant-focused newsroom/program; verify direct site/social channels in deeper pass.,social-first immigrant/refugee reporting project within New Day Iowa,verified_include_hosted_program,https://iowastartingline.com/news/common-thread-iowa-refugee-stories/
KY005,Louisville Public Media immigrant-language/community products,Kentucky,immigrant_general,mixed_orientation,no_primary_mission | mainstream public-media newsroom | substantial immigrant/refugee and language-access reporting but not immigrant-serving as primary institutional mission | Use as contextual source not core outlet.,mainstream public-media newsroom,exclude_current_definition,https://louisvilleky.gov/government/office-immigrant-affairs/media
MA005,Khmer Post USA,Massachusetts,diaspora_national_origin,refugee_general,yes | Cambodian-American digital news/community outlet | active Sept. 2026 reporting on Lowell Cambodian community; UMass Lowell identifies Khmer Post USA as archive/community partner | Strong refugee/diaspora community case.,Cambodian-American digital news/community outlet,verified_include,https://khmerpostusa.com/lowell-has-the-second-largest-cambodian-community-in-the-united-states-and-almost-nobody-who-built-it-chose-lowell-on-purpose/
NE008,Nebraska Public Media immigrant-language products,Nebraska,immigrant_general,mixed_orientation,"no_primary_mission | mainstream public media | produces substantial immigrant/refugee reporting but is not an immigrant-serving newsroom by mission | Use as contextual/secondary source, not core outlet.",mainstream public media,exclude_current_definition,https://nebraskapublicmedia.org/en/news/news-articles/lincoln-welcomes-new-americans-in-weeklong-celebration/
OR003,Maidan Newspaper,Oregon,multicultural_multiethnic,refugee_general,yes | Ukrainian-language newspaper within multicultural media group | host company; immigrant/refugee mission; language; regional scope | Strong immigrant/refugee fit; useful hosted/networked case.,Ukrainian-language newspaper within multicultural media group,verified_include,https://thegreatmediagroup.com/
OR015,The Immigrant Story,Oregon,mixed_orientation,refugee_general,yes | volunteer-run nonprofit multimedia storytelling organization | nonprofit; founder; 60+ volunteers; immigrant/refugee reporting; podcasts and documentary storytelling | Strong fit despite not being a conventional newsroom; explicitly reports and publishes immigrant/refugee stories.,volunteer-run nonprofit multimedia storytelling organization,verified_include,https://theimmigrantstory.org/our-story/
SD004,Sioux Falls Somali/refugee media lead,South Dakota,diaspora_national_origin,refugee_general,likely_yes_if_found | unresolved refugee-language media lead | no distinct sustained newsroom verified in first pass | Retain for deeper community-radio/social-video search.,unresolved refugee-language media lead,hold_unresolved,
UT008,Utah Refugee & Immigrant community media programs,Utah,diaspora_national_origin,refugee_general,"yes | program-level discovery lead | no sustained newsroom/program identified with sufficient evidence in this pass | Useful gap-search target for Arabic, Somali, Swahili, Dari/Pashto and other refugee-language media.",program-level discovery lead,hold_unresolved,
VT001,"Many Voices, One Vermont",Vermont,mixed_orientation,refugee_general,"yes | hosted community-radio current-affairs program on WBTV-LP | launched 2026; Sundays 1:00–1:30 PM; produced with CVRAN, USCRI Vermont, VAAP and partners; centers refugee, asylum-seeker and newcomer voices | Strong hosted newcomer/refugee media case.",hosted community-radio current-affairs program on WBTV-LP,verified_include_hosted_program,https://cvran.org/2026/06/29/tune-into-many-voices-one-vermont-sundays-at-1pm/
WV004,West Virginia immigrant/refugee community media lead,West Virginia,mixed_orientation,refugee_general,"likely_yes_if_found | unresolved refugee/diaspora media lead | no distinct sustained immigrant/refugee newsroom verified in first pass | Retain for deeper community-radio, church/community bulletin and social-video search.",unresolved refugee/diaspora media lead,hold_unresolved,
WI013,Wisconsin Muslim Journal,Wisconsin,diaspora_national_origin,refugee_general,yes | independent online Muslim community newspaper published by Milwaukee Muslim Women's Coalition | launched 2018; current Sept. 2026 semiweekly reporting; explicit Wisconsin Muslim-community news mission | Strong community/diaspora-relevant case; broader Muslim community focus includes immigrant/refugee populations.,independent online Muslim community newspaper published by Milwaukee Muslim Women's Coalition,verified_include,https://wisconsinmuslimjournal.org/about/
