audit_id,outlet_id,field_name,prior_value,audit_decision,audited_value,audit_reason,verification_source,date_checked
AUD0001,AZ001,legal_organizational_form,fiscally_sponsored_project,confirm,fiscally_sponsored_project,"Outlet and fiscal sponsor independently identify Conecta Arizona as an Alternative Newsweekly Foundation fiscally sponsored project.",https://altnewsfoundation.org/coaz/,2026-09-24
AUD0002,CA001,legal_organizational_form,fiscally_sponsored_project,confirm,fiscally_sponsored_project,"Current El Tímpano mission page identifies the outlet as fiscally sponsored by Mission Edge San Diego.",https://www.eltimpano.org/mission-story/,2026-09-24
AUD0003,CA003,network_memberships,"Institute for Nonprofit News;URL Media;LION Publishers",revise,Institute for Nonprofit News,"The funding page explicitly verifies INN membership. URL Media and LION are documented elsewhere as supporters/collaborators, which is not sufficient evidence of formal membership.",https://indiacurrents.com/how-were-funded/,2026-09-24
AUD0004,CA003,platform_dependence_public_signal,platform_substantial,revise,unclear,"The 2026 impact report documents substantial platform reach and engagement but does not establish institutional dependence. Reach is not equivalent to dependence.",https://indiacurrents.com/india-currents-impact-report-2026/,2026-09-24
AUD0005,CA003,owned_audience_channels,"whatsapp;direct_web;social_media",revise,"whatsapp;direct_web","Social media is a third-party platform rather than an owned-audience channel. The report supports WhatsApp and direct web as identifiable direct/owned channels.",https://indiacurrents.com/india-currents-impact-report-2026/,2026-09-24
AUD0006,MN002,legal_organizational_form,nonprofit_501c3,revise,other_nonprofit,"Somali Media of Minnesota publicly describes itself as a nonprofit digital newsroom, but this audit did not verify federal 501(c)(3) status. Do not convert a generic nonprofit self-description into tax-specific status.",https://www.somalmedia.com/contact-us/,2026-09-24
AUD0007,MN004,legal_organizational_form,nonprofit_501c3,confirm,nonprofit_501c3,"ProPublica Nonprofit Explorer reports Korean Quarterly as a tax-exempt 501(c)(3), EIN 41-1876410.",https://projects.propublica.org/nonprofits/organizations/411876410,2026-09-24
AUD0008,MN004,annual_revenue_amount,20016,confirm,20016,"ProPublica reports 2025 Form 990-EZ revenue of $20,016.",https://projects.propublica.org/nonprofits/organizations/411876410,2026-09-24
AUD0009,MN001,legal_organizational_form,nonprofit_501c3,confirm,nonprofit_501c3,"IRS-derived nonprofit records independently verify Sahan Journal's 501(c)(3) status and EIN 83-2745995.",https://projects.propublica.org/nonprofits/organizations/832745995,2026-09-24
AUD0010,MN001,public_staff_count,23,historical_only,,"The 23-person figure comes from a 2024 impact report and should not populate a current 2026 staff-count field without a current source. Preserve it as dated historical evidence.",https://sahanjournal.com/about-sahan-journal/attachment/sahan-journal-impact-report-2024-1/,2026-09-24
AUD0011,MN001,staff_size_band,11_25,historical_only,,"The band is derived from the historical 2024 staff count and should not be treated as a current 2026 size band without re-verification.",https://sahanjournal.com/about-sahan-journal/attachment/sahan-journal-impact-report-2024-1/,2026-09-24
AUD0012,NY001,legal_organizational_form,nonprofit_501c3,confirm,nonprofit_501c3,"ProPublica Nonprofit Explorer independently verifies Documented Ltd as a 501(c)(3), EIN 83-3036502.",https://projects.propublica.org/nonprofits/organizations/833036502,2026-09-24
AUD0013,NY001,public_staff_count,17,historical_only,,"The 17-person figure is explicitly tied to Documented's 2024 strategic plan and should remain dated historical evidence rather than a current 2026 headcount.",https://documentedny.com/2024/08/01/documented-strategic-plan-improving-news-for-immigrants-through-2028/,2026-09-24
AUD0014,NY001,staff_size_band,11_25,historical_only,,"The size band is derived from the 2024 staff figure and should not be promoted to a current value without current verification.",https://documentedny.com/2024/08/01/documented-strategic-plan-improving-news-for-immigrants-through-2028/,2026-09-24
AUD0015,NY001,platform_dependence_public_signal,platform_substantial,revise,unclear,"The strategic plan establishes deliberate distribution through WhatsApp, WeChat, Nextdoor and other high-use platforms, but it does not quantify organizational dependence on those platforms.",https://documentedny.com/2024/08/01/documented-strategic-plan-improving-news-for-immigrants-through-2028/,2026-09-24
AUD0016,NY001,referral_dependency_status,substantial_but_not_central,revise,not_publicly_disclosed,"The strategic plan documents platform distribution but does not disclose the share or centrality of referral traffic. Distribution strategy should not be converted into a referral-dependence classification.",https://documentedny.com/2024/08/01/documented-strategic-plan-improving-news-for-immigrants-through-2028/,2026-09-24
AUD0017,AR001,network_memberships,Institute for Nonprofit News standards,reject_as_membership,,"Arkansas GRITA states that it subscribes to INN editorial-independence standards. Following INN standards is not evidence of formal INN membership.",https://arkansasgrita.com/about,2026-09-24
AUD0018,AR001,network_membership_status,public_affiliation_not_formal_membership,revise,none_found_publicly,"The reviewed public page documents use of INN standards, not a formal affiliation. No formal membership was established in this audit; none_found_publicly does not mean no membership exists.",https://arkansasgrita.com/about,2026-09-24
AUD0019,NY004,legal_organizational_form,nonprofit_501c3,confirm,nonprofit_501c3,"Independent nonprofit records identify Feet in 2 Worlds, EIN 87-1215486, as an active 501(c)(3) public charity.",https://www.charitynavigator.org/ein/871215486,2026-09-24
AUD0020,NY004,network_memberships,"Institute for Nonprofit News;LION Publishers",confirm,"Institute for Nonprofit News;LION Publishers","Feet in 2 Worlds explicitly states that it is a member of INN and LION Publishers.",https://www.fi2w.org/about-us/,2026-09-24
AUD0021,CA017,legal_organizational_form,fiscally_sponsored_project,confirm,fiscally_sponsored_project,"ChicoSol states that North Valley Community Foundation is its fiscal sponsor and that its own 501(c)(3) application is pending.",https://chicosol.org/about/,2026-09-24
AUD0022,CA017,revenue_model,donations_primary,confirm,donations_primary,"ChicoSol states that operating expenses and writer stipends depend largely on tax-deductible donor contributions to its fiscal-sponsor fund.",https://chicosol.org/about/,2026-09-24
AUD0023,AR002,public_staff_count,not_publicly_disclosed,confirm,not_publicly_disclosed,"The outlet describes a small group of writers and translators but does not provide a defensible current numerical headcount in the reviewed source.",https://chikinmelele.com/celebrating-5-years-of-chikin-melele-news/,2026-09-24
AUD0024,AR002,staff_size_band,unclear,confirm,unclear,"Small-team language is insufficient to assign a numerical staff-size band.",https://chikinmelele.com/celebrating-5-years-of-chikin-melele-news/,2026-09-24
